apiId	actionId
VoicedropApi	[campaigns]AddProspects
VoicedropApi	[campaigns]ListCampaigns
VoicedropApi	[campaigns]SetCampaignStatus
EasytranslateApi	[laas]CreateNewProjectContent
EasytranslateApi	[laas]CreateNewProjectFile
JustcallApi	[legacy]AddSalesDialerCampaign
JustcallApi	[legacy]CheckTextReplies
JustcallApi	[legacy]SendMultimediaTextMessage
JustcallApi	[legacy]SendTextMessage
GeckoboardApi	[legacy]UpdateCustomGaugeWidget
GeckoboardApi	[legacy]UpdateCustomNumberWidget
GeckoboardApi	[legacy]UpdateCustomTextWidget
SamepageApi	[oldSamepage]CreateTeam
SamepageApi	[oldSamepage]CreateTeamPage
SamepageApi	[oldSamepage]CreateTeamTask
SamepageApi	[oldSamepage]PostPageChatMessage
SamepageApi	[oldSamepage]PostTeamChatMessage
VoicedropApi	[phoneNumbers]ValidateProspectNumbers
LushaConnectApi	[prospecting]Step2ContactsEnrich
VoicedropApi	[ringlessVoicemails]SendAiVoiceRvm
VoicedropApi	[ringlessVoicemails]SendStaticAudioRvm
VoicedropApi	[user]UserProfile
TaigaApi	1.1CreateUserStory
TaigaApi	1.2EditUserStory
TaigaApi	1.3DeleteUserStory
TaigaApi	1.4ReadUserStory
DashiverseApi	1.Nugget1
DashiverseApi	10.AreaChartChart10
DashiverseApi	11.DoughnutChartChart11
DashiverseApi	12.DoughnutChartChart12
DashiverseApi	13.PieChartChart13
DashiverseApi	14.PieChartChart14
DashiverseApi	15.FunnelChartChart15
DashiverseApi	16.HeatmapChartChart16
DashiverseApi	17.TableChartChart17
DashiverseApi	18.HistogramChartChart18
TaigaApi	2.1CreateTask
TaigaApi	2.2EditTask
TaigaApi	2.3DeleteTask
TaigaApi	2.4ReadTask
DashiverseApi	2.Nugget2
TaigaApi	3.1CreateIssue
TaigaApi	3.2EditIssue
TaigaApi	3.3DeleteIssue
TaigaApi	3.4ReadIssue
DashiverseApi	3.Nugget3
DashiverseApi	4.Nugget4
DashiverseApi	5.LineChartChart5
DashiverseApi	6.LineChartChart6
DashiverseApi	7.StackedBarChartChart7
DashiverseApi	8.ClusteredBarChartChart8
DashiverseApi	9.AreaChartChart9
ProhanceApi	AbandonWorkflowJob
VivenuApi	AbortCheckout
UdoApi	AbTesting
TestIoApi	AcceptBug
WilloApi	AcceptCandidate
ZyratalkApi	AcceptDataFields
KifloPrmApi	AcceptDeal
EzidoxApi	AcceptDocument
SaplingSpellingGrammarCheckerApi	AcceptEdit
IlertApi	AcceptIncident
KifloPrmApi	AcceptLead
SweepbrightApi	AcceptOffer
InventorybaseApi	AcceptOffer
PropertyInspectApi	AcceptOffer
ShoppingFeedApi	AcceptOrder
FlipdishApi	AcceptOrder
KifloPrmApi	AcceptPartnerApplication
KifloPrmApi	AcceptPayout
ProworkflowApi	AcceptProjectRequest
SentaApi	AcceptProposal
ExactOnlineApi	AcceptQuotation
CloudblueConnectApi	AcceptTierAccountRequest
ScrapflyApi	AccountInfo
DropmatixApi	AccountingDocumentArchive
ZoominfoApi	AccountSummary
AgillicApi	AchieveEvent
FyipeApi	AcknowledgeAllIncidents
BetterStackApi	AcknowledgeIncident
FyipeApi	AcknowledgeIncident
JeptoApi	AcknowledgeInsight
FyipeApi	AcknowledgeLastIncident
ShoppingFeedApi	AcknowledgeOrderImport
ReferralReactorApi	AcknowledgeReferral
Sam.aiApi	ActionAccount
InvestorbaseApi	ActionAddBuyerYourBuyersList
Sam.aiApi	ActionContact
Sam.aiApi	ActionLead
KickofflabsApi	ActionMarkAsCompleteLead
Sam.aiApi	ActionOpportunity
CloudkiiApi	ActivateAppLicense
SaledrumApi	ActivateAutomaticRepricingAmazonChannel
BippyboxApi	ActivateBippyBox
TeamtracksApi	ActivateButton
MagicDripApi	ActivateCampaign
CoachaccountableApi	ActivateClient
UpcoachApi	ActivateClient
ValueBuilderSystem™Api	ActivateContactNurtureCycle
LearningsuiteApi	ActivateDeactivateMember
ScanovaApi	ActivateDeactivateQrCode
BcdiplomaApi	ActivateDesactivateCertificate
RzilientApi	ActivateEmployee
ValueBuilderSystem™Api	ActivateEngagementProgramContact
KameleoonApi	ActivateExperiment
CommerceLayerApi	ActivateGiftCard
KeygenApi	ActivateMachine
PeerboardApi	ActivateMember
LearnifierApi	ActivateParticipant
PlaybookApi	ActivateProcess
SaledrumApi	ActivateSpecificAmazonAutoRepricingRule
FactorialApi	ActivatesProject
CloudkiiApi	ActivateSubPartner
RechargeApi	ActivateSubscription
ÁskellApi	ActivateSubscription
UpodiApi	ActivateSubscription
QualarooApi	ActivateSurvey
TootixApi	ActivateTaskTemplate
SendiioApi	ActivateTrigger
OktaApi	ActivateUser
MemberKitchensApi	ActivateUser
ZohoOneApi	ActivateUser
SymmioApi	ActivateUser
ZohoDirectoryApi	ActivateUser
GreenropeApi	ActivateWorkflow
CrmConnectorApi	ActivateWorkflow
JostleApi	ActivityApi
CliengoApi	ActualizarClienteUpdateCustomer
Wrker.aiApi	AdCopy
GongApi	Add"contentShared"EventIntoGong'sActivityTimeline
GongApi	Add"contentViewed"EventIntoGong'sActivityTimeline
GongApi	Add"customAction"EventIntoGong'sActivityTimeline
SertifierApi	Add&PublishCredential
SmallImprovementsApi	Add11ActionItem
