ns	from	to	predicate	reverse
onet.org.ai	https://onet.org.ai/Activity/4A1a1I01	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I02	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I03	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I04	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I05	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I06	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I07	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I08	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I09	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I10	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I11	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I12	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I13	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I14	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I15	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I16	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I17	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I18	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I19	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I20	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I21	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I22	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a1I23	https://onet.org.ai/Activity/4A1a1	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a2I01	https://onet.org.ai/Activity/4A1a2	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a2I02	https://onet.org.ai/Activity/4A1a2	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a2I03	https://onet.org.ai/Activity/4A1a2	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a2I04	https://onet.org.ai/Activity/4A1a2	parentActivity	childActivity
onet.org.ai	https://onet.org.ai/Activity/4A1a2I05	https://onet.org.ai/Activity/4A1a2	parentActivity	childActivity
