compound	component	position	totalComponents
ItService	It	0	2
ItService	Service	1	2
StrategicInitiatives	Strategic	0	2
StrategicInitiatives	Initiatives	1	2
PowerTools	Power	0	2
PowerTools	Tools	1	2
CustomerSatisfaction	Customer	0	2
CustomerSatisfaction	Satisfaction	1	2
EnsureCompliance	Ensure	0	2
EnsureCompliance	Compliance	1	2
EnsureConformance	Ensure	0	2
EnsureConformance	Conformance	1	2
NewProduct	New	0	2
NewProduct	Product	1	2
WorkOrders	Work	0	2
WorkOrders	Orders	1	2
CustomerFeedback	Customer	0	2
CustomerFeedback	Feedback	1	2
WorkAreas	Work	0	2
WorkAreas	Areas	1	2
CustomerComplaints	Customer	0	2
CustomerComplaints	Complaints	1	2
InternalControls	Internal	0	2
InternalControls	Controls	1	2
HandTools	Hand	0	2
HandTools	Tools	1	2
TargetSegments	Target	0	2
TargetSegments	Segments	1	2
MaterialsSupplies	Materials	0	2
MaterialsSupplies	Supplies	1	2
RegularlyScheduledOfficeHours	Regularly	0	4
RegularlyScheduledOfficeHours	Scheduled	1	4
RegularlyScheduledOfficeHours	Office	2	4
RegularlyScheduledOfficeHours	Hours	3	4
AcademicCommitteesDeal	Academic	0	3
AcademicCommitteesDeal	Committees	1	3
AcademicCommitteesDeal	Deal	2	3
InstitutionalPolicies	Institutional	0	2
InstitutionalPolicies	Policies	1	2
AcademicIssues	Academic	0	2
AcademicIssues	Issues	1	2
AdministrativeCommitteesDeal	Administrative	0	3
AdministrativeCommitteesDeal	Committees	1	3
AdministrativeCommitteesDeal	Deal	2	3
KmCapabilities	Km	0	2
KmCapabilities	Capabilities	1	2
ProfessionalJournals	Professional	0	2
ProfessionalJournals	Journals	1	2
ResearchWork	Research	0	2
ResearchWork	Work	1	2
UndergraduateGraduateStudents	Undergraduate	0	3
UndergraduateGraduateStudents	Graduate	1	3
UndergraduateGraduateStudents	Students	2	3
ServiceDelivery	Service	0	2
ServiceDelivery	Delivery	1	2
BusinessStrategy	Business	0	2
BusinessStrategy	Strategy	1	2
BeUsed	Be	0	2
BeUsed	Used	1	2
OtherEquipment	Other	0	2
OtherEquipment	Equipment	1	2
ProfessionalConsultingServices	Professional	0	3
ProfessionalConsultingServices	Consulting	1	3
ProfessionalConsultingServices	Services	2	3
PromotionalActivities	Promotional	0	2
PromotionalActivities	Activities	1	2
ClassroomEquipment	Classroom	0	2
ClassroomEquipment	Equipment	1	2
ProductiveAssets	Productive	0	2
ProductiveAssets	Assets	1	2
AdministrativeDuties	Administrative	0	2
AdministrativeDuties	Duties	1	2
OtherWorkers	Other	0	2
OtherWorkers	Workers	1	2
TestResults	Test	0	2
TestResults	Results	1	2
AdjustControls	Adjust	0	2
AdjustControls	Controls	1	2
IncorrectWiring	Incorrect	0	2
IncorrectWiring	Wiring	1	2
EmployeePerformance	Employee	0	2
EmployeePerformance	Performance	1	2
CustomerNeeds	Customer	0	2
CustomerNeeds	Needs	1	2
StrategicVision	Strategic	0	2
StrategicVision	Vision	1	2
BusinessModels	Business	0	2
BusinessModels	Models	1	2
ItChange	It	0	2
ItChange	Change	1	2
BatchJobSchedule	Batch	0	3
BatchJobSchedule	Job	1	3
