ns	from	to	predicate	reverse
https://business.org.ai	https://business.org.ai/Business/Business	https://business.org.ai/LegalStructure/LegalStructure	has	isPartOf
https://business.org.ai	https://business.org.ai/Business/Business	https://industries.org.ai/Industry/Industry	operatesIn	hasOrganization
https://business.org.ai	https://business.org.ai/Business/Business	https://business.org.ai/Department/Department	has	isPartOf
https://business.org.ai	https://business.org.ai/Business/Business	https://occupations.org.ai/Occupation/Occupation	employs	employedBy
https://business.org.ai	https://business.org.ai/Business/Business	https://business.org.ai/Product/Product	offers	offeredBy
https://business.org.ai	https://business.org.ai/Business/Business	https://business.org.ai/Service/Service	offers	offeredBy
https://business.org.ai	https://business.org.ai/Business/Business	https://business.org.ai/Process/Process	performs	performedBy
https://business.org.ai	https://business.org.ai/Business/Business	https://business.org.ai/Location/Location	has	isPartOf
https://business.org.ai	https://business.org.ai/Business/Business	https://business.org.ai/RevenueModel/RevenueModel	uses	usedBy
https://business.org.ai	https://business.org.ai/Business/Business	https://business.org.ai/Goal/Goal	pursues	pursuedBy
https://business.org.ai	https://business.org.ai/Business/Business	https://business.org.ai/Risk/Risk	manages	managedBy
https://business.org.ai	https://business.org.ai/Business/Business	https://business.org.ai/Capability/Capability	requires	requiredBy
https://business.org.ai	https://business.org.ai/Business/Business	https://business.org.ai/Regulation/Regulation	compliesWith	appliedTo
https://business.org.ai	https://business.org.ai/Business/Business	https://business.org.ai/Stakeholder/Stakeholder	has	isPartOf
https://business.org.ai	https://business.org.ai/Business/Business	https://business.org.ai/Metric/Metric	tracks	trackedBy
https://business.org.ai	https://business.org.ai/Business/Business	https://business.org.ai/Resource/Resource	allocates	allocatedBy
https://business.org.ai	https://business.org.ai/Department/Department	https://business.org.ai/Business/Business	isPartOf	inverseOfIsPartOf
https://business.org.ai	https://business.org.ai/Department/Department	https://occupations.org.ai/Occupation/Occupation	employs	employedBy
https://business.org.ai	https://business.org.ai/Department/Department	https://business.org.ai/Process/Process	performs	performedBy
https://business.org.ai	https://business.org.ai/Department/Department	https://business.org.ai/Resource/Resource	manages	managedBy
https://business.org.ai	https://business.org.ai/Department/Department	https://business.org.ai/Executive/Executive	reportsTo	manages
https://business.org.ai	https://business.org.ai/Department/Department	https://business.org.ai/Department/Department	collaboratesWith	inverseOfCollaboratesWith
https://business.org.ai	https://business.org.ai/Process/Process	https://business.org.ai/Department/Department	isPerformedBy	inverseOfIsPerformedBy
https://business.org.ai	https://business.org.ai/Process/Process	https://business.org.ai/Task/Task	consistsOf	inverseOfConsistsOf
