ns	from	to	predicate	reverse
education.org.ai	https://education.org/SubCluster/Engineering	https://education.org/CareerCluster/AdvancedManufacturing	partOf	hasPart
education.org.ai	https://education.org/SubCluster/IndustrialMachinery	https://education.org/CareerCluster/AdvancedManufacturing	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Production&Automation	https://education.org/CareerCluster/AdvancedManufacturing	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Robotics	https://education.org/CareerCluster/AdvancedManufacturing	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Safety&QualityAssurance	https://education.org/CareerCluster/AdvancedManufacturing	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Agribusiness	https://education.org/CareerCluster/Agriculture	partOf	hasPart
education.org.ai	https://education.org/SubCluster/AgriculturalTechnology&Automation	https://education.org/CareerCluster/Agriculture	partOf	hasPart
education.org.ai	https://education.org/SubCluster/AnimalSystems	https://education.org/CareerCluster/Agriculture	partOf	hasPart
education.org.ai	https://education.org/SubCluster/FoodScience&Processing	https://education.org/CareerCluster/Agriculture	partOf	hasPart
education.org.ai	https://education.org/SubCluster/PlantSystems	https://education.org/CareerCluster/Agriculture	partOf	hasPart
education.org.ai	https://education.org/SubCluster/WaterSystems	https://education.org/CareerCluster/Agriculture	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Design&DigitalArts	https://education.org/CareerCluster/ArtsEntertainmentDesign	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Fashion&Interiors	https://education.org/CareerCluster/ArtsEntertainmentDesign	partOf	hasPart
education.org.ai	https://education.org/SubCluster/FineArts	https://education.org/CareerCluster/ArtsEntertainmentDesign	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Lighting&SoundTechnology	https://education.org/CareerCluster/ArtsEntertainmentDesign	partOf	hasPart
education.org.ai	https://education.org/SubCluster/MediaProduction&Broadcasting	https://education.org/CareerCluster/ArtsEntertainmentDesign	partOf	hasPart
education.org.ai	https://education.org/SubCluster/PerformingArts	https://education.org/CareerCluster/ArtsEntertainmentDesign	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Architecture&CivilEngineering	https://education.org/CareerCluster/Construction	partOf	hasPart
education.org.ai	https://education.org/SubCluster/ConstructionPlanning&Development	https://education.org/CareerCluster/Construction	partOf	hasPart
education.org.ai	https://education.org/SubCluster/EquipmentOperation&Maintenance	https://education.org/CareerCluster/Construction	partOf	hasPart
education.org.ai	https://education.org/SubCluster/SkilledTrades	https://education.org/CareerCluster/Construction	partOf	hasPart
education.org.ai	https://education.org/SubCluster/DataScience&Ai	https://education.org/CareerCluster/DigitalTechnology	partOf	hasPart
education.org.ai	https://education.org/SubCluster/ItSupport&Services	https://education.org/CareerCluster/DigitalTechnology	partOf	hasPart
education.org.ai	https://education.org/SubCluster/NetworkSystems&Cybersecurity	https://education.org/CareerCluster/DigitalTechnology	partOf	hasPart
education.org.ai	https://education.org/SubCluster/SoftwareSolutions	https://education.org/CareerCluster/DigitalTechnology	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Web&Cloud	https://education.org/CareerCluster/DigitalTechnology	partOf	hasPart
education.org.ai	https://education.org/SubCluster/EarlyChildhoodDevelopment	https://education.org/CareerCluster/Education	partOf	hasPart
education.org.ai	https://education.org/SubCluster/EducationAdministration&Leadership	https://education.org/CareerCluster/Education	partOf	hasPart
education.org.ai	https://education.org/SubCluster/LearnerSupport&CommunityEngagement	https://education.org/CareerCluster/Education	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Teaching,Training,&Facilitation	https://education.org/CareerCluster/Education	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Clean&AlternativeEnergy	https://education.org/CareerCluster/EnergyNaturalResources	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Conservation&LandManagement	https://education.org/CareerCluster/EnergyNaturalResources	partOf	hasPart
education.org.ai	https://education.org/SubCluster/EcologicalResearch&Development	https://education.org/CareerCluster/EnergyNaturalResources	partOf	hasPart
education.org.ai	https://education.org/SubCluster/EnvironmentalProtection	https://education.org/CareerCluster/EnergyNaturalResources	partOf	hasPart
education.org.ai	https://education.org/SubCluster/ResourceExtraction	https://education.org/CareerCluster/EnergyNaturalResources	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Utilities	https://education.org/CareerCluster/EnergyNaturalResources	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Accounting	https://education.org/CareerCluster/FinancialServices	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Banking&Credit	https://education.org/CareerCluster/FinancialServices	partOf	hasPart
education.org.ai	https://education.org/SubCluster/FinancialStrategy&Investments	https://education.org/CareerCluster/FinancialServices	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Insurance	https://education.org/CareerCluster/FinancialServices	partOf	hasPart
education.org.ai	https://education.org/SubCluster/RealEstate	https://education.org/CareerCluster/FinancialServices	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Behavioral&MentalHealth	https://education.org/CareerCluster/HealthcareHumanServices	partOf	hasPart
education.org.ai	https://education.org/SubCluster/BiotechnologyResearch&Development	https://education.org/CareerCluster/HealthcareHumanServices	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Community&SocialServices	https://education.org/CareerCluster/HealthcareHumanServices	partOf	hasPart
education.org.ai	https://education.org/SubCluster/HealthData&Administration	https://education.org/CareerCluster/HealthcareHumanServices	partOf	hasPart
education.org.ai	https://education.org/SubCluster/PersonalCareServices	https://education.org/CareerCluster/HealthcareHumanServices	partOf	hasPart
education.org.ai	https://education.org/SubCluster/PhysicalHealth	https://education.org/CareerCluster/HealthcareHumanServices	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Accommodations	https://education.org/CareerCluster/HospitalityEventsTourism	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Conferences&Events	https://education.org/CareerCluster/HospitalityEventsTourism	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Culinary&FoodServices	https://education.org/CareerCluster/HospitalityEventsTourism	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Travel&Leisure	https://education.org/CareerCluster/HospitalityEventsTourism	partOf	hasPart
education.org.ai	https://education.org/SubCluster/BusinessInformationManagement	https://education.org/CareerCluster/ManagementEntrepreneurship	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Entrepreneurship&SmallBusiness	https://education.org/CareerCluster/ManagementEntrepreneurship	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Leadership&Operations	https://education.org/CareerCluster/ManagementEntrepreneurship	partOf	hasPart
education.org.ai	https://education.org/SubCluster/ProjectManagement	https://education.org/CareerCluster/ManagementEntrepreneurship	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Regulation	https://education.org/CareerCluster/ManagementEntrepreneurship	partOf	hasPart
education.org.ai	https://education.org/SubCluster/MarketResearch,Analytics,&Ethics	https://education.org/CareerCluster/MarketingSales	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Marketing&Advertising	https://education.org/CareerCluster/MarketingSales	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Retail&CustomerExperience	https://education.org/CareerCluster/MarketingSales	partOf	hasPart
education.org.ai	https://education.org/SubCluster/StrategicSales	https://education.org/CareerCluster/MarketingSales	partOf	hasPart
education.org.ai	https://education.org/SubCluster/EmergencyResponse	https://education.org/CareerCluster/PublicServiceSafety	partOf	hasPart
education.org.ai	https://education.org/SubCluster/JudicialSystems	https://education.org/CareerCluster/PublicServiceSafety	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Local,State,&FederalServices	https://education.org/CareerCluster/PublicServiceSafety	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Military&NationalSecurity	https://education.org/CareerCluster/PublicServiceSafety	partOf	hasPart
education.org.ai	https://education.org/SubCluster/PublicSafety	https://education.org/CareerCluster/PublicServiceSafety	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Air&SpaceTransportation	https://education.org/CareerCluster/SupplyChainTransportation	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Ground&RailTransportation	https://education.org/CareerCluster/SupplyChainTransportation	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Maintenance&Repair	https://education.org/CareerCluster/SupplyChainTransportation	partOf	hasPart
education.org.ai	https://education.org/SubCluster/MarineTransportation	https://education.org/CareerCluster/SupplyChainTransportation	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Planning&Logistics	https://education.org/CareerCluster/SupplyChainTransportation	partOf	hasPart
education.org.ai	https://education.org/SubCluster/Purchasing&Warehousing	https://education.org/CareerCluster/SupplyChainTransportation	partOf	hasPart
education.org.ai	https://education.org/SubCluster/AnimalSystems	https://education.org/EducationProgram/AgricultureGeneral	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/FoodScience&Processing	https://education.org/EducationProgram/AgricultureGeneral	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/PlantSystems	https://education.org/EducationProgram/AgricultureGeneral	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/Teaching,Training,&Facilitation	https://education.org/EducationProgram/AgricultureGeneral	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/EcologicalResearch&Development	https://education.org/EducationProgram/AgricultureGeneral	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/Agribusiness	https://education.org/EducationProgram/AgriculturalBusinessAndManagementGeneral	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/Teaching,Training,&Facilitation	https://education.org/EducationProgram/AgriculturalBusinessAndManagementGeneral	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/Agribusiness	https://education.org/EducationProgram/AgribusinessagriculturalBusinessOperations	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/Teaching,Training,&Facilitation	https://education.org/EducationProgram/AgribusinessagriculturalBusinessOperations	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/Agribusiness	https://education.org/EducationProgram/AgriculturalEconomics	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/Teaching,Training,&Facilitation	https://education.org/EducationProgram/AgriculturalEconomics	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/BusinessInformationManagement	https://education.org/EducationProgram/AgriculturalEconomics	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/Agribusiness	https://education.org/EducationProgram/FarmfarmAndRanchManagement	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/Teaching,Training,&Facilitation	https://education.org/EducationProgram/FarmfarmAndRanchManagement	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/Teaching,Training,&Facilitation	https://education.org/EducationProgram/AgriculturalfarmSuppliesRetailingAndWholesaling	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/StrategicSales	https://education.org/EducationProgram/AgriculturalfarmSuppliesRetailingAndWholesaling	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/Purchasing&Warehousing	https://education.org/EducationProgram/AgriculturalfarmSuppliesRetailingAndWholesaling	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/ItSupport&Services	https://education.org/EducationProgram/AgriculturalBusinessTechnologytechnician	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/Leadership&Operations	https://education.org/EducationProgram/AgriculturalBusinessTechnologytechnician	specializedBy	specializes
education.org.ai	https://education.org/SubCluster/Agribusiness	https://education.org/EducationProgram/AgriculturalBusinessAndManagementOther	specializedBy	specializes
