url	ns	type	id	code	name	description	careerClusterId	careerClusterName	socCount	cipCount
https://education.org.ai/Career/Engineering	education.org.ai	Career	Engineering	advanced-manufacturing/engineering	Engineering	Engineering sub-cluster within Advanced Manufacturing	advanced-manufacturing	Advanced Manufacturing	33	143
https://education.org.ai/Career/IndustrialMachinery	education.org.ai	Career	IndustrialMachinery	advanced-manufacturing/industrial-machinery	Industrial Machinery	Industrial Machinery sub-cluster within Advanced Manufacturing	advanced-manufacturing	Advanced Manufacturing	28	36
https://education.org.ai/Career/Productionandautomation	education.org.ai	Career	Productionandautomation	advanced-manufacturing/production-automation	Production & Automation	Production & Automation sub-cluster within Advanced Manufacturing	advanced-manufacturing	Advanced Manufacturing	88	78
https://education.org.ai/Career/Robotics	education.org.ai	Career	Robotics	advanced-manufacturing/robotics	Robotics	Robotics sub-cluster within Advanced Manufacturing	advanced-manufacturing	Advanced Manufacturing	5	6
https://education.org.ai/Career/Safetyandqualityassurance	education.org.ai	Career	Safetyandqualityassurance	advanced-manufacturing/safety-quality-assurance	Safety & Quality Assurance	Safety & Quality Assurance sub-cluster within Advanced Manufacturing	advanced-manufacturing	Advanced Manufacturing	10	16
https://education.org.ai/Career/Agribusiness	education.org.ai	Career	Agribusiness	agriculture/agribusiness	Agribusiness	Agribusiness sub-cluster within Agriculture	agriculture	Agriculture	3	31
https://education.org.ai/Career/Agriculturaltechnologyandautomation	education.org.ai	Career	Agriculturaltechnologyandautomation	agriculture/agricultural-technology-automation	Agricultural Technology & Automation	Agricultural Technology & Automation sub-cluster within Agriculture	agriculture	Agriculture	6	6
https://education.org.ai/Career/AnimalSystems	education.org.ai	Career	AnimalSystems	agriculture/animal-systems	Animal Systems	Animal Systems sub-cluster within Agriculture	agriculture	Agriculture	13	59
https://education.org.ai/Career/Foodscienceandprocessing	education.org.ai	Career	Foodscienceandprocessing	agriculture/food-science-processing	Food Science & Processing	Food Science & Processing sub-cluster within Agriculture	agriculture	Agriculture	11	20
https://education.org.ai/Career/PlantSystems	education.org.ai	Career	PlantSystems	agriculture/plant-systems	Plant Systems	Plant Systems sub-cluster within Agriculture	agriculture	Agriculture	19	66
https://education.org.ai/Career/WaterSystems	education.org.ai	Career	WaterSystems	agriculture/water-systems	water systems	water systems sub-cluster within Agriculture	agriculture	Agriculture	9	55
https://education.org.ai/Career/Designanddigitalarts	education.org.ai	Career	Designanddigitalarts	arts-entertainment-design/design-digital-arts	Design & Digital Arts	Design & Digital Arts sub-cluster within Arts, Entertainment, & Design	arts-entertainment-design	Arts, Entertainment, & Design	10	20
https://education.org.ai/Career/Fashionandinteriors	education.org.ai	Career	Fashionandinteriors	arts-entertainment-design/fashion-interiors	Fashion & Interiors	Fashion & Interiors sub-cluster within Arts, Entertainment, & Design	arts-entertainment-design	Arts, Entertainment, & Design	8	15
https://education.org.ai/Career/FineArts	education.org.ai	Career	FineArts	arts-entertainment-design/fine-arts	Fine Arts	Fine Arts sub-cluster within Arts, Entertainment, & Design	arts-entertainment-design	Arts, Entertainment, & Design	5	26
https://education.org.ai/Career/Lightingandsoundtechnology	education.org.ai	Career	Lightingandsoundtechnology	arts-entertainment-design/lighting-sound-technology	Lighting & Sound Technology	Lighting & Sound Technology sub-cluster within Arts, Entertainment, & Design	arts-entertainment-design	Arts, Entertainment, & Design	6	10
https://education.org.ai/Career/Mediaproductionandbroadcasting	education.org.ai	Career	Mediaproductionandbroadcasting	arts-entertainment-design/media-production-broadcasting	Media Production & Broadcasting	Media Production & Broadcasting sub-cluster within Arts, Entertainment, & Design	arts-entertainment-design	Arts, Entertainment, & Design	19	64
https://education.org.ai/Career/PerformingArts	education.org.ai	Career	PerformingArts	arts-entertainment-design/performing-arts	Performing Arts	Performing Arts sub-cluster within Arts, Entertainment, & Design	arts-entertainment-design	Arts, Entertainment, & Design	18	53
https://education.org.ai/Career/Architectureandcivilengineering	education.org.ai	Career	Architectureandcivilengineering	construction/architecture-civil-engineering	Architecture & Civil Engineering	Architecture & Civil Engineering sub-cluster within Construction	construction	Construction	12	29
https://education.org.ai/Career/Constructionplanninganddevelopment	education.org.ai	Career	Constructionplanninganddevelopment	construction/construction-planning-development	Construction Planning & Development	Construction Planning & Development sub-cluster within Construction	construction	Construction	6	36
https://education.org.ai/Career/Equipmentoperationandmaintenance	education.org.ai	Career	Equipmentoperationandmaintenance	construction/equipment-operation-maintenance	Equipment Operation & Maintenance	Equipment Operation & Maintenance sub-cluster within Construction	construction	Construction	19	17
https://education.org.ai/Career/SkilledTrades	education.org.ai	Career	SkilledTrades	construction/skilled-trades	Skilled Trades	Skilled Trades sub-cluster within Construction	construction	Construction	60	42
https://education.org.ai/Career/Datascienceandai	education.org.ai	Career	Datascienceandai	digital-technology/data-science-ai	Data Science & AI	Data Science & AI sub-cluster within Digital Technology	digital-technology	Digital Technology	6	51
