ns	from	to	predicate	reverse
Concepts	LongTermVision	APQC	definedIn	defines
Concepts	LongTermVision	Definethebusinessconceptandlong-termvision	usedInProcess	usesConcept
Concepts	BusinessConcept	APQC	definedIn	defines
Concepts	BusinessConcept	Definethebusinessconceptandlong-termvision	usedInProcess	usesConcept
Concepts	ExternalEnvironment	APQC	definedIn	defines
Concepts	ExternalEnvironment	Assesstheexternalenvironment	usedInProcess	usesConcept
Concepts	InternalEnvironment	APQC	definedIn	defines
Concepts	InternalEnvironment	Assesstheinternalenvironment	usedInProcess	usesConcept
Concepts	CustomerNeeds	APQC	definedIn	defines
Concepts	CustomerNeeds	Surveymarketanddeterminecustomerneedsandwants	usedInProcess	usesConcept
Concepts	IntellectualProperty	APQC	definedIn	defines
Concepts	IntellectualProperty	Evaluateintellectualproperty	usedInProcess	usesConcept
Concepts	WorkingCapital	APQC	definedIn	defines
Concepts	WorkingCapital	Manageworkingcapital	usedInProcess	usesConcept
Concepts	SupplyChain	APQC	definedIn	defines
Concepts	SupplyChain	Managesupplychain	usedInProcess	usesConcept
Concepts	HumanResources	APQC	definedIn	defines
Concepts	HumanResources	Managehumanresources	usedInProcess	usesConcept
Concepts	DataSecurity	APQC	definedIn	defines
Concepts	DataSecurity	Managedatasecurity	usedInProcess	usesConcept
Concepts	ProductDevelopment	APQC	definedIn	defines
Concepts	ProductDevelopment	Manageproductdevelopment	usedInProcess	usesConcept
Concepts	ServiceDelivery	APQC	definedIn	defines
Concepts	ServiceDelivery	Manageservicedelivery	usedInProcess	usesConcept
Concepts	FinancialPerformance	APQC	definedIn	defines
Concepts	FinancialPerformance	Monitorfinancialperformance	usedInProcess	usesConcept
Concepts	RiskManagement	APQC	definedIn	defines
Concepts	RiskManagement	ElectronicsCompanies	usedByOccupation	usesConcept
Concepts	RiskManagement	Implementriskmanagement	usedInProcess	usesConcept
Concepts	QualityControl	APQC	definedIn	defines
Concepts	QualityControl	Implementqualitycontrol	usedInProcess	usesConcept
Concepts	ChangeManagement	APQC	definedIn	defines
Concepts	ChangeManagement	Manageorganizationalchange	usedInProcess	usesConcept
Concepts	PerformanceManagement	APQC	definedIn	defines
Concepts	PerformanceManagement	Developperformancemanagementprocesses	usedInProcess	usesConcept
Concepts	CustomerService	APQC	definedIn	defines
Concepts	CustomerService	AerospaceCompanies	usedByOccupation	usesConcept
Concepts	CustomerService	Managecustomerserviceoperations	usedInProcess	usesConcept
Concepts	ProjectManagement	APQC	definedIn	defines
Concepts	ProjectManagement	Manageprojectexecution	usedInProcess	usesConcept
Concepts	ProtectionEquipment	ONET	definedIn	defines
Concepts	ProtectionEquipment	ONET	usedByIndustry	usesConcept
Concepts	ProtectionEquipment	Maintainrespiratoryprotectionequipment	usedInProcess	usesConcept
