id	name	domain	level
AnatomyPhysiology	Anatomy and Physiology	Healthcare	Undergraduate
ArtHistory	Art History	Arts	Undergraduate
ArtificialIntelligence	Artificial Intelligence	Technology	Graduate
BusinessStrategy	Business Strategy	Business	Graduate
Calculus	Calculus	Science	Undergraduate
CircuitAnalysis	Circuit Analysis	Engineering	Undergraduate
ClinicalPractice	Clinical Practice	Healthcare	Professional
CloudComputing	Cloud Computing	Technology	Professional
CreativeWriting	Creative Writing	Arts	Undergraduate
CurriculumDesign	Curriculum Design	Education	Graduate
Cybersecurity	Cybersecurity	Technology	Professional
DatabaseSystems	Database Systems	Technology	Undergraduate
DataStructuresAlgorithms	Data Structures and Algorithms	Technology	Undergraduate
EducationalPsychology	Educational Psychology	Education	Graduate
EngineeringMechanics	Engineering Mechanics	Engineering	Undergraduate
FinancialAccounting	Financial Accounting	Business	Undergraduate
GeneralBiology	General Biology	Science	Undergraduate
GeneralChemistry	General Chemistry	Science	Undergraduate
HealthcareManagement	Healthcare Management	Healthcare	Graduate
IntroductionComputerScience	Introduction to Computer Science	Technology	Undergraduate
MachineLearning	Machine Learning	Technology	Graduate
MarketingFundamentals	Marketing Fundamentals	Business	Undergraduate
OrganizationalBehavior	Organizational Behavior	Business	Graduate
Pharmacology	Pharmacology	Healthcare	Graduate
Philosophy	Philosophy	Humanities	Undergraduate
PrinciplesManagement	Principles of Management	Business	Undergraduate
ProjectManagement	Project Management	Business	Professional
Statistics	Statistics	Science	Undergraduate
SystemsEngineering	Systems Engineering	Engineering	Graduate
TeachingMethods	Teaching Methods	Education	Professional
Thermodynamics	Thermodynamics	Engineering	Undergraduate
WebDevelopment	Web Development	Technology	Undergraduate
WorldHistory	World History	Humanities	Undergraduate
