id	name	description	discipline	medium
GraphicDesign	Graphic Design	Visual communication design	Design	Digital
WebDesign	Web Design	Website and interface design	Design	Digital
UxDesign	UX Design	User experience design	Design	Digital
UiDesign	UI Design	User interface design	Design	Digital
BrandDesign	Brand Design	Brand identity and visual design	Design	Mixed
ProductDesign	Product Design	Physical and digital product design	Design	Mixed
Illustration	Illustration	Visual illustration and artwork	Art	Mixed
Photography	Photography	Photo capture and editing	Photography	Digital
VideoProduction	Video Production	Video creation and editing	Video	Digital
VideoEditing	Video Editing	Post-production video editing	Video	Digital
MotionGraphics	Motion Graphics	Animated graphics and effects	Animation	Digital
ThreeDAnimation	3D Animation	Three-dimensional animation	Animation	Digital
ContentWriting	Content Writing	Written content creation	Writing	Text
Copywriting	Copywriting	Marketing and advertising copy	Writing	Text
TechnicalWriting	Technical Writing	Technical documentation	Writing	Text
CreativeWriting	Creative Writing	Fiction and creative prose	Writing	Text
AudioProduction	Audio Production	Audio recording and production	Audio	Digital
MusicProduction	Music Production	Music creation and production	Audio	Digital
SoundDesign	Sound Design	Audio effects and sound design	Audio	Digital
VoiceActing	Voice Acting	Voice over and narration	Audio	Digital
