dataset	knowledge
AudioSet	Computers_Electronics
CensusData	Mathematics
CensusData	Sociology_Anthropology
CIFAR10	Computers_Electronics
COCO	Computers_Electronics
CommonCrawl	Communications_Media
CommonCrawl	English_Language
DataGov	Law_Government
EarthObservation	Geography
GenBank	Biology
GLUE	English_Language
ImageNet	Computers_Electronics
LibriSpeech	Computers_Electronics
LibriSpeech	English_Language
MIMIC	Computers_Electronics
MIMIC	Medicine_Dentistry
MNIST	Computers_Electronics
MNIST	Mathematics
NOAA	Geography
NOAA	Physics
NYCTaxi	Mathematics
NYCTaxi	Transportation
OpenDataPortal	Law_Government
OpenStreetMap	Computers_Electronics
OpenStreetMap	Geography
ProteinDataBank	Biology
ProteinDataBank	Chemistry
SQuAD	English_Language
WikipediaCorpus	Communications_Media
WikipediaCorpus	English_Language
WorldBank	Economics_Accounting
YahooFinance	Economics_Accounting
YahooFinance	Mathematics
