education	course
AssociateDegree	FinancialAccounting
AssociateDegree	IntroductionComputerScience
AssociateDegree	PrinciplesManagement
AssociateDegree	WebDevelopment
BachelorDegree	AnatomyPhysiology
BachelorDegree	ArtHistory
BachelorDegree	Calculus
BachelorDegree	CircuitAnalysis
BachelorDegree	CreativeWriting
BachelorDegree	DatabaseSystems
BachelorDegree	DataStructuresAlgorithms
BachelorDegree	EngineeringMechanics
BachelorDegree	FinancialAccounting
BachelorDegree	GeneralBiology
BachelorDegree	GeneralChemistry
BachelorDegree	IntroductionComputerScience
BachelorDegree	MarketingFundamentals
BachelorDegree	Philosophy
BachelorDegree	PrinciplesManagement
BachelorDegree	Statistics
BachelorDegree	Thermodynamics
BachelorDegree	WebDevelopment
BachelorDegree	WorldHistory
MasterDegree	ArtificialIntelligence
MasterDegree	BusinessStrategy
MasterDegree	CurriculumDesign
MasterDegree	EducationalPsychology
MasterDegree	HealthcareManagement
MasterDegree	MachineLearning
MasterDegree	OrganizationalBehavior
MasterDegree	Pharmacology
MasterDegree	SystemsEngineering
PostBaccalaureate	ClinicalPractice
PostBaccalaureate	CloudComputing
PostBaccalaureate	Cybersecurity
PostBaccalaureate	ProjectManagement
PostBaccalaureate	TeachingMethods
