ns	from	to	predicate	reverse
education.org.ai	https://education.org/EducationProgram/AgricultureGeneral	https://education.org/CareerCluster/Agriculture	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgricultureGeneral	https://education.org/SubCluster/AnimalSystems	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgricultureGeneral	https://education.org/CareerCluster/Agriculture	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgricultureGeneral	https://education.org/SubCluster/FoodScience&Processing	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgricultureGeneral	https://education.org/CareerCluster/Agriculture	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgricultureGeneral	https://education.org/SubCluster/PlantSystems	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgricultureGeneral	https://education.org/CareerCluster/Education	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgricultureGeneral	https://education.org/SubCluster/Teaching,Training,&Facilitation	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgricultureGeneral	https://education.org/CareerCluster/EnergyNaturalResources	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgricultureGeneral	https://education.org/SubCluster/EcologicalResearch&Development	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalBusinessAndManagementGeneral	https://education.org/CareerCluster/Agriculture	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalBusinessAndManagementGeneral	https://education.org/SubCluster/Agribusiness	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalBusinessAndManagementGeneral	https://education.org/CareerCluster/Education	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalBusinessAndManagementGeneral	https://education.org/SubCluster/Teaching,Training,&Facilitation	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgribusinessagriculturalBusinessOperations	https://education.org/CareerCluster/Agriculture	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgribusinessagriculturalBusinessOperations	https://education.org/SubCluster/Agribusiness	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgribusinessagriculturalBusinessOperations	https://education.org/CareerCluster/Education	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgribusinessagriculturalBusinessOperations	https://education.org/SubCluster/Teaching,Training,&Facilitation	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalEconomics	https://education.org/CareerCluster/Agriculture	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalEconomics	https://education.org/SubCluster/Agribusiness	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalEconomics	https://education.org/CareerCluster/Education	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalEconomics	https://education.org/SubCluster/Teaching,Training,&Facilitation	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalEconomics	https://education.org/CareerCluster/ManagementEntrepreneurship	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalEconomics	https://education.org/SubCluster/BusinessInformationManagement	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/FarmfarmAndRanchManagement	https://education.org/CareerCluster/Agriculture	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/FarmfarmAndRanchManagement	https://education.org/SubCluster/Agribusiness	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/FarmfarmAndRanchManagement	https://education.org/CareerCluster/Education	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/FarmfarmAndRanchManagement	https://education.org/SubCluster/Teaching,Training,&Facilitation	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalfarmSuppliesRetailingAndWholesaling	https://education.org/CareerCluster/Education	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalfarmSuppliesRetailingAndWholesaling	https://education.org/SubCluster/Teaching,Training,&Facilitation	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalfarmSuppliesRetailingAndWholesaling	https://education.org/CareerCluster/MarketingSales	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalfarmSuppliesRetailingAndWholesaling	https://education.org/SubCluster/StrategicSales	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalfarmSuppliesRetailingAndWholesaling	https://education.org/CareerCluster/SupplyChainTransportation	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalfarmSuppliesRetailingAndWholesaling	https://education.org/SubCluster/Purchasing&Warehousing	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalBusinessTechnologytechnician	https://education.org/CareerCluster/DigitalTechnology	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalBusinessTechnologytechnician	https://education.org/SubCluster/ItSupport&Services	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalBusinessTechnologytechnician	https://education.org/CareerCluster/ManagementEntrepreneurship	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalBusinessTechnologytechnician	https://education.org/SubCluster/Leadership&Operations	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalBusinessAndManagementOther	https://education.org/CareerCluster/Agriculture	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalBusinessAndManagementOther	https://education.org/SubCluster/Agribusiness	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalBusinessAndManagementOther	https://education.org/CareerCluster/Education	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalBusinessAndManagementOther	https://education.org/SubCluster/Teaching,Training,&Facilitation	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalMechanizationGeneral	https://education.org/CareerCluster/Agriculture	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalMechanizationGeneral	https://education.org/SubCluster/AgriculturalTechnology&Automation	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalMechanizationGeneral	https://education.org/CareerCluster/Education	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalMechanizationGeneral	https://education.org/SubCluster/Teaching,Training,&Facilitation	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalPowerMachineryOperation	https://education.org/CareerCluster/Agriculture	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalPowerMachineryOperation	https://education.org/SubCluster/AgriculturalTechnology&Automation	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalPowerMachineryOperation	https://education.org/CareerCluster/Education	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalPowerMachineryOperation	https://education.org/SubCluster/Teaching,Training,&Facilitation	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalMechanicsAndEquipmentmachineTechnologytechnician	https://education.org/CareerCluster/AdvancedManufacturing	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalMechanicsAndEquipmentmachineTechnologytechnician	https://education.org/SubCluster/IndustrialMachinery	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalMechanicsAndEquipmentmachineTechnologytechnician	https://education.org/CareerCluster/Agriculture	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalMechanicsAndEquipmentmachineTechnologytechnician	https://education.org/SubCluster/AgriculturalTechnology&Automation	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalMechanicsAndEquipmentmachineTechnologytechnician	https://education.org/CareerCluster/Construction	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalMechanicsAndEquipmentmachineTechnologytechnician	https://education.org/SubCluster/EquipmentOperation&Maintenance	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalMechanicsAndEquipmentmachineTechnologytechnician	https://education.org/CareerCluster/SupplyChainTransportation	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalMechanicsAndEquipmentmachineTechnologytechnician	https://education.org/SubCluster/Maintenance&Repair	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/IrrigationManagementTechnologytechnician	https://education.org/CareerCluster/Agriculture	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/IrrigationManagementTechnologytechnician	https://education.org/SubCluster/WaterSystems	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/IrrigationManagementTechnologytechnician	https://education.org/CareerCluster/Education	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/IrrigationManagementTechnologytechnician	https://education.org/SubCluster/Teaching,Training,&Facilitation	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalMechanizationOther	https://education.org/CareerCluster/Agriculture	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalMechanizationOther	https://education.org/SubCluster/AgriculturalTechnology&Automation	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalMechanizationOther	https://education.org/CareerCluster/Education	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalMechanizationOther	https://education.org/SubCluster/Teaching,Training,&Facilitation	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalProductionOperationsGeneral	https://education.org/CareerCluster/Agriculture	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalProductionOperationsGeneral	https://education.org/SubCluster/Agribusiness	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalProductionOperationsGeneral	https://education.org/CareerCluster/Agriculture	prepares	preparedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalProductionOperationsGeneral	https://education.org/SubCluster/FoodScience&Processing	specializes	specializedBy
education.org.ai	https://education.org/EducationProgram/AgriculturalProductionOperationsGeneral	https://education.org/CareerCluster/Education	prepares	preparedBy
