id	name	description	level	years
LessThanHighSchool	Less than High School	Education level below high school diploma or equivalent	1	0-11
HighSchoolDiploma	High School Diploma	High school diploma or equivalent (GED)	2	12
SomeCollege	Some College	Some college coursework completed, no degree	3	13-15
AssociateDegree	Associate Degree	Two-year college degree (AA, AS, AAS)	4	14
BachelorDegree	Bachelor Degree	Four-year college degree (BA, BS)	5	16
PostBaccalaureate	Post-Baccalaureate Certificate	Certificate program requiring a bachelor's degree	6	17
MasterDegree	Master Degree	Graduate degree (MA, MS, MBA, MFA)	7	18
PostMaster	Post-Master Certificate	Certificate program requiring a master's degree	8	19
FirstProfessionalDegree	First Professional Degree	Professional degree (MD, JD, DDS, DVM)	9	20+
DoctoralDegree	Doctoral Degree	Highest academic degree (PhD, EdD)	10	20+
