education_program_id	cip_code	career_cluster_id	subcluster_id
agriculture-general	01.0000	agriculture	agriculture/animal-systems
agriculture-general	01.0000	agriculture	agriculture/food-science-processing
agriculture-general	01.0000	agriculture	agriculture/plant-systems
agriculture-general	01.0000	education	education/teaching-training-facilitation
agriculture-general	01.0000	energy-natural-resources	energy-natural-resources/ecological-research-development
agricultural-business-and-management-general	01.0101	agriculture	agriculture/agribusiness
agricultural-business-and-management-general	01.0101	education	education/teaching-training-facilitation
agribusinessagricultural-business-operations	01.0102	agriculture	agriculture/agribusiness
agribusinessagricultural-business-operations	01.0102	education	education/teaching-training-facilitation
agricultural-economics	01.0103	agriculture	agriculture/agribusiness
agricultural-economics	01.0103	education	education/teaching-training-facilitation
agricultural-economics	01.0103	management-entrepreneurship	management-entrepreneurship/business-information-management
farmfarm-and-ranch-management	01.0104	agriculture	agriculture/agribusiness
farmfarm-and-ranch-management	01.0104	education	education/teaching-training-facilitation
agriculturalfarm-supplies-retailing-and-wholesaling	01.0105	education	education/teaching-training-facilitation
agriculturalfarm-supplies-retailing-and-wholesaling	01.0105	marketing-sales	marketing-sales/strategic-sales
agriculturalfarm-supplies-retailing-and-wholesaling	01.0105	supply-chain-transportation	supply-chain-transportation/purchasing-warehousing
agricultural-business-technologytechnician	01.0106	digital-technology	digital-technology/it-support-services
agricultural-business-technologytechnician	01.0106	management-entrepreneurship	management-entrepreneurship/leadership-operations
agricultural-business-and-management-other	01.0199	agriculture	agriculture/agribusiness
agricultural-business-and-management-other	01.0199	education	education/teaching-training-facilitation
agricultural-mechanization-general	01.0201	agriculture	agriculture/agricultural-technology-automation
agricultural-mechanization-general	01.0201	education	education/teaching-training-facilitation
agricultural-power-machinery-operation	01.0204	agriculture	agriculture/agricultural-technology-automation
agricultural-power-machinery-operation	01.0204	education	education/teaching-training-facilitation
agricultural-mechanics-and-equipmentmachine-technologytechnician	01.0205	advanced-manufacturing	advanced-manufacturing/industrial-machinery
agricultural-mechanics-and-equipmentmachine-technologytechnician	01.0205	agriculture	agriculture/agricultural-technology-automation
agricultural-mechanics-and-equipmentmachine-technologytechnician	01.0205	construction	construction/equipment-operation-maintenance
agricultural-mechanics-and-equipmentmachine-technologytechnician	01.0205	supply-chain-transportation	supply-chain-transportation/maintenance-repair
irrigation-management-technologytechnician	01.0207	agriculture	agriculture/water-systems
irrigation-management-technologytechnician	01.0207	education	education/teaching-training-facilitation
agricultural-mechanization-other	01.0299	agriculture	agriculture/agricultural-technology-automation
agricultural-mechanization-other	01.0299	education	education/teaching-training-facilitation
agricultural-production-operations-general	01.0301	agriculture	agriculture/agribusiness
agricultural-production-operations-general	01.0301	agriculture	agriculture/food-science-processing
agricultural-production-operations-general	01.0301	education	education/teaching-training-facilitation
animallivestock-husbandry-and-production	01.0302	agriculture	agriculture/agribusiness
animallivestock-husbandry-and-production	01.0302	agriculture	agriculture/animal-systems
animallivestock-husbandry-and-production	01.0302	education	education/teaching-training-facilitation
aquaculture	01.0303	agriculture	agriculture/water-systems
aquaculture	01.0303	education	education/teaching-training-facilitation
crop-production	01.0304	agriculture	agriculture/food-science-processing
crop-production	01.0304	agriculture	agriculture/plant-systems
crop-production	01.0304	education	education/teaching-training-facilitation
dairy-husbandry-and-production	01.0306	agriculture	agriculture/food-science-processing
dairy-husbandry-and-production	01.0306	education	education/teaching-training-facilitation
horse-husbandryequine-science-and-management	01.0307	agriculture	agriculture/animal-systems
horse-husbandryequine-science-and-management	01.0307	education	education/teaching-training-facilitation
agroecology-and-sustainable-agriculture	01.0308	agriculture	agriculture/agribusiness
agroecology-and-sustainable-agriculture	01.0308	agriculture	agriculture/plant-systems
agroecology-and-sustainable-agriculture	01.0308	education	education/teaching-training-facilitation
agroecology-and-sustainable-agriculture	01.0308	energy-natural-resources	energy-natural-resources/ecological-research-development
agroecology-and-sustainable-agriculture	01.0308	energy-natural-resources	energy-natural-resources/conservation-land-management
apiculture	01.0310	agriculture	agriculture/agribusiness
apiculture	01.0310	agriculture	agriculture/animal-systems
apiculture	01.0310	agriculture	agriculture/water-systems
apiculture	01.0310	education	education/teaching-training-facilitation
agricultural-production-operations-other	01.0399	agriculture	agriculture/agribusiness
agricultural-production-operations-other	01.0399	education	education/teaching-training-facilitation
agricultural-and-food-products-processing	01.0401	agriculture	agriculture/food-science-processing
agricultural-and-food-products-processing	01.0401	agriculture	agriculture/agribusiness
agricultural-and-food-products-processing	01.0401	education	education/teaching-training-facilitation
dogpetanimal-grooming	01.0504	agriculture	agriculture/animal-systems
dogpetanimal-grooming	01.0504	education	education/teaching-training-facilitation
animal-training	01.0505	agriculture	agriculture/animal-systems
animal-training	01.0505	education	education/teaching-training-facilitation
equestrianequine-studies	01.0507	agriculture	agriculture/animal-systems
equestrianequine-studies	01.0507	education	education/teaching-training-facilitation
farrier-science	01.0509	agriculture	agriculture/animal-systems
farrier-science	01.0509	education	education/teaching-training-facilitation
applied-horticulturehorticulture-operations-general	01.0601	agriculture	agriculture/plant-systems
applied-horticulturehorticulture-operations-general	01.0601	education	education/teaching-training-facilitation
applied-horticulturehorticulture-operations-general	01.0601	hospitality-events-tourism	hospitality-events-tourism/travel-leisure
ornamental-horticulture	01.0603	agriculture	agriculture/plant-systems
ornamental-horticulture	01.0603	education	education/teaching-training-facilitation
ornamental-horticulture	01.0603	hospitality-events-tourism	hospitality-events-tourism/travel-leisure
greenhouse-operations-and-management	01.0604	agriculture	agriculture/plant-systems
greenhouse-operations-and-management	01.0604	agriculture	agriculture/agribusiness
greenhouse-operations-and-management	01.0604	education	education/teaching-training-facilitation
greenhouse-operations-and-management	01.0604	hospitality-events-tourism	hospitality-events-tourism/travel-leisure
landscaping-and-groundskeeping	01.0605	agriculture	agriculture/plant-systems
landscaping-and-groundskeeping	01.0605	education	education/teaching-training-facilitation
landscaping-and-groundskeeping	01.0605	hospitality-events-tourism	hospitality-events-tourism/travel-leisure
plant-nursery-operations-and-management	01.0606	agriculture	agriculture/agribusiness
plant-nursery-operations-and-management	01.0606	agriculture	agriculture/plant-systems
plant-nursery-operations-and-management	01.0606	education	education/teaching-training-facilitation
plant-nursery-operations-and-management	01.0606	hospitality-events-tourism	hospitality-events-tourism/travel-leisure
turf-and-turfgrass-management	01.0607	agriculture	agriculture/plant-systems
turf-and-turfgrass-management	01.0607	education	education/teaching-training-facilitation
turf-and-turfgrass-management	01.0607	hospitality-events-tourism	hospitality-events-tourism/travel-leisure
floriculturefloristry-operations-and-management	01.0608	marketing-sales	marketing-sales/retail-customer-experience
public-horticulture	01.0609	agriculture	agriculture/plant-systems
public-horticulture	01.0609	education	education/teaching-training-facilitation
urban-and-community-horticulture	01.0610	agriculture	agriculture/plant-systems
urban-and-community-horticulture	01.0610	education	education/teaching-training-facilitation
international-agriculture	01.0701	agriculture	agriculture/food-science-processing
international-agriculture	01.0701	education	education/teaching-training-facilitation
agricultural-and-extension-education-services	01.0801	education	education/teaching-training-facilitation
agricultural-communicationjournalism	01.0802	arts-entertainment-design	arts-entertainment-design/media-production-broadcasting
agricultural-communicationjournalism	01.0802	arts-entertainment-design	arts-entertainment-design/lighting-sound-technology
animal-sciences-general	01.0901	agriculture	agriculture/agribusiness
