url	ns	type	id	code	name	description	employment	matched_onet
https://onet.org.ai/Employment/ManagementOccupations	onet.org.ai	Employment	ManagementOccupations	110000	Management Occupations		10966830	false
https://onet.org.ai/Employment/TopExecutives	onet.org.ai	Employment	TopExecutives	111000	Top Executives		3822780	false
https://onet.org.ai/Employment/ChiefSustainabilityOfficers	onet.org.ai	Employment	ChiefSustainabilityOfficers	111011	Chief Sustainability Officers		211850	true
https://onet.org.ai/Employment/OperationsManagers	onet.org.ai	Employment	OperationsManagers	111021	General and Operations Managers		3584420	true
https://onet.org.ai/Employment/Legislators	onet.org.ai	Employment	Legislators	111031	Legislators		26510	true
https://onet.org.ai/Employment/AdvertisingMarketingPromotionsPublicRelationsandSalesManagers	onet.org.ai	Employment	AdvertisingMarketingPromotionsPublicRelationsandSalesManagers	112000	Advertising, Marketing, Promotions, Public Relations, and Sales Managers		1122770	false
https://onet.org.ai/Employment/PromotionsManagers	onet.org.ai	Employment	PromotionsManagers	112011	Advertising and Promotions Managers		21100	true
https://onet.org.ai/Employment/MarketingandSalesManagers	onet.org.ai	Employment	MarketingandSalesManagers	112020	Marketing and Sales Managers		988680	false
https://onet.org.ai/Employment/MarketingManagers	onet.org.ai	Employment	MarketingManagers	112021	Marketing Managers		384980	true
https://onet.org.ai/Employment/SalesManagers	onet.org.ai	Employment	SalesManagers	112022	Sales Managers		603710	true
https://onet.org.ai/Employment/PublicRelationsandFundraisingManagers	onet.org.ai	Employment	PublicRelationsandFundraisingManagers	112030	Public Relations and Fundraising Managers		112980	false
https://onet.org.ai/Employment/PublicRelationsManagers	onet.org.ai	Employment	PublicRelationsManagers	112032	Public Relations Managers		76060	true
https://onet.org.ai/Employment/FundraisingManagers	onet.org.ai	Employment	FundraisingManagers	112033	Fundraising Managers		36920	true
https://onet.org.ai/Employment/OperationsSpecialtiesManagers	onet.org.ai	Employment	OperationsSpecialtiesManagers	113000	Operations Specialties Managers		2669000	false
https://onet.org.ai/Employment/AdministrativeServicesandFacilitiesManagers	onet.org.ai	Employment	AdministrativeServicesandFacilitiesManagers	113010	Administrative Services and Facilities Managers		395230	false
