id	code	name	description	classCode

ArtistsBrushesApplicators	10001674	Artists Brushes/Applicators	Includes any products that can be described/observed as a device consisting of bristles or a piece of sponge-like material fastened to a handle and used by an artist to apply paint onto a surface such as paper or canvas. Includes products such as Artists Brushes, Applicators and Painting Knives. 	70010100
ArtistsCanvasPrePrimedBoards	10001679	Artists Canvas/Pre-primed Boards	Includes any products that can be described/observed as a surface used by an artist for painting, which may or may not be covered with a fabric such as canvas or hessian. Includes products such as Artists Stretched Canvas, Canvas Roll and Pre-Primed Boards.	70010100
ArtistsDrawingBoards	10005372	Artists Drawing Boards	Includes any products that can be described/observed as a board used by an artist or designer for drawing upon. Includes products such as a portable desktop drawing board and a freestanding drawing board designed with fold-away legs.	70010100
ArtistsEasels	10001681	Artists Easels	Includes any products that can be described/observed as an upright frame for displaying or supporting an artist's canvas or board. Includes products such as Free-Standing and Table-Top Easels.	70010100
ArtistsPaintingSurfaceAgents	10001678	Artists Painting Surface Agents	Includes any products that can be described/observed as a substance used by artists, which is applied to the painting surface as a pre-paint preparation or post-paint treatment. Includes products such as Artists Canvas Primer, Picture Varnish, Artists Gum Arabic and Artists Paint Lifting Preparation. 	70010100
ArtistsPaintingDrawingSuppliesOther	10001685	Artists Painting/Drawing Supplies Other	Includes any products that may be described/observed as Artists Painting/Drawing Supplies products, where the user of the schema is not able to classify the products in existing bricks within the schema.	70010100
ArtistsPaintingDrawingSuppliesVarietyPacks	10001684	Artists Painting/Drawing Supplies Variety Packs	Includes any products that can be described/observed as two or more distinct Artists Painting/Drawing Supplies products sold together, which exist within the schema belonging to different bricks but to the same class, that is, two or more products contained within the same pack, which cross bricks within the Artists Painting/Drawing Supplies class. Includes products such as Brushes sold with Brush Holders. Items received free with purchases should be removed from the classification decision-making process.	70010100
ArtistsPaintsDyes	10001676	Artists Paints/Dyes	Includes any products that can be described/ observed as a combination of pigments, thinners and oils, used in effecting an artistic painting. 	70010100
ArtistsPalettes	10001680	Artists Palettes	Includes any products that can be described/observed as a board, which an artist can hold while painting and on which colours are mixed.	70010100
PastelsCharcoalCrayonsChalk	10001677	Pastels/Charcoal/Crayons/Chalk	Includes any products that can be described/observed as a piece of calcite, carbonaceous or wax material used for drawing and artistic colouring. Includes products such as Artists Chalk Pastels, Artists Charcoal and Artists Wax Crayons. Also includes Marking Pencils and Haberdashery Chalk, normally used for marking fabrics and textiles to facilitate needlework craft  and pavement chalk used notably as child toys.	70010100
ArtsCraftsNeedleworkStorageOrganizers	10001712	Arts/Crafts/Needlework Storage/Organizers	Includes any products that may be described/observed as an item specifically designed to store and organize arts, crafts, needlework, toy-making and painting/drawing materials. Includes products such as thread boxes and needle cases.	70011600
ArtsCraftsNeedleworkAdornments	10001714	Arts/Crafts/Needlework Adornments	Includes any products that can be described/observed as a device designed to enhance arts, crafts and needlework craft. Includes products such as boning/wiring and sequins.	70011400
ArtsCraftsNeedleworkBeadsStones	10001717	Arts/Crafts/Needlework Beads/Stones	Includes any products that can be described/observed as a bead or stone material used as ornamental pieces for making jewellery, ornament toys or for decorations in the different types of arts, crafts and needlework. Includes products such as man-made beads, natural stone pieces and mother of pearl inlay.	70011400
ArtsCraftsNeedleworkFabricsTextiles	10001699	Arts/Crafts/Needlework Fabrics/Textiles	Includes any products that may be described/observed as fabrics or textiles specifically designed to be used in arts, crafts and needlework. Includes products such as cross stich fabric and upholstery fabric.	70011400
ArtsCraftsNeedleworkFasteners	10001710	Arts/Crafts/Needlework Fasteners	Includes any products that may be described/observed as an item designed to hold together layers of fabric when crafting arts, crafts and needlework. Includes products such as Buttons, Hooks, Press-Studs, Zips and Velcro Tape.	70011400
ArtsCraftsNeedleworkFibresYarns	10001756	Arts/Crafts/Needlework Fibres/Yarns	Includes any products that may be described/observed as either fibres that can be spun into yarn, or already spun weaving yarn that is specifically designed to be used for woven crafts such as rug making. Includes products such as Wool Fibres that have not been spun and already spun Linen Yarn.	70011400
ArtsCraftsNeedleworkLaceRibbonsCordsBraids	10001700	Arts/Crafts/Needlework Lace/Ribbons/Cords/Braids	Includes any products that may be described/observed as textile-based adornments for fabric products, which are used in arts, crafts and needlework.	70011400
ArtsCraftsNeedleworkMoulds	10001737	Arts/Crafts/Needlework Moulds	Includes any products that may be described/observed as a cavity or container in which liquid materials are placed to cooling, hardening or drying to give them a particular shape or form. These moulds are used in the craft of making candles, jewellery, decorations, sculptures or soaps.	70011400
ArtsCraftsNeedleworkSandSupplies	10001683	Arts/Crafts/Needlework Sand Supplies	Includes any products that can be described/observed as an item or substance used in sand art and craft activities. Includes products such as Sculpting Sand and Sand Bottles.	70011400
ArtsCraftsNeedleworkSuppliesAccessories	10008365	Arts/Crafts/Needlework Supplies Accessories	Includes any products that can be described/observed as an accessory for supplies used arts, crafts and needlework. Includes products such as brush holders, moulded foam, honeycomb sheets, beeswax, clay, marble and alabaster.	70011400
ArtsCraftsNeedleworkSuppliesVarietyPacks	10008397	Arts/Crafts/Needlework Supplies Variety Packs	Includes any products that may be described/observed as two or more distinct Arts, Crafts and Needlework supplies sold together, which exist within the schema belonging to different bricks but to the same class, that is, two or more products contained within the same pack, which cross bricks within the arts, crafts and needlework Supplies class. Includes products such as Threads sold with Beads. Items received free with purchases should be removed from the classification decision- making process.	70011400
ArtsCraftsNeedleworkTemplates	10001713	Arts/Crafts/Needlework Templates	Includes any products that may be described/observed as pre-printed designs to be followed or copied by the user to create a piece of art, craft and needlework. These designs may be printed on materials, or may be patterns used as guides or could be cut-out shapes. Includes products such as embroidery templates, knitting templates, jewelry templates, burning and engraving templates and all other types of templates used in the different arts and crafts.	70011400
ArtsCraftsNeedleworkThreads	10001701	Arts/Crafts/Needlework Threads	Includes any products that may be described/observed as a spun cord of twisted fibres, typically of cotton, silk, wool or nylon, specifically designed for arts, crafts and needlework craft. Includes products such as Sewing Thread, Embroidery Thread and Tapestry Thread.	70011400
AirbrushesPowered	10001686	Airbrushes (Powered)	Includes any products that can be described/observed as a powered machine that scatters paint using air pressure and which is used for design illustrations, fine art and delicate fine spray applications. The machine comprises of a compression or propulsion device to scatter the paint. 	70011500
ArtsCraftsNeedleworkNeedles	10001702	Arts/Crafts/Needlework Needles	Includes any products that may be described/observed as a tool to enable the craft of arts, crafts and needlework by hand or machine. Includes products such as hand sewing needles, hand knitting needles, sewing machine needles, crochet hooks and pins.	70011500
ArtsCraftsNeedleworkToolsReplacementParts	10008399	Arts/Crafts/Needlework Tools - Replacement Parts	Includes any products that can be described/observed as a replacement part for tools used in arts, crafts and needlework. Includes products such as airbrush control valves and airbrush hoses.	70011500
ArtsCraftsNeedleworkToolsNonPowered	10008401	Arts/Crafts/Needlework Tools (Non Powered)	Includes any products that may be described/observed as a non powered tool specifically designed for arts, crafts and needlework and are not classified in existing arts, crafts, needlework tools class. Includes products such as thimbles, sewing machine bobbins, eyelet punches, needlework scissors, crochet hooks, pinking shears, pins and weaving combs.	70011500
ArtsCraftsNeedleworkToolsVarietyPacks	10008400	Arts/Crafts/Needlework Tools Variety Packs	Includes any products that may be described/observed as two or more distinct Arts, Crafts and Needlework Tools sold together, which exist within the schema belonging to different bricks but to the same class, that is, two or more products contained within the same pack, which cross bricks within the arts, crafts and needlework tools class. Includes products such as needles sold with timble. Items received free with purchases should be removed from the classification decision- making process.	70011500
BurningEngravingCraftToolsNonPowered	10001743	Burning/Engraving Craft Tools (Non Powered)	Includes any products that may be described/observed as a non-powered tool specifically designed for the craft of burning or engraving. Includes products such as a non-powered burning branding iron and an engraving chisel.	70011500
BurningEngravingCraftToolsPowered	10001742	Burning/Engraving Craft Tools (Powered)	Includes any products that may be described/observed as a powered tool specifically designed for the craft of burning or engraving. Includes products such as powered burners and powered engravers.	70011500
KilnsPowered	10001694	Kilns (Powered)	Includes any products that may be described/observed as an oven specifically designed for baking, firing or drying crafted ceramics.	70011500
MelterNonPowered	10008398	Melter (Non Powered)	Includes any products that may be described/observed as a non powered tool specifically designed for melting a substance from solid to liquid state and used for crafting candles, soaps, glass or metal jewelry. Includes products such as non powered melting pots.	70011500
MelterPowered	10001732	Melter (Powered)	Includes any products that may be described/observed as a powered tool specifically designed to melt a substance from solid to liquid state and used for crafting candles, soaps, glass or metal jewelry. Includes products such as wax, glass and metal melters.	70011500
PaperCraftToolsNonPowered	10001726	Paper Craft Tools (Non Powered)	Includes any products that may be described/observed as a non-powered tool specifically designed for use in paper craft. Includes products such as Paper Crimpers.	70011500
PotteryWheelsNonPowered	10001696	Pottery Wheels (Non Powered)	Includes any products that may be described/observed as a non-powered revolving wheel on which crafted pottery products are formed and shaped. Non-powered pottery wheels are typically foot operated.	70011500
PotteryWheelsPowered	10001695	Pottery Wheels (Powered)	Includes any products that may be described/observed as a powered revolving wheel on which crafted pottery products are formed and shaped.	70011500
PrintingCraftToolsNonPowered	10001748	Printing Craft Tools (Non Powered)	Includes any products that may be described/observed as tools specifically designed for use in the craft of printing. Includes products such as Barens, Rollers and Inking Plates.	70011500
PrintingPressNonPowered	10001750	Printing Press (Non Powered)	Includes any products that may be described/observed as a non-powered device used in printing craft to press a design onto fabric or paper.	70011500
PrintingPressPowered	10001749	Printing Press (Powered)	Includes any products that may be described/observed as a powered device used in printing craft to press a design onto fabric or paper.	70011500
SculptorsToolsNonPowered	10001692	Sculptors Tools (Non Powered)	Includes any products that may be described/ observed as a non-powered sculptor's tool used in the craft of sculpting. Includes products such as Sculptors' Chisels, Sculptors' Hammers, Clay Guns and Pottery Brushes. 	70011500
SculptorsToolsPowered	10001693	Sculptors Tools (Powered)	Includes any products that may be described/observed as a powered tool specifically designed to aid the sculpturing craft. Includes products such as Pneumatic Hammers and Pneumatic Grinders. 	70011500
SewingKnittingToolsNonPowered	10001706	Sewing/Knitting Tools (Non Powered)	Includes any products that may be described/observed as a non-powered tool for the craft of sewing or knitting.	70011500
SewingKnittingToolsPowered	10001707	Sewing/Knitting Tools (Powered)	Includes any products that may be described/observed as a powered tool for the craft of sewing or knitting. Includes products such as powered sewing machines, knitting machines and overlockers.	70011500
SpinningWeavingToolsNonPowered	10001755	Spinning/Weaving Tools (Non Powered)	Includes any products that may be described/observed as a non-powered device specifically designed, in the case of spinning machines, to spin threads to craft yarn, or, in the case of weaving machines, to weave yarn to craft fabrics or rugs. Includes products such as weaving frames and floor looms.	70011500
SpinningWeavingToolsPowered	10001754	Spinning/Weaving Tools (Powered)	Includes any products that may be described/observed as a powered device specifically designed, in the case of spinning machines, to spin threads and thus craft yarn, or, in the case of weaving machines, to weave yarn to craft fabrics or rugs. Includes products such as electronic loom and an electronic spinning sheel.	70011500
ArtsCraftsNeedleworkVarietyPacks	10001760	Arts/Crafts/Needlework Variety Packs	Includes any products that may be described/observed as two or more distinct Arts, Crafts and Needlework products sold together, which exist within the schema but belong to different classes, that is, two or more products contained within the same pack, which cross classes within the Arts, Crafts and Needlework Family. Includes products such as Needlework Supplies sold with Beads. Items received free with purchases should be removed from the classification decision- making process.	70011300
PaperCraftCardMakingSupplies	10001730	Paper Craft/Card Making Supplies	Includes any products that may be described/observed as Paper Craft and Card Making Supplies products. Includes products such as quilling strips, raffia paper and origami paper.	70010700
PaperCraftCardMakingSuppliesVarietyPacks	10001729	Paper Craft/Card Making Supplies Variety Packs	Includes any products that can be described/observed as two or more distinct Paper Craft and Card Making Supplies products sold together, which exist within the schema belonging to different bricks but to the same class, that is, two or more products contained within the same pack, which cross bricks within the Paper Craft and Card Making Supplies class. Includes products such as Paper Craft Quilling Strip sold with a Quilling Tool. Items received free with purchases should be removed from the classification decision-making process.	70010700
AnalogueDigitalConverters	10005726	Analogue/Digital Converters	Includes any products that can be described/observed as a device which converts a standard analogue signal from a cd player, games console or cassette to a digital output, both optical and coaxial.	68010700
AudioHeadsets	10001467	Audio Headsets	Includes any products that can be described/observed as an audio receiver with small speakers that can be held to each ear by a headband or inserted into the ear, in order for one to listen to audio sounds. 	68010700
AudioVisualAccessoriesReplacementParts	10001483	Audio Visual Accessories - Replacement Parts	Includes any products that can be described/observed as replacement parts for Audio-Visual Accessories products.	68010700
AudioVisualAccessoriesOther	10001484	Audio Visual Accessories Other	Includes any products that can be described/observed as Audio-Visual Accessories products, where the user of the schema is unable to classify the products in existing bricks within the schema.	68010700
AudioVisualAccessoriesVarietyPacks	10001482	Audio Visual Accessories Variety Packs	Includes any products that can be described/observed as two or more distinct Audio-Visual Accessories products sold together, which exist within the schema belonging to different bricks but to the same class, that is two or more products contained within the same pack which cross bricks within the Audio-Visual Accessories class. Includes products such as Headphones and Microphones sold together. Items that are received free with purchases should be removed from the classification decision-making process.	68010700
AudioVisualBagsBoxesCasesWallets	10001478	Audio Visual Bags/Boxes/Cases/Wallets	Includes any products that can be described/observed as a box, case, bag or wallet that is used to carry and/or store audio-visual equipment. Includes products such as a CD/DVD box, wallet or record bag.	68010700
AudioVisualCleaningProducts	10001480	Audio Visual Cleaning Products	Includes any products that can be described/observed as a product specifically used to clean, polish and restore audio-visual equipment. Includes products such as cassette cleaner and repair polish for a CD or DVD.	68010700
AudioVisualLabellingSystems	10005744	Audio Visual Labelling Systems	Includes any products that can be described/observed as equipment or a means of labelling audio visual media such as CDs or DVDs.	68010700
AudioVisualStandsBrackets	10001477	Audio Visual Stands/Brackets	Includes any products that can be described/observed as an item that is specifically designed to support or house a particular brand of audio-visual device. 	68010700
ConverterCassettes	10001475	Converter Cassettes	Includes any products that can be described/observed as a device into which you place camcorder tapes so that they can be played through a video cassette player.	68010700
