id	code	name	familyCode

ArtistsPaintingDrawingSupplies	70010100	Artists Painting/Drawing Supplies	70010000
ArtsCraftsNeedleworkStorageOrganizers	70011600	Arts/Crafts/Needlework Storage/Organizers	70010000
ArtsCraftsNeedleworkSupplies	70011400	Arts/Crafts/Needlework Supplies	70010000
ArtsCraftsNeedleworkTools	70011500	Arts/Crafts/Needlework Tools	70010000
ArtsCraftsNeedleworkVarietyPacks	70011300	Arts/Crafts/Needlework Variety Packs	70010000
PaperCardMakingCraftSupplies	70010700	Paper/Card Making Craft Supplies	70010000
AudioVisualAccessories	68010700	Audio Visual Accessories	68010000
AudioVisualEquipmentVarietyPacks	68010800	Audio Visual Equipment Variety Packs	68010000
HomeAudioEquipment	68010400	Home Audio Equipment	68010000
PortableAudioVideo	68010300	Portable Audio/Video	68010000
Televisions	68010100	Televisions	68010000
VideoReceivingInstallation	68010900	Video Receiving/Installation	68010000
VideoRecordingPlayback	68010200	Video Recording/Playback	68010000
PreRecordedOrDigitalContentMedia	68040100	Pre-Recorded or Digital Content Media	68040000
RecordableMedia	68040200	Recordable Media	68040000
AudioVisualPhotographyVarietyPacks	68050100	Audio Visual/Photography Variety Packs	68050000
CarAudio	68030200	Car Audio	68030000
CarVideoNavigation	68030100	Car Video/Navigation	68030000
InCarElectronicsVarietyPacks	68030300	In-car Electronics Variety Packs	68030000
Optics	68020200	Optics	68020000
Photography	68020100	Photography	68020000
PhotographyPrintingDarkRoomEquipment	68020300	Photography Printing/Dark Room Equipment	68020000
PhotographyOpticsVarietyPacks	68020400	Photography/Optics Variety Packs	68020000
BeautyPersonalCareHygieneVarietyPacks	53220100	Beauty/Personal Care/Hygiene Variety Packs	53220000
BodyMassageToning	53201000	Body Massage/Toning	53200000
Aromatherapy	53161500	Aromatherapy	53160000
CosmeticMakeupProducts	53161000	Cosmetic/MakeUp Products	53160000
CosmeticsFragrancesVarietyPacks	53161400	Cosmetics/Fragrances Variety Packs	53160000
Fragrances	53161300	Fragrances	53160000
