id	code	name	segmentCode

ArtsCraftsNeedleworkSupplies	70010000	Arts/Crafts/Needlework Supplies	70000000
AudioVisualEquipment	68010000	Audio Visual Equipment	68000000
AudioVisualMedia	68040000	Audio Visual Media	68000000
AudioVisualPhotographyVarietyPacks	68050000	Audio Visual/Photography Variety Packs	68000000
InCarElectronics	68030000	In-car Electronics	68000000
PhotographyOptics	68020000	Photography/Optics	68000000
BeautyPersonalCareHygieneVarietyPacks	53220000	Beauty/Personal Care/Hygiene Variety Packs	53000000
BodyProducts	53200000	Body Products	53000000
CosmeticsFragrances	53160000	Cosmetics/Fragrances	53000000
HairProducts	53140000	Hair Products	53000000
MaternityProducts	53240000	Maternity Products	53000000
PersonalHygieneProducts	53180000	Personal Hygiene Products	53000000
PersonalIntimacy	53230000	Personal Intimacy	53000000
SkinProducts	53130000	Skin Products	53000000
TattoosPermanent	53250000	Tattoos - Permanent	53000000
BuildingProducts	83010000	Building Products	83000000
Camping	74010000	Camping	74000000
CleaningProducts	47100000	Cleaning Products	47000000
CleaningHygieneProductsVarietyPacks	47190000	Cleaning/Hygiene Products Variety Packs	47000000
CleaningHygieneSupplies	47200000	Cleaning/Hygiene Supplies	47000000
IndustrialCleaning	47220000	Industrial Cleaning	47000000
WasteManagementProducts	47210000	Waste Management Products	47000000
Activewear	67030000	Activewear	67000000
Clothing	67010000	Clothing	67000000
ProtectiveWear	67050000	Protective Wear	67000000
Sleepwear	67020000	Sleepwear	67000000
Swimwear	67060000	Swimwear	67000000
Underwear	67040000	Underwear	67000000
Communications	66010000	Communications	66000000
ComputersVideoGames	65010000	Computers/Video Games	65000000
CropsForFoodProduction	94020000	Crops for Food Production	94000000
CropsNotForFoodOrFeedAnimalAndFish	94010000	Crops not for food or feed (animal and fish)	94000000
GrassAndOtherCropsForAnimalFeedOrForSoilImprovement	94030000	Grass and Other Crops for Animal Feed or for Soil Improvement	94000000
CrossSegment	58010000	Cross Segment	58000000
ElectricalCablingWiring	78040000	Electrical Cabling/Wiring	78000000
ElectricalConnectionDistribution	78020000	Electrical Connection/Distribution	78000000
ElectricalLighting	78030000	Electrical Lighting	78000000
ElectronicCommunicationComponents	78050000	Electronic Communication Components	78000000
GeneralElectricalHardware	78060000	General Electrical Hardware	78000000
FluidsFuelStorageTransfer	87020000	Fluids/Fuel Storage/Transfer	87000000
FuelsFuelAdditives	87010000	Fuels/Fuel Additives	87000000
GasesNotUsedAsFuels	87030000	Gases Not Used As Fuels	87000000
AnimalDerivedEdibleProducts	50410000	Animal-derived Edible Products	50000000
Beverages	50200000	Beverages	50000000
BreadBakeryProducts	50180000	Bread/Bakery Products	50000000
CerealGrainPulseProducts	50220000	Cereal/Grain/Pulse Products	50000000
ConfectionerySugarSweeteningProducts	50160000	Confectionery/Sugar Sweetening Products	50000000
FishAndSeafood	50120000	Fish and Seafood	50000000
FoodBeverageVarietyPacks	50230000	Food/Beverage Variety Packs	50000000
FreshGarnishFood	50360000	Fresh Garnish (Food)	50000000
FruitsUnpreparedUnprocessedFresh	50250000	Fruits - Unprepared/Unprocessed (Fresh)	50000000
FruitsUnpreparedUnprocessedFrozen	50270000	Fruits - Unprepared/Unprocessed (Frozen)	50000000
FruitsUnpreparedUnprocessedShelfStable	50310000	Fruits - Unprepared/Unprocessed (Shelf Stable)	50000000
FruitsVegetablesFresh&FreshCut	50370000	Fruits/Vegetables Fresh & Fresh Cut	50000000
FruitsVegetablesFreshCut	50380000	Fruits/Vegetables Fresh Cut	50000000
FruitsVegetablesNutsSeedsPreparedProcessed	50100000	Fruits/Vegetables/Nuts/Seeds Prepared/Processed	50000000
InsectsEdible	50400000	Insects Edible	50000000
LeafVegetablesUnpreparedUnprocessedFresh	50350000	Leaf Vegetables - Unprepared/Unprocessed (Fresh)	50000000
MeatFishSeafoodSubstitutes	50390000	Meat/Fish/Seafood Substitutes	50000000
MeatPoultryOtherAnimals	50240000	Meat/Poultry/Other Animals	50000000
MilkButterCreamYogurtsCheeseEggsSubstitutes	50130000	Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes	50000000
NutsSeedsUnpreparedUnprocessedInShell	50340000	Nuts/Seeds - Unprepared/Unprocessed (In Shell)	50000000
NutsSeedsUnpreparedUnprocessedPerishable	50330000	Nuts/Seeds - Unprepared/Unprocessed (Perishable)	50000000
OilsFatsEdible	50150000	Oils/Fats Edible	50000000
PreparedPreservedFoods	50190000	Prepared/Preserved Foods	50000000
SeasoningsPreservativesExtracts	50170000	Seasonings/Preservatives/Extracts	50000000
VegetablesUnpreparedUnprocessedFrozen	50290000	Vegetables - Unprepared/Unprocessed (Frozen)	50000000
VegetablesUnpreparedUnprocessedShelfStable	50320000	Vegetables - Unprepared/Unprocessed (Shelf Stable)	50000000
VegetablesNonLeafUnpreparedUnprocessedFresh	50260000	Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh)	50000000
Footwear	63010000	Footwear	63000000
FamilyPlanning	51110000	Family Planning	51000000
HealthEnhancement	51120000	Health Enhancement	51000000
HealthTreatmentsAids	51100000	Health Treatments/Aids	51000000
HealthcareVarietyPacks	51140000	Healthcare Variety Packs	51000000
HomeDiagnostics	51130000	Home Diagnostics	51000000
MedicalDevices	51150000	Medical Devices	51000000
PharmaceuticalDrugs	51160000	Pharmaceutical Drugs	51000000
VeterinaryHealthcare	51170000	Veterinary Healthcare	51000000
MajorDomesticAppliances	72010000	Major Domestic Appliances	72000000
SmallDomesticAppliances	72020000	Small Domestic Appliances	72000000
Bouquets	93100000	Bouquets	93000000
BulbsCormsRhizomesTubers	93050000	Bulbs/Corms/Rhizomes/Tubers	93000000
CutFlowers	93010000	Cut Flowers	93000000
CutGreens	93020000	Cut Greens	93000000
LivePlantsGenusAThruG	93030000	Live Plants (Genus A thru G)	93000000
