child	childCode	parent	parentCode	level
ArtistsBrushesApplicators	10001674	ArtistsPaintingDrawingSupplies	70010100	Brick→Class
ArtistsCanvasPrePrimedBoards	10001679	ArtistsPaintingDrawingSupplies	70010100	Brick→Class
ArtistsDrawingBoards	10005372	ArtistsPaintingDrawingSupplies	70010100	Brick→Class
ArtistsEasels	10001681	ArtistsPaintingDrawingSupplies	70010100	Brick→Class
ArtistsPaintingSurfaceAgents	10001678	ArtistsPaintingDrawingSupplies	70010100	Brick→Class
ArtistsPaintingDrawingSuppliesOther	10001685	ArtistsPaintingDrawingSupplies	70010100	Brick→Class
ArtistsPaintingDrawingSuppliesVarietyPacks	10001684	ArtistsPaintingDrawingSupplies	70010100	Brick→Class
ArtistsPaintsDyes	10001676	ArtistsPaintingDrawingSupplies	70010100	Brick→Class
ArtistsPalettes	10001680	ArtistsPaintingDrawingSupplies	70010100	Brick→Class
PastelsCharcoalCrayonsChalk	10001677	ArtistsPaintingDrawingSupplies	70010100	Brick→Class
ArtsCraftsNeedleworkStorageOrganizers	10001712	ArtsCraftsNeedleworkStorageOrganizers	70011600	Brick→Class
ArtsCraftsNeedleworkAdornments	10001714	ArtsCraftsNeedleworkSupplies	70011400	Brick→Class
ArtsCraftsNeedleworkBeadsStones	10001717	ArtsCraftsNeedleworkSupplies	70011400	Brick→Class
ArtsCraftsNeedleworkFabricsTextiles	10001699	ArtsCraftsNeedleworkSupplies	70011400	Brick→Class
ArtsCraftsNeedleworkFasteners	10001710	ArtsCraftsNeedleworkSupplies	70011400	Brick→Class
ArtsCraftsNeedleworkFibresYarns	10001756	ArtsCraftsNeedleworkSupplies	70011400	Brick→Class
ArtsCraftsNeedleworkLaceRibbonsCordsBraids	10001700	ArtsCraftsNeedleworkSupplies	70011400	Brick→Class
ArtsCraftsNeedleworkMoulds	10001737	ArtsCraftsNeedleworkSupplies	70011400	Brick→Class
