id	code	name

ArtsCraftsNeedlework	70000000	Arts/Crafts/Needlework
AudioVisualPhotography	68000000	Audio Visual/Photography
BeautyPersonalCareHygiene	53000000	Beauty/Personal Care/Hygiene
BuildingProducts	83000000	Building Products
Camping	74000000	Camping
CleaningHygieneProducts	47000000	Cleaning/Hygiene Products
Clothing	67000000	Clothing
Communications	66000000	Communications
Computing	65000000	Computing
Crops	94000000	Crops
CrossSegment	58000000	Cross Segment
ElectricalSupplies	78000000	Electrical Supplies
FluidsFuelsGases	87000000	Fluids/Fuels/Gases
FoodBeverage	50000000	Food/Beverage
Footwear	63000000	Footwear
Healthcare	51000000	Healthcare
HomeAppliances	72000000	Home Appliances
HorticulturePlants	93000000	Horticulture Plants
HouseholdOfficeFurnitureFurnishings	75000000	Household/Office Furniture/Furnishings
IndustrialFluidPumpsSystems	11000000	Industrial Fluid Pumps/Systems
KitchenwareAndTableware	73000000	Kitchenware and Tableware
LawnGardenSupplies	81000000	Lawn/Garden Supplies
LiveAnimals	89000000	Live Animals
Lubricants	88000000	Lubricants
MonetaryAssets	96000000	Monetary Assets
Music	61000000	Music
PersonalAccessories	64000000	Personal Accessories
PestPlantControlProducts	13000000	Pest/Plant Control Products
PetCareFood	10000000	Pet Care/Food
PlumbingHeatingVentilationAirConditioning	79000000	Plumbing/Heating/Ventilation/Air Conditioning
PostmortemProducts	99000000	Postmortem Products
RawMaterialsNonFood	98000000	Raw Materials (Non Food)
SafetyProtectionDiy	85000000	Safety/Protection - DIY
SafetySecuritySurveillance	91000000	Safety/Security/Surveillance
ServicesVendingMachines	95000000	Services/Vending Machines
SportsEquipment	71000000	Sports Equipment
StationeryOfficeMachineryOccasionSupplies	62000000	Stationery/Office Machinery/Occasion Supplies
StorageHaulageContainers	92000000	Storage/Haulage Containers
TextualPrintedReferenceMaterials	60000000	Textual/Printed/Reference Materials
TobaccoCannabis	12000000	Tobacco/Cannabis
ToolStorageWorkshopAids	84000000	Tool Storage/Workshop Aids
ToolsEquipment	80000000	Tools/Equipment
ToysGames	86000000	Toys/Games
Vehicle	77000000	Vehicle
