id	name	description	format	dimension
Jpeg	JPEG	JPEG image format	JPEG	Raster
Png	PNG	PNG image format	PNG	Raster
Gif	GIF	GIF animated image format	GIF	Raster
Svg	SVG	Scalable vector graphics	SVG	Vector
Webp	WebP	Modern web image format	WebP	Raster
Tiff	TIFF	High-quality TIFF format	TIFF	Raster
Bmp	BMP	Bitmap image format	BMP	Raster
Raw	RAW	Camera raw image format	RAW	Raster
Heif	HEIF	High efficiency image format	HEIF	Raster
Avif	AVIF	AV1 image format	AVIF	Raster
Eps	EPS	Encapsulated PostScript	EPS	Vector
Ai	Adobe Illustrator	Adobe Illustrator format	AI	Vector
Psd	Photoshop	Adobe Photoshop format	PSD	Raster
Ico	Icon	Icon image format	ICO	Raster
Thumbnail	Thumbnail	Small preview image	Various	Raster
ProfilePhoto	Profile Photo	User profile picture	Various	Raster
Banner	Banner	Banner or header image	Various	Mixed
Logo	Logo	Company or brand logo	Various	Vector
Icon	Icon	UI icon or symbol	Various	Vector
Screenshot	Screenshot	Screen capture image	Various	Raster
