ns	from	to	predicate	reverse
Industries	Agriculture	CropProduction	hasSubIndustry	partOfIndustry
Industries	CropProduction	OilseedFarming	hasSubIndustry	partOfIndustry
Industries	CropProduction	GrainFarming	hasSubIndustry	partOfIndustry
Industries	OilseedFarming	SoybeanFarming	hasSubIndustry	partOfIndustry
Industries	GrainFarming	SoybeanFarming	hasSubIndustry	partOfIndustry
Industries	SoybeanFarming	SoybeanFarming	hasSubIndustry	partOfIndustry
Industries	OilseedFarming	OilseedFarming	hasSubIndustry	partOfIndustry
Industries	GrainFarming	OilseedFarming	hasSubIndustry	partOfIndustry
Industries	OilseedFarming	OilseedFarming	hasSubIndustry	partOfIndustry
Industries	OilseedFarming	DryPeaFarming	hasSubIndustry	partOfIndustry
Industries	GrainFarming	DryPeaFarming	hasSubIndustry	partOfIndustry
Industries	OilseedFarming	BeanFarming	hasSubIndustry	partOfIndustry
Industries	GrainFarming	BeanFarming	hasSubIndustry	partOfIndustry
Industries	DryPeaFarming	DryPeaFarming	hasSubIndustry	partOfIndustry
Industries	BeanFarming	DryPeaFarming	hasSubIndustry	partOfIndustry
Industries	DryPeaFarming	BeanFarming	hasSubIndustry	partOfIndustry
Industries	BeanFarming	BeanFarming	hasSubIndustry	partOfIndustry
Industries	OilseedFarming	WheatFarming	hasSubIndustry	partOfIndustry
Industries	GrainFarming	WheatFarming	hasSubIndustry	partOfIndustry
Industries	WheatFarming	WheatFarming	hasSubIndustry	partOfIndustry
Industries	OilseedFarming	CornFarming	hasSubIndustry	partOfIndustry
Industries	GrainFarming	CornFarming	hasSubIndustry	partOfIndustry
Industries	CornFarming	CornFarming	hasSubIndustry	partOfIndustry
Industries	OilseedFarming	RiceFarming	hasSubIndustry	partOfIndustry
Industries	GrainFarming	RiceFarming	hasSubIndustry	partOfIndustry
Industries	RiceFarming	RiceFarming	hasSubIndustry	partOfIndustry
Industries	OilseedFarming	OtherGrainFarming	hasSubIndustry	partOfIndustry
Industries	GrainFarming	OtherGrainFarming	hasSubIndustry	partOfIndustry
Industries	OtherGrainFarming	OilseedCombinationFarming	hasSubIndustry	partOfIndustry
Industries	OtherGrainFarming	GrainCombinationFarming	hasSubIndustry	partOfIndustry
Industries	OtherGrainFarming	AllOtherGrainFarming	hasSubIndustry	partOfIndustry
Industries	CropProduction	VegetableFarming	hasSubIndustry	partOfIndustry
Industries	CropProduction	MelonFarming	hasSubIndustry	partOfIndustry
Industries	VegetableFarming	VegetableFarming	hasSubIndustry	partOfIndustry
Industries	MelonFarming	VegetableFarming	hasSubIndustry	partOfIndustry
Industries	VegetableFarming	MelonFarming	hasSubIndustry	partOfIndustry
Industries	MelonFarming	MelonFarming	hasSubIndustry	partOfIndustry
Industries	VegetableFarming	PotatoFarming	hasSubIndustry	partOfIndustry
Industries	MelonFarming	PotatoFarming	hasSubIndustry	partOfIndustry
Industries	VegetableFarming	OtherVegetableFarming	hasSubIndustry	partOfIndustry
Industries	MelonFarming	OtherVegetableFarming	hasSubIndustry	partOfIndustry
Industries	VegetableFarming	MelonFarming	hasSubIndustry	partOfIndustry
Industries	MelonFarming	MelonFarming	hasSubIndustry	partOfIndustry
Industries	CropProduction	FruitNutFarming	hasSubIndustry	partOfIndustry
Industries	CropProduction	TreeNutFarming	hasSubIndustry	partOfIndustry
Industries	FruitNutFarming	OrangeGroves	hasSubIndustry	partOfIndustry
Industries	TreeNutFarming	OrangeGroves	hasSubIndustry	partOfIndustry
Industries	OrangeGroves	OrangeGroves	hasSubIndustry	partOfIndustry
Industries	FruitNutFarming	CitrusGroves	hasSubIndustry	partOfIndustry
Industries	TreeNutFarming	CitrusGroves	hasSubIndustry	partOfIndustry
Industries	CitrusGroves	CitrusGroves	hasSubIndustry	partOfIndustry
Industries	FruitNutFarming	NoncitrusFruitNutFarming	hasSubIndustry	partOfIndustry
Industries	TreeNutFarming	NoncitrusFruitNutFarming	hasSubIndustry	partOfIndustry
Industries	FruitNutFarming	TreeNutFarming	hasSubIndustry	partOfIndustry
Industries	TreeNutFarming	TreeNutFarming	hasSubIndustry	partOfIndustry
Industries	NoncitrusFruitNutFarming	AppleOrchards	hasSubIndustry	partOfIndustry
Industries	TreeNutFarming	AppleOrchards	hasSubIndustry	partOfIndustry
Industries	NoncitrusFruitNutFarming	GrapeVineyards	hasSubIndustry	partOfIndustry
Industries	TreeNutFarming	GrapeVineyards	hasSubIndustry	partOfIndustry
Industries	NoncitrusFruitNutFarming	StrawberryFarming	hasSubIndustry	partOfIndustry
Industries	TreeNutFarming	StrawberryFarming	hasSubIndustry	partOfIndustry
Industries	NoncitrusFruitNutFarming	BerryFarming	hasSubIndustry	partOfIndustry
Industries	TreeNutFarming	BerryFarming	hasSubIndustry	partOfIndustry
Industries	NoncitrusFruitNutFarming	TreeNutFarming	hasSubIndustry	partOfIndustry
Industries	TreeNutFarming	TreeNutFarming	hasSubIndustry	partOfIndustry
Industries	NoncitrusFruitNutFarming	FruitNutCombinationFarming	hasSubIndustry	partOfIndustry
Industries	TreeNutFarming	FruitNutCombinationFarming	hasSubIndustry	partOfIndustry
Industries	NoncitrusFruitNutFarming	TreeNutCombinationFarming	hasSubIndustry	partOfIndustry
Industries	TreeNutFarming	TreeNutCombinationFarming	hasSubIndustry	partOfIndustry
Industries	NoncitrusFruitNutFarming	OtherNoncitrusFruitFarming	hasSubIndustry	partOfIndustry
Industries	TreeNutFarming	OtherNoncitrusFruitFarming	hasSubIndustry	partOfIndustry
Industries	CropProduction	GreenhouseProduction	hasSubIndustry	partOfIndustry
Industries	CropProduction	NurseryProduction	hasSubIndustry	partOfIndustry
Industries	CropProduction	FloricultureProduction	hasSubIndustry	partOfIndustry
Industries	GreenhouseProduction	FoodCropsGrownUnderCover	hasSubIndustry	partOfIndustry
Industries	NurseryProduction	FoodCropsGrownUnderCover	hasSubIndustry	partOfIndustry
Industries	FloricultureProduction	FoodCropsGrownUnderCover	hasSubIndustry	partOfIndustry
Industries	FoodCropsGrownUnderCover	MushroomProduction	hasSubIndustry	partOfIndustry
Industries	FoodCropsGrownUnderCover	OtherFoodCropsGrownUnderCover	hasSubIndustry	partOfIndustry
Industries	GreenhouseProduction	NurseryProduction	hasSubIndustry	partOfIndustry
Industries	NurseryProduction	NurseryProduction	hasSubIndustry	partOfIndustry
Industries	FloricultureProduction	NurseryProduction	hasSubIndustry	partOfIndustry
Industries	GreenhouseProduction	FloricultureProduction	hasSubIndustry	partOfIndustry
Industries	NurseryProduction	FloricultureProduction	hasSubIndustry	partOfIndustry
