url	ns	type	id	code	name	description	digital
https://industries.org.ai/Agriculture	industries.org.ai	Industry	Agriculture	11	Agriculture, Forestry, Fishing and Hunting	Agriculture, Forestry, Fishing and Hunting	0.30
https://industries.org.ai/CropProduction	industries.org.ai	Industry	CropProduction	111	Crop Production	Crop Production	0.30
https://industries.org.ai/OilseedFarming	industries.org.ai	Industry	OilseedFarming	1111	Oilseed and Grain Farming	Oilseed and Grain Farming	0.30
https://industries.org.ai/GrainFarming	industries.org.ai	Industry	GrainFarming	1111	Oilseed and Grain Farming	Oilseed and Grain Farming	0.30
https://industries.org.ai/SoybeanFarming	industries.org.ai	Industry	SoybeanFarming	11111	Soybean Farming	Soybean Farming	0.30
https://industries.org.ai/DryPeaFarming	industries.org.ai	Industry	DryPeaFarming	11113	Dry Pea and Bean Farming	Dry Pea and Bean Farming	0.30
https://industries.org.ai/BeanFarming	industries.org.ai	Industry	BeanFarming	11113	Dry Pea and Bean Farming	Dry Pea and Bean Farming	0.30
https://industries.org.ai/WheatFarming	industries.org.ai	Industry	WheatFarming	11114	Wheat Farming	Wheat Farming	0.30
https://industries.org.ai/CornFarming	industries.org.ai	Industry	CornFarming	11115	Corn Farming	Corn Farming	0.30
https://industries.org.ai/RiceFarming	industries.org.ai	Industry	RiceFarming	11116	Rice Farming	Rice Farming	0.30
https://industries.org.ai/OtherGrainFarming	industries.org.ai	Industry	OtherGrainFarming	11119	Other Grain Farming	Other Grain Farming	0.30
https://industries.org.ai/OilseedCombinationFarming	industries.org.ai	Industry	OilseedCombinationFarming	111191	Oilseed and Grain Combination Farming	Oilseed and Grain Combination Farming	0.30
https://industries.org.ai/GrainCombinationFarming	industries.org.ai	Industry	GrainCombinationFarming	111191	Oilseed and Grain Combination Farming	Oilseed and Grain Combination Farming	0.30
https://industries.org.ai/AllOtherGrainFarming	industries.org.ai	Industry	AllOtherGrainFarming	111199	All Other Grain Farming	All Other Grain Farming	0.30
https://industries.org.ai/VegetableFarming	industries.org.ai	Industry	VegetableFarming	1112	Vegetable and Melon Farming	Vegetable and Melon Farming	0.30
https://industries.org.ai/MelonFarming	industries.org.ai	Industry	MelonFarming	1112	Vegetable and Melon Farming	Vegetable and Melon Farming	0.30
https://industries.org.ai/PotatoFarming	industries.org.ai	Industry	PotatoFarming	111211	Potato Farming	Potato Farming	0.30
https://industries.org.ai/OtherVegetableFarming	industries.org.ai	Industry	OtherVegetableFarming	111219	Other Vegetable and Melon Farming	Other Vegetable and Melon Farming (excluding Potato)	0.30
https://industries.org.ai/FruitNutFarming	industries.org.ai	Industry	FruitNutFarming	1113	Fruit and Tree Nut Farming	Fruit and Tree Nut Farming	0.30
https://industries.org.ai/TreeNutFarming	industries.org.ai	Industry	TreeNutFarming	1113	Fruit and Tree Nut Farming	Fruit and Tree Nut Farming	0.30
https://industries.org.ai/OrangeGroves	industries.org.ai	Industry	OrangeGroves	11131	Orange Groves	Orange Groves	0.30
https://industries.org.ai/CitrusGroves	industries.org.ai	Industry	CitrusGroves	11132	Citrus Groves	Citrus Groves (excluding Orange)	0.30
https://industries.org.ai/NoncitrusFruitNutFarming	industries.org.ai	Industry	NoncitrusFruitNutFarming	11133	Noncitrus Fruit and Tree Nut Farming	Noncitrus Fruit and Tree Nut Farming	0.30
