id	name	description	occupation	level
AccountCollectors	Bill and Account Collectors		Bill_and_Account_Collectors	Mid
Actors	Actors		Actors	Mid
Actuaries	Actuaries		Actuaries	Mid
Acupuncturists	Acupuncturists		Acupuncturists	Mid
AcuteCareNurses	Acute Care Nurses		Acute_Care_Nurses	Mid
AdaptedPhysicalEducationSpecialists	Adapted Physical Education Specialists		Adapted_Physical_Education_Specialists	Mid
Adjusters	Timing Device Assemblers and Adjusters		Timing_Device_Assemblers_and_Adjusters	Mid
AdministrativeAssistants	Legal Secretaries and Administrative Assistants		Legal_Secretaries_and_Administrative_Assistants	Mid
AdministrativeAssistants	Medical Secretaries and Administrative Assistants		Medical_Secretaries_and_Administrative_Assistants	Mid
AdministrativeServicesManagers	Administrative Services Managers		Administrative_Services_Managers	Mid
AdministrativeSupportWorkers	First-Line Supervisors of Office and Administrative Support Workers		First-Line_Supervisors_of_Office_and_Administrative_Support_Workers	Mid
AdministrativeSupportWorkersAllOther	Office and Administrative Support Workers, All Other		Office_and_Administrative_Support_Workers,_All_Other	Mid
AdvancedPracticePsychiatricNurses	Advanced Practice Psychiatric Nurses		Advanced_Practice_Psychiatric_Nurses	Mid
AdvertisingSalesAgents	Advertising Sales Agents		Advertising_Sales_Agents	Mid
Advisors	Educational, Guidance, and Career Counselors and Advisors		Educational,_Guidance,_and_Career_Counselors_and_Advisors	Mid
AerospaceEngineers	Aerospace Engineers		Aerospace_Engineers	Mid
AgriculturalEngineers	Agricultural Engineers		Agricultural_Engineers	Mid
AgriculturalEquipmentOperators	Agricultural Equipment Operators		Agricultural_Equipment_Operators	Mid
AgriculturalInspectors	Agricultural Inspectors		Agricultural_Inspectors	Mid
AgriculturalSciencesTeachersPostsecondary	Agricultural Sciences Teachers, Postsecondary		Agricultural_Sciences_Teachers,_Postsecondary	Mid
AgriculturalTechnicians	Agricultural Technicians		Agricultural_Technicians	Mid
AgriculturalWorkersAllOther	Agricultural Workers, All Other		Agricultural_Workers,_All_Other	Mid
AircraftCargoHandlingSupervisors	Aircraft Cargo Handling Supervisors		Aircraft_Cargo_Handling_Supervisors	Mid
AircraftServiceAttendants	Aircraft Service Attendants		Aircraft_Service_Attendants	Mid
AirCrewMembers	Air Crew Members		Air_Crew_Members	Mid
AirCrewOfficers	Air Crew Officers		Air_Crew_Officers	Mid
AirfieldOperationsSpecialists	Airfield Operations Specialists		Airfield_Operations_Specialists	Mid
AirTrafficControllers	Air Traffic Controllers		Air_Traffic_Controllers	Mid
Ambulance	Dispatchers, Except Police, Fire, and Ambulance		Dispatchers,_Except_Police,_Fire,_and_Ambulance	Mid
Analysts	Fraud Examiners, Investigators and Analysts		Fraud_Examiners,_Investigators_and_Analysts	Mid
AnesthesiologistAssistants	Anesthesiologist Assistants		Anesthesiologist_Assistants	Mid
Anesthesiologists	Anesthesiologists		Anesthesiologists	Mid
AnimalBreeders	Animal Breeders		Animal_Breeders	Mid
AnimalCaretakers	Animal Caretakers		Animal_Caretakers	Mid
AnimalControlWorkers	Animal Control Workers		Animal_Control_Workers	Mid
AnimalScientists	Animal Scientists		Animal_Scientists	Mid
AnimalTrainers	Animal Trainers		Animal_Trainers	Mid
Animators	Special Effects Artists and Animators		Special_Effects_Artists_and_Animators	Mid
AnsweringService	Switchboard Operators, Including Answering Service		Switchboard_Operators,_Including_Answering_Service	Mid
ApparelPatternmakers	Fabric and Apparel Patternmakers		Fabric_and_Apparel_Patternmakers	Mid
ApplicatorsVegetation	Pesticide Handlers, Sprayers, and Applicators, Vegetation		Pesticide_Handlers,_Sprayers,_and_Applicators,_Vegetation	Mid
AquaculturalAnimals	Farmworkers, Farm, Ranch, and Aquacultural Animals		Farmworkers,_Farm,_Ranch,_and_Aquacultural_Animals	Mid
Archeologists	Anthropologists and Archeologists		Anthropologists_and_Archeologists	Mid
ArcheologyTeachersPostsecondary	Anthropology and Archeology Teachers, Postsecondary		Anthropology_and_Archeology_Teachers,_Postsecondary	Mid
ArchitectureTeachersPostsecondary	Architecture Teachers, Postsecondary		Architecture_Teachers,_Postsecondary	Mid
Archivists	Archivists		Archivists	Mid
ArmoredAssaultVehicleCrewMembers	Armored Assault Vehicle Crew Members		Armored_Assault_Vehicle_Crew_Members	Mid
ArmoredAssaultVehicleOfficers	Armored Assault Vehicle Officers		Armored_Assault_Vehicle_Officers	Mid
ArtDirectors	Art Directors		Art_Directors	Mid
ArtTherapists	Art Therapists		Art_Therapists	Mid
Assessors	Solar Sales Representatives and Assessors		Solar_Sales_Representatives_and_Assessors	Mid
AssessorsOfRealEstate	Appraisers and Assessors of Real Estate		Appraisers_and_Assessors_of_Real_Estate	Mid
Astronomers	Astronomers		Astronomers	Mid
Athletes	Agents and Business Managers of Artists, Performers, and Athletes		Agents_and_Business_Managers_of_Artists,_Performers,_and_Athletes	Mid
AthleticTrainers	Athletic Trainers		Athletic_Trainers	Mid
Audiologists	Audiologists		Audiologists	Mid
AuditingClerks	Bookkeeping, Accounting, and Auditing Clerks		Bookkeeping,_Accounting,_and_Auditing_Clerks	Mid
Auditors	Accountants and Auditors		Accountants_and_Auditors	Mid
Authors	Writers and Authors		Writers_and_Authors	Mid
AutomotiveEngineeringTechnicians	Automotive Engineering Technicians		Automotive_Engineering_Technicians	Mid
AutomotiveEngineers	Automotive Engineers		Automotive_Engineers	Mid
Aviation	Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation		Transportation_Vehicle,_Equipment_and_Systems_Inspectors,_Except_Aviation	Mid
AviationInspectors	Aviation Inspectors		Aviation_Inspectors	Mid
AvionicsTechnicians	Avionics Technicians		Avionics_Technicians	Mid
Bailiffs	Bailiffs		Bailiffs	Mid
Bakers	Bakers		Bakers	Mid
Barbers	Barbers		Barbers	Mid
Baristas	Baristas		Baristas	Mid
BartenderHelpers	Dining Room and Cafeteria Attendants and Bartender Helpers		Dining_Room_and_Cafeteria_Attendants_and_Bartender_Helpers	Mid
Bartenders	Bartenders		Bartenders	Mid
