ns	from	to	predicate	reverse
knowledge.org.ai	https://knowledge.org.ai/2C1a	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
knowledge.org.ai	https://knowledge.org.ai/2C1b	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
knowledge.org.ai	https://knowledge.org.ai/2C1c	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
knowledge.org.ai	https://knowledge.org.ai/2C1d	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
knowledge.org.ai	https://knowledge.org.ai/2C1e	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
knowledge.org.ai	https://knowledge.org.ai/2C1f	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
knowledge.org.ai	https://knowledge.org.ai/2C2a	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
knowledge.org.ai	https://knowledge.org.ai/2C2b	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
knowledge.org.ai	https://knowledge.org.ai/2C3a	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
knowledge.org.ai	https://knowledge.org.ai/2C3b	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
knowledge.org.ai	https://knowledge.org.ai/2C3c	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
knowledge.org.ai	https://knowledge.org.ai/2C3d	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
knowledge.org.ai	https://knowledge.org.ai/2C3e	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
knowledge.org.ai	https://knowledge.org.ai/2C4a	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
knowledge.org.ai	https://knowledge.org.ai/2C4b	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
knowledge.org.ai	https://knowledge.org.ai/2C4c	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
knowledge.org.ai	https://knowledge.org.ai/2C4d	https://onet.org.ai/Occupation/11-101100	requiredByOccupation	requiresKnowledge
