ns	type	id	name	description	code	category	usage
language.org.ai	Adverb	Accurately	accurately	in an accurate manner		Manner	accurately measure
language.org.ai	Adverb	Actively	actively	in an active manner		Manner	actively participate
language.org.ai	Adverb	Actually	actually	in fact; really		Certainty	actually happened
language.org.ai	Adverb	Additionally	additionally	as an additional factor		Addition	additionally consider
language.org.ai	Adverb	Adequately	adequately	in an adequate manner		Manner	adequately prepared
language.org.ai	Adverb	Afterwards	afterwards	at a later time		Time	completed afterwards
language.org.ai	Adverb	Almost	almost	not quite; very nearly		Degree	almost finished
language.org.ai	Adverb	Already	already	before now; by this time		Time	already completed
language.org.ai	Adverb	Also	also	in addition; too		Addition	also important
language.org.ai	Adverb	Always	always	at all times; on all occasions		Frequency	always verify
language.org.ai	Adverb	Annually	annually	once a year		Frequency	reviewed annually
language.org.ai	Adverb	Apparently	apparently	as far as one knows		Certainty	apparently successful
language.org.ai	Adverb	Appropriately	appropriately	in an appropriate manner		Manner	appropriately addressed
language.org.ai	Adverb	Approximately	approximately	close to; about		Degree	approximately 100
language.org.ai	Adverb	Automatically	automatically	in an automatic manner		Manner	automatically processed
language.org.ai	Adverb	Basically	basically	in the most essential respects		Degree	basically correct
language.org.ai	Adverb	Briefly	briefly	for a short time		Time	briefly discussed
language.org.ai	Adverb	Carefully	carefully	in a careful manner		Manner	carefully review
language.org.ai	Adverb	Certainly	certainly	without doubt		Certainty	certainly possible
language.org.ai	Adverb	Clearly	clearly	in a clear manner		Manner	clearly defined
language.org.ai	Adverb	Closely	closely	in a close manner		Manner	closely monitor
language.org.ai	Adverb	Commonly	commonly	usually; often		Frequency	commonly used
language.org.ai	Adverb	Completely	completely	totally; entirely		Degree	completely finished
language.org.ai	Adverb	Consequently	consequently	as a result		Cause/Effect	consequently delayed
language.org.ai	Adverb	Consistently	consistently	in a consistent manner		Manner	consistently applied
language.org.ai	Adverb	Constantly	constantly	continuously; all the time		Frequency	constantly changing
language.org.ai	Adverb	Continuously	continuously	without stopping		Frequency	continuously monitored
language.org.ai	Adverb	Correctly	correctly	in a correct manner		Manner	correctly implemented
language.org.ai	Adverb	Currently	currently	at the present time		Time	currently reviewing
language.org.ai	Adverb	Daily	daily	every day		Frequency	updated daily
language.org.ai	Adverb	Definitely	definitely	without doubt		Certainty	definitely required
language.org.ai	Adverb	Directly	directly	in a direct manner		Manner	directly responsible
language.org.ai	Adverb	Easily	easily	without difficulty		Manner	easily achieved
language.org.ai	Adverb	Effectively	effectively	in an effective manner		Manner	effectively managed
language.org.ai	Adverb	Efficiently	efficiently	in an efficient manner		Manner	efficiently processed
language.org.ai	Adverb	Entirely	entirely	completely		Degree	entirely successful
language.org.ai	Adverb	Especially	especially	particularly; to a great extent		Degree	especially important
language.org.ai	Adverb	Essentially	essentially	fundamentally; basically		Degree	essentially complete
language.org.ai	Adverb	Eventually	eventually	in the end; finally		Time	eventually resolved
language.org.ai	Adverb	Exactly	exactly	precisely; accurately		Manner	exactly matched
language.org.ai	Adverb	Exclusively	exclusively	only; solely		Degree	exclusively digital
language.org.ai	Adverb	Extremely	extremely	to a very great degree		Degree	extremely important
language.org.ai	Adverb	Finally	finally	after a long time; at last		Time	finally completed
language.org.ai	Adverb	Frequently	frequently	often; regularly		Frequency	frequently updated
language.org.ai	Adverb	Fully	fully	completely; entirely		Degree	fully implemented
language.org.ai	Adverb	Generally	generally	usually; in most cases		Frequency	generally accepted
language.org.ai	Adverb	Highly	highly	to a high degree		Degree	highly effective
language.org.ai	Adverb	Immediately	immediately	at once; instantly		Time	immediately addressed
language.org.ai	Adverb	Increasingly	increasingly	more and more		Degree	increasingly important
language.org.ai	Adverb	Independently	independently	in an independent manner		Manner	independently verified
language.org.ai	Adverb	Initially	initially	at first; at the beginning		Time	initially planned
language.org.ai	Adverb	Internally	internally	on the inside; within		Location	internally developed
language.org.ai	Adverb	Largely	largely	to a great extent		Degree	largely successful
language.org.ai	Adverb	Likely	likely	probably		Certainty	likely to succeed
language.org.ai	Adverb	Mainly	mainly	for the most part; chiefly		Degree	mainly focused
language.org.ai	Adverb	Manually	manually	by hand; not automatically		Manner	manually entered
language.org.ai	Adverb	Monthly	monthly	once a month		Frequency	reviewed monthly
language.org.ai	Adverb	Necessarily	necessarily	as a necessary result		Certainty	not necessarily true
language.org.ai	Adverb	Never	never	at no time		Frequency	never occurred
language.org.ai	Adverb	Normally	normally	usually; ordinarily		Frequency	normally processed
language.org.ai	Adverb	Now	now	at the present time		Time	available now
language.org.ai	Adverb	Obviously	obviously	in an obvious manner		Certainty	obviously important
language.org.ai	Adverb	Occasionally	occasionally	sometimes; now and then		Frequency	occasionally needed
language.org.ai	Adverb	Often	often	frequently		Frequency	often used
language.org.ai	Adverb	Only	only	exclusively; solely		Degree	only option
language.org.ai	Adverb	Originally	originally	at first; initially		Time	originally planned
language.org.ai	Adverb	Overall	overall	taking everything into account		Degree	overall successful
language.org.ai	Adverb	Particularly	particularly	especially; to a great extent		Degree	particularly useful
language.org.ai	Adverb	Partially	partially	to some extent; not completely		Degree	partially completed
language.org.ai	Adverb	Permanently	permanently	in a permanent manner		Time	permanently deleted
language.org.ai	Adverb	Personally	personally	in a personal manner		Manner	personally responsible
