url	ns	type	id	code	name	description	category	usage	digital
https://language.org.ai/Adverb/Accurately	language.org.ai	Adverb	Accurately	accurately	Accurately	in an accurate manner	Manner	accurately measure	
https://language.org.ai/Adverb/Actively	language.org.ai	Adverb	Actively	actively	Actively	in an active manner	Manner	actively participate	
https://language.org.ai/Adverb/Actually	language.org.ai	Adverb	Actually	actually	Actually	in fact; really	Certainty	actually happened	
https://language.org.ai/Adverb/Additionally	language.org.ai	Adverb	Additionally	additionally	Additionally	as an additional factor	Addition	additionally consider	
https://language.org.ai/Adverb/Adequately	language.org.ai	Adverb	Adequately	adequately	Adequately	in an adequate manner	Manner	adequately prepared	
https://language.org.ai/Adverb/Afterwards	language.org.ai	Adverb	Afterwards	afterwards	Afterwards	at a later time	Time	completed afterwards	
https://language.org.ai/Adverb/Almost	language.org.ai	Adverb	Almost	almost	Almost	not quite; very nearly	Degree	almost finished	
https://language.org.ai/Adverb/Already	language.org.ai	Adverb	Already	already	Already	before now; by this time	Time	already completed	
https://language.org.ai/Adverb/Also	language.org.ai	Adverb	Also	also	Also	in addition; too	Addition	also important	
https://language.org.ai/Adverb/Always	language.org.ai	Adverb	Always	always	Always	at all times; on all occasions	Frequency	always verify	
https://language.org.ai/Adverb/Annually	language.org.ai	Adverb	Annually	annually	Annually	once a year	Frequency	reviewed annually	
https://language.org.ai/Adverb/Apparently	language.org.ai	Adverb	Apparently	apparently	Apparently	as far as one knows	Certainty	apparently successful	
https://language.org.ai/Adverb/Appropriately	language.org.ai	Adverb	Appropriately	appropriately	Appropriately	in an appropriate manner	Manner	appropriately addressed	
https://language.org.ai/Adverb/Approximately	language.org.ai	Adverb	Approximately	approximately	Approximately	close to; about	Degree	approximately 100	
https://language.org.ai/Adverb/Automatically	language.org.ai	Adverb	Automatically	automatically	Automatically	in an automatic manner	Manner	automatically processed	
https://language.org.ai/Adverb/Basically	language.org.ai	Adverb	Basically	basically	Basically	in the most essential respects	Degree	basically correct	
https://language.org.ai/Adverb/Briefly	language.org.ai	Adverb	Briefly	briefly	Briefly	for a short time	Time	briefly discussed	
https://language.org.ai/Adverb/Carefully	language.org.ai	Adverb	Carefully	carefully	Carefully	in a careful manner	Manner	carefully review	
https://language.org.ai/Adverb/Certainly	language.org.ai	Adverb	Certainly	certainly	Certainly	without doubt	Certainty	certainly possible	
https://language.org.ai/Adverb/Clearly	language.org.ai	Adverb	Clearly	clearly	Clearly	in a clear manner	Manner	clearly defined	
https://language.org.ai/Adverb/Closely	language.org.ai	Adverb	Closely	closely	Closely	in a close manner	Manner	closely monitor	
https://language.org.ai/Adverb/Commonly	language.org.ai	Adverb	Commonly	commonly	Commonly	usually; often	Frequency	commonly used	
https://language.org.ai/Adverb/Completely	language.org.ai	Adverb	Completely	completely	Completely	totally; entirely	Degree	completely finished	
https://language.org.ai/Adverb/Consequently	language.org.ai	Adverb	Consequently	consequently	Consequently	as a result	Cause/Effect	consequently delayed	
https://language.org.ai/Adverb/Consistently	language.org.ai	Adverb	Consistently	consistently	Consistently	in a consistent manner	Manner	consistently applied	
https://language.org.ai/Adverb/Constantly	language.org.ai	Adverb	Constantly	constantly	Constantly	continuously; all the time	Frequency	constantly changing	
https://language.org.ai/Adverb/Continuously	language.org.ai	Adverb	Continuously	continuously	Continuously	without stopping	Frequency	continuously monitored	
https://language.org.ai/Adverb/Correctly	language.org.ai	Adverb	Correctly	correctly	Correctly	in a correct manner	Manner	correctly implemented	
https://language.org.ai/Adverb/Currently	language.org.ai	Adverb	Currently	currently	Currently	at the present time	Time	currently reviewing	
https://language.org.ai/Adverb/Daily	language.org.ai	Adverb	Daily	daily	Daily	every day	Frequency	updated daily	
https://language.org.ai/Adverb/Definitely	language.org.ai	Adverb	Definitely	definitely	Definitely	without doubt	Certainty	definitely required	
https://language.org.ai/Adverb/Directly	language.org.ai	Adverb	Directly	directly	Directly	in a direct manner	Manner	directly responsible	
https://language.org.ai/Adverb/Easily	language.org.ai	Adverb	Easily	easily	Easily	without difficulty	Manner	easily achieved	
https://language.org.ai/Adverb/Effectively	language.org.ai	Adverb	Effectively	effectively	Effectively	in an effective manner	Manner	effectively managed	
https://language.org.ai/Adverb/Efficiently	language.org.ai	Adverb	Efficiently	efficiently	Efficiently	in an efficient manner	Manner	efficiently processed	
https://language.org.ai/Adverb/Entirely	language.org.ai	Adverb	Entirely	entirely	Entirely	completely	Degree	entirely successful	
https://language.org.ai/Adverb/Especially	language.org.ai	Adverb	Especially	especially	Especially	particularly; to a great extent	Degree	especially important	
https://language.org.ai/Adverb/Essentially	language.org.ai	Adverb	Essentially	essentially	Essentially	fundamentally; basically	Degree	essentially complete	
https://language.org.ai/Adverb/Eventually	language.org.ai	Adverb	Eventually	eventually	Eventually	in the end; finally	Time	eventually resolved	
https://language.org.ai/Adverb/Exactly	language.org.ai	Adverb	Exactly	exactly	Exactly	precisely; accurately	Manner	exactly matched	
https://language.org.ai/Adverb/Exclusively	language.org.ai	Adverb	Exclusively	exclusively	Exclusively	only; solely	Degree	exclusively digital	
https://language.org.ai/Adverb/Extremely	language.org.ai	Adverb	Extremely	extremely	Extremely	to a very great degree	Degree	extremely important	
https://language.org.ai/Adverb/Finally	language.org.ai	Adverb	Finally	finally	Finally	after a long time; at last	Time	finally completed	
https://language.org.ai/Adverb/Frequently	language.org.ai	Adverb	Frequently	frequently	Frequently	often; regularly	Frequency	frequently updated	
https://language.org.ai/Adverb/Fully	language.org.ai	Adverb	Fully	fully	Fully	completely; entirely	Degree	fully implemented	
https://language.org.ai/Adverb/Generally	language.org.ai	Adverb	Generally	generally	Generally	usually; in most cases	Frequency	generally accepted	
https://language.org.ai/Adverb/Highly	language.org.ai	Adverb	Highly	highly	Highly	to a high degree	Degree	highly effective	
https://language.org.ai/Adverb/Immediately	language.org.ai	Adverb	Immediately	immediately	Immediately	at once; instantly	Time	immediately addressed	
https://language.org.ai/Adverb/Increasingly	language.org.ai	Adverb	Increasingly	increasingly	Increasingly	more and more	Degree	increasingly important	
https://language.org.ai/Adverb/Independently	language.org.ai	Adverb	Independently	independently	Independently	in an independent manner	Manner	independently verified	
https://language.org.ai/Adverb/Initially	language.org.ai	Adverb	Initially	initially	Initially	at first; at the beginning	Time	initially planned	
