ns	from	to	predicate	reverse
language	accurately	Adverb	instanceOf	hasInstance
language	accurately	Manner	hasCategory	categoryOf
language	actively	Adverb	instanceOf	hasInstance
language	actively	Manner	hasCategory	categoryOf
language	actually	Adverb	instanceOf	hasInstance
language	actually	Certainty	hasCategory	categoryOf
language	additionally	Adverb	instanceOf	hasInstance
language	additionally	Addition	hasCategory	categoryOf
language	adequately	Adverb	instanceOf	hasInstance
language	adequately	Manner	hasCategory	categoryOf
language	afterwards	Adverb	instanceOf	hasInstance
language	afterwards	Time	hasCategory	categoryOf
language	almost	Adverb	instanceOf	hasInstance
language	almost	Degree	hasCategory	categoryOf
language	already	Adverb	instanceOf	hasInstance
language	already	Time	hasCategory	categoryOf
language	also	Adverb	instanceOf	hasInstance
language	also	Addition	hasCategory	categoryOf
language	always	Adverb	instanceOf	hasInstance
language	always	Frequency	hasCategory	categoryOf
language	annually	Adverb	instanceOf	hasInstance
language	annually	Frequency	hasCategory	categoryOf
language	apparently	Adverb	instanceOf	hasInstance
language	apparently	Certainty	hasCategory	categoryOf
language	appropriately	Adverb	instanceOf	hasInstance
language	appropriately	Manner	hasCategory	categoryOf
language	approximately	Adverb	instanceOf	hasInstance
language	approximately	Degree	hasCategory	categoryOf
language	automatically	Adverb	instanceOf	hasInstance
language	automatically	Manner	hasCategory	categoryOf
language	basically	Adverb	instanceOf	hasInstance
language	basically	Degree	hasCategory	categoryOf
language	briefly	Adverb	instanceOf	hasInstance
language	briefly	Time	hasCategory	categoryOf
language	carefully	Adverb	instanceOf	hasInstance
language	carefully	Manner	hasCategory	categoryOf
language	certainly	Adverb	instanceOf	hasInstance
language	certainly	Certainty	hasCategory	categoryOf
language	clearly	Adverb	instanceOf	hasInstance
language	clearly	Manner	hasCategory	categoryOf
language	closely	Adverb	instanceOf	hasInstance
language	closely	Manner	hasCategory	categoryOf
language	commonly	Adverb	instanceOf	hasInstance
language	commonly	Frequency	hasCategory	categoryOf
language	completely	Adverb	instanceOf	hasInstance
language	completely	Degree	hasCategory	categoryOf
language	consequently	Adverb	instanceOf	hasInstance
language	consequently	Cause/Effect	hasCategory	categoryOf
language	consistently	Adverb	instanceOf	hasInstance
language	consistently	Manner	hasCategory	categoryOf
language	constantly	Adverb	instanceOf	hasInstance
language	constantly	Frequency	hasCategory	categoryOf
language	continuously	Adverb	instanceOf	hasInstance
language	continuously	Frequency	hasCategory	categoryOf
language	correctly	Adverb	instanceOf	hasInstance
language	correctly	Manner	hasCategory	categoryOf
language	currently	Adverb	instanceOf	hasInstance
language	currently	Time	hasCategory	categoryOf
language	daily	Adverb	instanceOf	hasInstance
language	daily	Frequency	hasCategory	categoryOf
language	definitely	Adverb	instanceOf	hasInstance
language	definitely	Certainty	hasCategory	categoryOf
language	directly	Adverb	instanceOf	hasInstance
language	directly	Manner	hasCategory	categoryOf
language	easily	Adverb	instanceOf	hasInstance
language	easily	Manner	hasCategory	categoryOf
language	effectively	Adverb	instanceOf	hasInstance
language	effectively	Manner	hasCategory	categoryOf
language	efficiently	Adverb	instanceOf	hasInstance
language	efficiently	Manner	hasCategory	categoryOf
language	entirely	Adverb	instanceOf	hasInstance
language	entirely	Degree	hasCategory	categoryOf
language	especially	Adverb	instanceOf	hasInstance
language	especially	Degree	hasCategory	categoryOf
language	essentially	Adverb	instanceOf	hasInstance
language	essentially	Degree	hasCategory	categoryOf
language	eventually	Adverb	instanceOf	hasInstance
language	eventually	Time	hasCategory	categoryOf
language	exactly	Adverb	instanceOf	hasInstance
language	exactly	Manner	hasCategory	categoryOf
language	exclusively	Adverb	instanceOf	hasInstance
language	exclusively	Degree	hasCategory	categoryOf
language	extremely	Adverb	instanceOf	hasInstance
language	extremely	Degree	hasCategory	categoryOf
language	finally	Adverb	instanceOf	hasInstance
language	finally	Time	hasCategory	categoryOf
language	frequently	Adverb	instanceOf	hasInstance
language	frequently	Frequency	hasCategory	categoryOf
language	fully	Adverb	instanceOf	hasInstance
language	fully	Degree	hasCategory	categoryOf
language	generally	Adverb	instanceOf	hasInstance
language	generally	Frequency	hasCategory	categoryOf
language	highly	Adverb	instanceOf	hasInstance
language	highly	Degree	hasCategory	categoryOf
language	immediately	Adverb	instanceOf	hasInstance
language	immediately	Time	hasCategory	categoryOf
language	increasingly	Adverb	instanceOf	hasInstance
language	increasingly	Degree	hasCategory	categoryOf
language	independently	Adverb	instanceOf	hasInstance
language	independently	Manner	hasCategory	categoryOf
language	initially	Adverb	instanceOf	hasInstance
language	initially	Time	hasCategory	categoryOf
language	internally	Adverb	instanceOf	hasInstance
language	internally	Location	hasCategory	categoryOf
language	largely	Adverb	instanceOf	hasInstance
language	largely	Degree	hasCategory	categoryOf
language	likely	Adverb	instanceOf	hasInstance
language	likely	Certainty	hasCategory	categoryOf
language	mainly	Adverb	instanceOf	hasInstance
language	mainly	Degree	hasCategory	categoryOf
language	manually	Adverb	instanceOf	hasInstance
language	manually	Manner	hasCategory	categoryOf
language	monthly	Adverb	instanceOf	hasInstance
language	monthly	Frequency	hasCategory	categoryOf
language	necessarily	Adverb	instanceOf	hasInstance
language	necessarily	Certainty	hasCategory	categoryOf
language	never	Adverb	instanceOf	hasInstance
language	never	Frequency	hasCategory	categoryOf
language	normally	Adverb	instanceOf	hasInstance
language	normally	Frequency	hasCategory	categoryOf
language	now	Adverb	instanceOf	hasInstance
language	now	Time	hasCategory	categoryOf
language	obviously	Adverb	instanceOf	hasInstance
language	obviously	Certainty	hasCategory	categoryOf
language	occasionally	Adverb	instanceOf	hasInstance
language	occasionally	Frequency	hasCategory	categoryOf
language	often	Adverb	instanceOf	hasInstance
language	often	Frequency	hasCategory	categoryOf
language	only	Adverb	instanceOf	hasInstance
language	only	Degree	hasCategory	categoryOf
language	originally	Adverb	instanceOf	hasInstance
language	originally	Time	hasCategory	categoryOf
language	overall	Adverb	instanceOf	hasInstance
language	overall	Degree	hasCategory	categoryOf
language	particularly	Adverb	instanceOf	hasInstance
language	particularly	Degree	hasCategory	categoryOf
language	partially	Adverb	instanceOf	hasInstance
language	partially	Degree	hasCategory	categoryOf
language	permanently	Adverb	instanceOf	hasInstance
language	permanently	Time	hasCategory	categoryOf
language	personally	Adverb	instanceOf	hasInstance
language	personally	Manner	hasCategory	categoryOf
language	potentially	Adverb	instanceOf	hasInstance
language	potentially	Certainty	hasCategory	categoryOf
language	precisely	Adverb	instanceOf	hasInstance
language	precisely	Manner	hasCategory	categoryOf
language	predominantly	Adverb	instanceOf	hasInstance
language	predominantly	Degree	hasCategory	categoryOf
language	previously	Adverb	instanceOf	hasInstance
language	previously	Time	hasCategory	categoryOf
language	primarily	Adverb	instanceOf	hasInstance
language	primarily	Degree	hasCategory	categoryOf
language	probably	Adverb	instanceOf	hasInstance
language	probably	Certainty	hasCategory	categoryOf
language	properly	Adverb	instanceOf	hasInstance
language	properly	Manner	hasCategory	categoryOf
language	quickly	Adverb	instanceOf	hasInstance
language	quickly	Manner	hasCategory	categoryOf
language	quite	Adverb	instanceOf	hasInstance
language	quite	Degree	hasCategory	categoryOf
language	rarely	Adverb	instanceOf	hasInstance
language	rarely	Frequency	hasCategory	categoryOf
language	rather	Adverb	instanceOf	hasInstance
language	rather	Degree	hasCategory	categoryOf
language	readily	Adverb	instanceOf	hasInstance
language	readily	Manner	hasCategory	categoryOf
language	really	Adverb	instanceOf	hasInstance
language	really	Certainty	hasCategory	categoryOf
language	recently	Adverb	instanceOf	hasInstance
language	recently	Time	hasCategory	categoryOf
language	regularly	Adverb	instanceOf	hasInstance
language	regularly	Frequency	hasCategory	categoryOf
language	relatively	Adverb	instanceOf	hasInstance
language	relatively	Degree	hasCategory	categoryOf
language	repeatedly	Adverb	instanceOf	hasInstance
language	repeatedly	Frequency	hasCategory	categoryOf
language	routinely	Adverb	instanceOf	hasInstance
language	routinely	Frequency	hasCategory	categoryOf
language	safely	Adverb	instanceOf	hasInstance
language	safely	Manner	hasCategory	categoryOf
language	seldom	Adverb	instanceOf	hasInstance
language	seldom	Frequency	hasCategory	categoryOf
language	separately	Adverb	instanceOf	hasInstance
language	separately	Manner	hasCategory	categoryOf
language	seriously	Adverb	instanceOf	hasInstance
language	seriously	Manner	hasCategory	categoryOf
language	significantly	Adverb	instanceOf	hasInstance
language	significantly	Degree	hasCategory	categoryOf
language	similarly	Adverb	instanceOf	hasInstance
language	similarly	Manner	hasCategory	categoryOf
language	simply	Adverb	instanceOf	hasInstance
language	simply	Manner	hasCategory	categoryOf
language	simultaneously	Adverb	instanceOf	hasInstance
language	simultaneously	Time	hasCategory	categoryOf
language	slightly	Adverb	instanceOf	hasInstance
language	slightly	Degree	hasCategory	categoryOf
language	slowly	Adverb	instanceOf	hasInstance
language	slowly	Manner	hasCategory	categoryOf
language	sometimes	Adverb	instanceOf	hasInstance
language	sometimes	Frequency	hasCategory	categoryOf
language	soon	Adverb	instanceOf	hasInstance
language	soon	Time	hasCategory	categoryOf
language	specifically	Adverb	instanceOf	hasInstance
language	specifically	Manner	hasCategory	categoryOf
language	strongly	Adverb	instanceOf	hasInstance
language	strongly	Degree	hasCategory	categoryOf
language	subsequently	Adverb	instanceOf	hasInstance
language	subsequently	Time	hasCategory	categoryOf
language	substantially	Adverb	instanceOf	hasInstance
language	substantially	Degree	hasCategory	categoryOf
language	successfully	Adverb	instanceOf	hasInstance
