url	ns	type	id	name	description	code	predicate	event	activity	actor	object	inverse	source	vocabulary
https://language.org.ai/Verb/accept	language.org.ai	Verb	accept	accept	Accepting receipt of goods or materials		accepts	accepted	accepting	Accepter	Acceptance	acceptedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/achieve	language.org.ai	Verb	achieve	achieve	Accomplish or attain a goal or result through effort or action.		achieves	achieved	achieving	Achiever	Achievement	achievedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/acquire	language.org.ai	Verb	acquire	acquire	Obtain or purchase goods, services, or resources		acquires	acquired	acquiring	Acquirer	Acquisition	acquiredBy	https://www.apqc.org/	APQC PCF 7.0
https://language.org.ai/Verb/activate	language.org.ai	Verb	activate	activate	Make something active or operational; start or enable a process or system.		activates	activated	activating	Activator	Activation	activatedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/add	language.org.ai	Verb	add	add	Put or place something together with another item; combine or append.		adds	added	adding	Adder	Addition	addedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/administer	language.org.ai	Verb	administer	administer	Manage the execution and control of operational processes		administers	administered	administering	Administrator	Administration	administeredBy	https://www.apqc.org/	APQC PCF 7.0
https://language.org.ai/Verb/agree	language.org.ai	Verb	agree	agree	Consent or assent to something; reach mutual understanding or acceptance.		agrees	agreed	agreeing	Agreer	Agreement	agreedTo	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/allocate	language.org.ai	Verb	allocate	allocate	Distribute or assign resources, responsibilities, or opportunities.		allocates	allocated	allocating	Allocator	Allocation	allocatedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/analyze	language.org.ai	Verb	analyze	analyze	Examining information or data to identify patterns, relationships, or solutions		analyzes	analyzed	analyzing	Analyzer	Analysis	analyzedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/apply	language.org.ai	Verb	apply	apply	Submit a formal request or use something in practice; put into effect.		applies	applied	applying	Applicant	Application	appliedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/approve	language.org.ai	Verb	approve	approve	Formally agree to or officially sanction something; give authorization.		approves	approved	approving	Approver	Approval	approvedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/archive	language.org.ai	Verb	archive	archive	Store or preserve items for long-term retention; move to historical record.		archives	archived	archiving	Archivist	Archive	archivedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/arrange	language.org.ai	Verb	arrange	arrange	Organizing, positioning, or setting up items, events, or schedules in a particular order or configuration		arranges	arranged	arranging	Arranger	Arrangement	arrangedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/arrive	language.org.ai	Verb	arrive	arrive	Arriving at a location		arrives	arrived	arriving	Arriver	Arrival	arrivedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/assemble	language.org.ai	Verb	assemble	assemble	Combining components into a finished product		assembles	assembled	assembling	Assembler	Assembly	assembledBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/assess	language.org.ai	Verb	assess	assess	Evaluating or determining the nature, value, or extent of something through examination		assesses	assessed	assessing	Assessor	Assessment	assessedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/assign	language.org.ai	Verb	assign	assign	Indicating the object to be assigned		assigns	assigned	assigning	Assigner	Assignment	assignedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/assist	language.org.ai	Verb	assist	assist	Helping, supporting, or providing aid to another person or process to accomplish tasks or goals		assists	assisted	assisting	Assistant	Assistance	assistedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/attach	language.org.ai	Verb	attach	attach	Indicating the object to be attached		attaches	attached	attaching	Attacher	Attachment	attachedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/audit	language.org.ai	Verb	audit	audit	Examine and verify compliance with standards and procedures		audits	audited	auditing	Auditor	Audit	auditedBy	https://www.apqc.org/	APQC PCF 7.0
https://language.org.ai/Verb/authorize	language.org.ai	Verb	authorize	authorize	Granting a permission or authority		authorizes	authorized	authorizing	Authorizer	Authorization	authorizedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/benchmark	language.org.ai	Verb	benchmark	benchmark	Compare performance against industry standards or best practices		benchmarks	benchmarked	benchmarking	Benchmarker	Benchmark	benchmarkedBy	https://www.apqc.org/	APQC PCF 7.0
https://language.org.ai/Verb/budget	language.org.ai	Verb	budget	budget	Plan and allocate financial resources for future periods		budgets	budgeted	budgeting	Budgeter	Budget	budgetedBy	https://www.apqc.org/	APQC PCF 7.0
https://language.org.ai/Verb/calculate	language.org.ai	Verb	calculate	calculate	Computing or determining mathematical values or results based on data and formulas		calculates	calculated	calculating	Calculator	Calculation	calculatedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/cancel	language.org.ai	Verb	cancel	cancel	Canceling an action that was previously scheduled		cancels	canceled	canceling	Canceler	Cancellation	canceledBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/capture	language.org.ai	Verb	capture	capture	Recording an observation or information		captures	captured	capturing	Capturer	Capture	capturedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/certify	language.org.ai	Verb	certify	certify	Formally attest or validate that standards are met		certifies	certified	certifying	Certifier	Certification	certifiedBy	https://www.apqc.org/	APQC PCF 7.0
https://language.org.ai/Verb/check	language.org.ai	Verb	check	check	Checking an object for correctness or validity		checks	checked	checking	Checker	Check	checkedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/choose	language.org.ai	Verb	choose	choose	Selecting one or more items from a collection		chooses	chosen	choosing	Chooser	Choice	chosenBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/classify	language.org.ai	Verb	classify	classify	Assigning a category or classification to an object		classifies	classified	classifying	Classifier	Classification	classifiedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/clean	language.org.ai	Verb	clean	clean	Removing dirt, waste, or unwanted material from surfaces, objects, or areas to maintain cleanliness and hygiene		cleans	cleaned	cleaning	Cleaner	Cleaning	cleanedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/close	language.org.ai	Verb	close	close	To move or cause to move into a position where something is no longer open; to shut or seal.		closes	closed	closing	Closer	Closure	closedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/collect	language.org.ai	Verb	collect	collect	Gathering objects together		collects	collected	collecting	Collector	Collection	collectedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/comment	language.org.ai	Verb	comment	comment	To make remarks or observations, typically in response to something or someone; to provide feedback or notes.		comments	commented	commenting	Commenter	Commentary	commentedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/commission	language.org.ai	Verb	commission	commission	Assigning a unique identity to an object		commissions	commissioned	commissioning	Commissioner	Commission	commissionedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/communicate	language.org.ai	Verb	communicate	communicate	To convey or exchange information, ideas, or feelings between parties; to impart knowledge or establish understanding.		communicates	communicated	communicating	Communicator	Communication	communicatedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/compare	language.org.ai	Verb	compare	compare	To examine similarities and differences between two or more things; to estimate or judge the relative value of alternatives.		compares	compared	comparing	Comparer	Comparison	comparedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/compile	language.org.ai	Verb	compile	compile	Collecting, assembling, and organizing information or materials from multiple sources into a unified document or system		compiles	compiled	compiling	Compiler	Compilation	compiledBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/complete	language.org.ai	Verb	complete	complete	To finish or bring to an end; to make whole or entire by adding what is missing.		completes	completed	completing	Completer	Completion	completedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/comply	language.org.ai	Verb	comply	comply	Act in accordance with laws, regulations, or organizational policies		complies	complied	complying	Complier	Compliance	compliedWith	https://www.apqc.org/	APQC PCF 7.0
https://language.org.ai/Verb/compute	language.org.ai	Verb	compute	compute	To calculate or determine by mathematical operations or logical reasoning; to process data.		computes	computed	computing	Computer	Computation	computedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/conduct	language.org.ai	Verb	conduct	conduct	Directing, leading, managing, or carrying out activities, events, or operations in a structured manner		conducts	conducted	conducting	Conductor	Conduct	conductedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/configure	language.org.ai	Verb	configure	configure	To arrange, set up, or adjust components or settings to prepare for use or operation.		configures	configured	configuring	Configurator	Configuration	configuredBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/confirm	language.org.ai	Verb	confirm	confirm	To establish or strengthen the truth or validity of something; to acknowledge or verify.		confirms	confirmed	confirming	Confirmer	Confirmation	confirmedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/connect	language.org.ai	Verb	connect	connect	To join or link together; establish a connection or relationship between entities.		connects	connected	connecting	Connector	Connection	connectedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/consign	language.org.ai	Verb	consign	consign	Handing over responsibility for shipment		consigns	consigned	consigning	Consigner	Consignment	consignedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
https://language.org.ai/Verb/consult	language.org.ai	Verb	consult	consult	Providing professional advice or seeking expert opinion		consults	consulted	consulting	Consultant	Consultation	consultedBy	https://www.onetonline.org/	O*NET 28.0
https://language.org.ai/Verb/consume	language.org.ai	Verb	consume	consume	To use up or take in resources, materials, or products; to use something completely.		consumes	consumed	consuming	Consumer	Consumption	consumedBy	https://schema.org/Action	Schema.org 27.0
https://language.org.ai/Verb/contract	language.org.ai	Verb	contract	contract	Establish a formal binding agreement between parties		contracts	contracted	contracting	Contracter	Contract	contractedWith	https://www.apqc.org/	APQC PCF 7.0
https://language.org.ai/Verb/control	language.org.ai	Verb	control	control	Managing or regulating the operation, flow, or behavior of systems, processes, or people		controls	controlled	controlling	Controller	Control	controlledBy	https://www.onetonline.org/	O*NET 28.0
