mediaId	appId
Email	10minutemail
YouTube	24sessions
YouTube	A.v.Mapping
YouTube	AcquiaDam
Email	ActionNetwork
Email	ActivecampaignPostmark
Email	Acumbamail
Email	Acymailing
Email	AddressGuard
Email	Adestra
SocialMedia	Adhook
YouTube	Adificial
SocialMedia	Agorapulse
YouTube	AiStudios
YouTube	Amberscript
Email	Amitree
Email	AnymailFinder
YouTube	Api.video
SocialMedia	Appsorteos
SocialMedia	Are.na
YouTube	ArticleVideoRobot
Email	Audienceful
YouTube	Audiogram
YouTube	Audius
YouTube	Audome
YouTube	Auphonic
Blog	Autoblogger
Email	Autoklose
Email	Aweber
Email	Beehiiv
Email	BenchmarkEmail
SocialMedia	Bettermode
Email	BeyondRelationshipMarketing
YouTube	Bhuman
Email	Bigmailer
Email	Birdsend
SocialMedia	Bl.ink
Blog	Blogger
Blog	Blogify
Blog	Blogin
YouTube	Bluedot
Email	BluefoxEmail
YouTube	BluejeansEvents
YouTube	BluejeansMeetings
SocialMedia	Bluesky
SocialMedia	BlueskyUnshape
SocialMedia	BlueSocial
Email	Bluetick.io
Email	Bombbomb.com
YouTube	Boords
Email	Bouncer
Email	Bouncify
SocialMedia	Brandchamp
Email	Breakcold
Email	Brevo
Email	Briteverify
SocialMedia	Buffer
Email	BuilderallMailingboss
Email	Buttondown
YouTube	Buzzvid
Email	ByteplantEmailValidator
Email	Cakemail
Email	Camhdk
Email	CampaignCleaner
Email	Campaignhq
Email	CampaignMonitor
Email	Campayn
SocialMedia	Capssion
YouTube	Captions
YouTube	Castos
YouTube	CausevidEssentials
Email	Ceipal
SocialMedia	Chatfuel
SocialMedia	Churchpool
YouTube	Cincopa
YouTube	CinesendDemand
YouTube	CiscoWebexMeetings
Email	Clanica
Email	Cleansify
Email	Clearout
Email	CleverElements
Email	Cleverreach
YouTube	Clickmeeting
YouTube	Clipcat
Email	Cloudsponge
YouTube	CollaborateSpace
Email	ColligsoMailin
YouTube	Colossyan
SocialMedia	CommuniApp
Email	Connect365
YouTube	Consolto
Email	ConstantContact
YouTube	Contentgroove
SocialMedia	Contentstudio
Email	Creamailer
Email	Createsend
YouTube	Creatomate
SocialMedia	Crowdfire
SocialMedia	Curatebase
Email	Curated
Email	CuratedLetters
Email	Customer.io
Email	Cyberimpact
YouTube	Daily.co
YouTube	DataclayQue
Email	Debounce
SocialMedia	Determ
Email	Dibbi
SocialMedia	DigimindSocial
YouTube	DigitalPigeon
Email	Dinamize
Email	Directiq
Email	DirectMail
SocialMedia	Discourse
Email	Docsify
YouTube	Dolby.io
Email	Doppler
SocialMedia	Dotsimple
Email	Dreamcampaigns
SocialMedia	Dribbble
Email	Drip
Blog	Dropinblog
SocialMedia	DscribeAi
Email	EasyEmailVerification
Email	Ecoemails
Email	Ecosend
YouTube	Edisen
Email	Ediware
Email	Efinder.io
YouTube	Elai
Email	ElasticEmail
Email	Elink
SocialMedia	Ellipsend
Email	Emailchef
Email	EmailHippo
Email	Emailjs
Email	Emaillistverify
Email	Emailoctopus
Email	Emailoversight
Email	EmailParserZapier
Email	Emailvalidation
Email	Emailverify.io
SocialMedia	Embedsocial
Email	Emblue
YouTube	Emeezo
Email	Emelia
Email	Emma
SocialMedia	EmployeeAdvocacySproutSocial
SocialMedia	Empowr.ai
Email	Enormail
Email	Enrow
Email	Envoke
Email	EShot
SocialMedia	Exportcomments
SocialMedia	Falcon.io
Email	Fanbridge
Email	Fastmail
SocialMedia	Feedhive
SocialMedia	Feedly
Email	FiredrumEmailMarketing
Email	Flexmail
YouTube	Fliki
Email	Flodesk
YouTube	FlowApp
YouTube	Flutin
Email	Follow.it
SocialMedia	Foursquare
SocialMedia	Gaggleamp
YouTube	Gather
YouTube	Getscreenshot
Email	GlobalIntellisystems
SocialMedia	Glowlocal
YouTube	Gloww
Email	Gmail
Email	Gmass
Email	Gmx
YouTube	Gobrunch
YouTube	GotoMeeting
