id	name	description	type	platform
Television	Television	TV broadcast and streaming	Broadcast	TV
Radio	Radio	Radio broadcast	Broadcast	Radio
Podcast	Podcast	On-demand audio shows	Digital	Audio
YouTube	YouTube	YouTube video platform	Digital	Video
StreamingVideo	Streaming Video	Video streaming services	Digital	Video
StreamingAudio	Streaming Audio	Audio streaming services	Digital	Audio
SocialMedia	Social Media	Social media platforms	Digital	Social
Blog	Blog	Blog publishing	Digital	Web
Website	Website	Web publishing	Digital	Web
Email	Email	Email marketing and newsletters	Digital	Email
MobileApp	Mobile App	Mobile application	Digital	Mobile
Print	Print	Print publishing	Traditional	Print
Newspaper	Newspaper	Newspaper publishing	Traditional	Print
Magazine	Magazine	Magazine publishing	Traditional	Print
Book	Book	Book publishing	Traditional	Print
Cinema	Cinema	Movie theater exhibition	Traditional	Theater
OutdoorAdvertising	Outdoor Advertising	Billboard and outdoor ads	Traditional	Outdoor
DigitalSignage	Digital Signage	Digital display screens	Digital	Display
Vr	Virtual Reality	VR content and experiences	Immersive	VR
Ar	Augmented Reality	AR content and experiences	Immersive	AR
