id	name	description	type	modality
Alphacode	AlphaCode	DeepMind's competitive programming model	Code	text,code
Bert	BERT	Bidirectional Encoder Representations from Transformers	LLM	text
Claude	Claude	Anthropic's large language model	LLM	text
ClaudeHaiku	Claude Haiku	Anthropic's fastest model	LLM	text,vision
ClaudeOpus	Claude Opus	Anthropic's most capable model	LLM	text,vision
ClaudeSonnet	Claude Sonnet	Anthropic's Claude Sonnet model	LLM	text,vision
Clip	CLIP	Contrastive Language-Image Pre-training	Vision	text,image
Codegen	CodeGen	Salesforce's code generation model	Code	text,code
Codellama	CodeLlama	Meta's code generation model	Code	text,code
Codex	Codex	OpenAI's code generation model	Code	text,code
DallE	DALL-E	OpenAI's text-to-image generation model	Vision	text,image
Fasttext	FastText	Word embeddings with subword information	Embedding	text
Gemini	Gemini	Google's multimodal AI model	LLM	text,vision,audio
Glove	GloVe	Global Vectors for word representation	Embedding	text
Gpt3.5	GPT-3.5	OpenAI's GPT-3.5 language model	LLM	text
Gpt4	GPT-4	OpenAI's fourth-generation language model	LLM	text
Llama	LLaMA	Meta's Large Language Model Meta AI	LLM	text
Midjourney	Midjourney	AI image generation model	Vision	text,image
Mistral	Mistral	Mistral AI's language model	LLM	text
Palm	PaLM	Google's Pathways Language Model	LLM	text
Resnet	ResNet	Residual Neural Network for image recognition	Vision	image
SentenceBert	Sentence-BERT	Sentence embeddings using BERT	Embedding	text
StableDiffusion	Stable Diffusion	Open-source text-to-image diffusion model	Vision	text,image
Starcoder	StarCoder	Open-source code generation model	Code	text,code
T5	T5	Text-to-Text Transfer Transformer	LLM	text
Tacotron	Tacotron	Text-to-speech synthesis model	Audio	text,audio
Vit	ViT	Vision Transformer	Vision	image
Wavenet	WaveNet	DeepMind's audio generation model	Audio	audio
Whisper	Whisper	OpenAI's speech recognition model	Audio	audio
Word2vec	Word2Vec	Word embedding model	Embedding	text
Yolo	YOLO	You Only Look Once object detection	Vision	image
