ns	type	id	name	description	code
naics.org.ai	Industry	11	Agriculture, Forestry, Fishing and HuntingT	Agriculture, Forestry, Fishing and HuntingT	11
naics.org.ai	Industry	111	Crop ProductionT	Crop ProductionT	111
naics.org.ai	Industry	1111	Oilseed and Grain FarmingT	Oilseed and Grain FarmingT	1111
naics.org.ai	Industry	11111	Soybean FarmingT	Soybean FarmingT	11111
naics.org.ai	Industry	111110	Soybean Farming	Soybean Farming	111110
naics.org.ai	Industry	11112	Oilseed (except Soybean) FarmingT	Oilseed (except Soybean) FarmingT	11112
naics.org.ai	Industry	111120	Oilseed (except Soybean) Farming	Oilseed (except Soybean) Farming	111120
naics.org.ai	Industry	11113	Dry Pea and Bean FarmingT	Dry Pea and Bean FarmingT	11113
naics.org.ai	Industry	111130	Dry Pea and Bean Farming	Dry Pea and Bean Farming	111130
naics.org.ai	Industry	11114	Wheat FarmingT	Wheat FarmingT	11114
naics.org.ai	Industry	111140	Wheat Farming	Wheat Farming	111140
naics.org.ai	Industry	11115	Corn FarmingT	Corn FarmingT	11115
naics.org.ai	Industry	111150	Corn Farming	Corn Farming	111150
naics.org.ai	Industry	11116	Rice FarmingT	Rice FarmingT	11116
naics.org.ai	Industry	111160	Rice Farming	Rice Farming	111160
naics.org.ai	Industry	11119	Other Grain FarmingT	Other Grain FarmingT	11119
naics.org.ai	Industry	111191	Oilseed and Grain Combination Farming	Oilseed and Grain Combination Farming	111191
naics.org.ai	Industry	111199	All Other Grain Farming	All Other Grain Farming	111199
naics.org.ai	Industry	1112	Vegetable and Melon FarmingT	Vegetable and Melon FarmingT	1112
naics.org.ai	Industry	11121	Vegetable and Melon FarmingT	Vegetable and Melon FarmingT	11121
naics.org.ai	Industry	111211	Potato Farming	Potato Farming	111211
naics.org.ai	Industry	111219	Other Vegetable (except Potato) and Melon Farming	Other Vegetable (except Potato) and Melon Farming	111219
naics.org.ai	Industry	1113	Fruit and Tree Nut FarmingT	Fruit and Tree Nut FarmingT	1113
naics.org.ai	Industry	11131	Orange GrovesT	Orange GrovesT	11131
