id	code	name	description	parent

Cattle	1111111	Cattle	Live beef and dairy cattle, 1 year and over.	111111
Calves	1111112	Calves	Live calves, under 1 year.	111111
HogsForBreeding	1111211	Hogs for breeding	Live porcine animals raised for breeding.	111121
NursingAndWeanerHogs	1111212	Nursing and weaner hogs	Live young pigs and piglets, weaned and unweaned, raised for meat production.	111121
MarketHogs	1111213	Market hogs	Live porcine animals 23 kg and over, raised for meat production.	111121
ChickensForBreeding	1111311	Chickens for breeding	Live chickens raised for breeding.	111131
HensAndPulletsForLayingEggs	1111312	Hens and pullets for laying eggs	Live hens and pullets raised for egg production.	111131
ChickensForMeat	1111313	Chickens for meat	Live chickens raised for meat production.	111131
TurkeysForBreeding	1111321	Turkeys for breeding	Live turkeys raised for breeding.	111132
TurkeysForMeat	1111322	Turkeys for meat	Live turkeys raised for meat production.	111132
Chicks	1111331	Chicks	Live chicks, from hatching until placed in raising facilities.	111133
Poults	1111332	Poults	Live poults, from hatching until placed in raising facilities.	111133
PoultryExceptChickensTurkeysChicksAndPoults	1111341	Poultry (except chickens, turkeys, chicks and poults)	Live poultry, except chickens, turkeys, chicks and poults.	111134
SheepAndLambs	1111411	Sheep and lambs	Live sheep and lambs.	111141
Goats	1111412	Goats	Live goats.	111141
FurBearingAnimals	1111421	Fur-bearing animals	Live fur-bearing animals.	111142
OtherLiveAnimalsForMeatAndForHair	1111431	Other live animals for meat and for hair	Other live animals for meat and for hair.	111143
PetsAndLaboratoryAnimals	1111432	Pets and laboratory animals	Live pets and laboratory animals.	111143
BeesAndPollinatingInsects	1111433	Bees and pollinating insects	Live bees and pollinating insects.	111143
OtherLiveAnimalsN.e.c.	1111434	Other live animals, n.e.c.	Other live animals, n.e.c.	111143
Semen	1111435	Semen	Live semen, frozen or fresh.	111143
AnimalEmbryos	1111436	Animal embryos	Live animal embryos, frozen or fresh.	111143
WheatExceptDurumWheat	1121111	Wheat (except durum wheat)	All the varieties of unmilled wheat, except durum wheat.	112111
DurumWheat	1121112	Durum wheat	Unmilled durum wheat.	112111
Canola	1131111	Canola	Canola, except rapeseed.	113111
RapeseedExceptCanola	1131112	Rapeseed (except canola)	Rapeseed, except canola.	113111
FreshStrawberries	1141111	Fresh strawberries	Fresh strawberries.	114111
FreshRaspberries	1141112	Fresh raspberries	Fresh raspberries.	114111
FreshCranberries	1141113	Fresh cranberries	Fresh cranberries.	114111
FreshBlueberries	1141114	Fresh blueberries	Fresh blueberries.	114111
OtherFreshBerries	1141115	Other fresh berries	Other fresh berries.	114111
FreshOranges	1141121	Fresh oranges	Fresh oranges.	114112
OtherFreshCitrusFruit	1141122	Other fresh citrus fruit	Other fresh citrus fruit.	114112
FreshBananas	1141131	Fresh bananas	Fresh bananas.	114113
FreshPineapples	1141132	Fresh pineapples	Fresh pineapples.	114113
FreshOlives	1141133	Fresh olives	Fresh olives.	114113
OtherFreshTropicalAndSemitropicalFruit	1141134	Other fresh tropical and semitropical fruit	Other fresh tropical and semitropical fruit.	114113
FreshApples	1141141	Fresh apples	Fresh apples.	114114
FreshPears	1141142	Fresh pears	Fresh pears.	114114
FreshPlumsAndPrunePlums	1141143	Fresh plums and prune plums	Fresh plums and prune plums.	114114
FreshPeachesNectarinesAndApricots	1141144	Fresh peaches, nectarines and apricots	Fresh peaches, nectarines and apricots.	114114
FreshCherries	1141145	Fresh cherries	Fresh cherries.	114114
OtherFreshPomeAndStoneFruit	1141146	Other fresh pome and stone fruit	Other fresh pome and stone fruit.	114114
FreshGrapes	1141147	Fresh grapes	Fresh grapes.	114114
OtherFreshFruitN.e.c.	1141148	Other fresh fruit, n.e.c.	Other fresh fruit, n.e.c.	114114
Peanuts	1141151	Peanuts	Peanuts shelled or in shell.	114115
Hazelnuts	1141152	Hazelnuts	Hazelnuts shelled or in shell.	114115
OtherNuts	1141153	Other nuts	Nuts shelled or in shell, other than peanuts and hazelnuts.	114115
FreshPotatoesForTableConsumption	1142111	Fresh potatoes for table consumption	Fresh potatoes for table consumption.	114211
FreshPotatoesForProcessing	1142112	Fresh potatoes for processing	Fresh potatoes for processing.	114211
FreshPotatoesForSeed	1142113	Fresh potatoes for seed	Fresh potatoes for seed.	114211
FreshRootTypeVegetables	1142211	Fresh root type vegetables	Fresh root type vegetables.	114221
FreshBulbTypeVegetables	1142212	Fresh bulb type vegetables	Fresh bulb type vegetables.	114221
FreshLeafAndStemTypeVegetables	1142213	Fresh leaf and stem type vegetables	Fresh leaf and stem type vegetables.	114221
FreshMelons	1142214	Fresh melons	Fresh melons.	114221
FreshFruitTypeVegetablesExceptMelons	1142215	Fresh fruit type vegetables (except melons)	Fresh fruit type vegetables, except melons.	114221
GreenLeguminousVegetables	1142216	Green leguminous vegetables	Fresh leguminous and gramineous plants or seed type vegetables (pod vegetable), harvested while green for their green grains or for their green pods, mainly for human consumption.	114221
FreshMushroomsIncludingTruffles	1142217	Fresh mushrooms (including truffles)	Fresh mushrooms and truffles.	114221
OtherFreshVegetablesN.e.c.	1142218	Other fresh vegetables, n.e.c.	Other fresh vegetables, n.e.c.	114221
ChickpeasDesi	1143111	Chickpeas, Desi	Chickpeas, Desi.	114311
ChickpeasKabuli	1143112	Chickpeas, Kabuli	Chickpeas, Kabuli.	114311
OtherChickpeas	1143113	Other chickpeas	Other chickpeas.	114311
LargeGreenLentils	1143121	Large green lentils	Large green lentils.	114312
RedLentils	1143122	Red lentils	Red lentils.	114312
SmallGreenLentils	1143123	Small green lentils	Small green lentils.	114312
OtherLentils	1143124	Other lentils	Other lentils.	114312
DryWhiteBeans	1143131	Dry white beans	Dry white beans.	114313
DryColouredBeans	1143132	Dry coloured beans	Dry coloured beans.	114313
YellowDryPeas	1143141	Yellow dry peas	Yellow dry peas.	114314
GreenDryPeas	1143142	Green dry peas	Green dry peas.	114314
OtherDryPeas	1143143	Other dry peas	Other dry peas.	114314
FabaBeans	1143151	Faba beans	Faba beans.	114315
OtherPulseCropsN.e.c.	1143152	Other pulse crops, n.e.c.	Other pulse crops, n.e.c.	114315
CornForGrain	1151111	Corn for grain	Unmilled corn for grain.	115111
UnmilledRice	1151121	Unmilled rice	Unmilled rice.	115112
Oats	1151131	Oats	Unmilled oats, hulless and unhulled.	115113
Barley	1151141	Barley	Unmilled barley, hulless and unhulled.	115114
MixedGrain	1151151	Mixed grain	Unmilled mixed cereal grain.	115115
Rye	1151152	Rye	Unmilled rye.	115115
Triticale	1151153	Triticale	Unmilled triticale.	115115
WildRice	1151154	Wild rice	Unmilled wild rice.	115115
OtherMiscellaneousGrains	1151155	Other miscellaneous grains	Other miscellaneous unmilled grains.	115115
Soybeans	1151211	Soybeans	Unprocessed soybeans.	115121
Flaxseed	1151221	Flaxseed	Unprocessed flaxseed.	115122
Solin	1151222	Solin	Unprocessed solin.	115122
SunflowerSeeds	1151223	Sunflower seeds	Unprocessed sunflower seeds.	115122
