id	code	name	description

LiveAnimals	111	Live animals	This group comprises live animals, live insects and live semen.
Wheat	112	Wheat	This group comprises all the varieties of unmilled wheat.
CanolaIncludingRapeseed	113	Canola (including rapeseed)	This group comprises canola and rapeseed.
FreshFruitNutsAndVegetablesAndPulseCrops	114	Fresh fruit, nuts and vegetables, and pulse crops	This group comprises fresh fruit, nuts, and vegetables, and pulse crops.
OtherCropProducts	115	Other crop products	This group comprises crop products n.e.c.
OtherAnimalProducts	116	Other animal products	This group comprises animal products n.e.c.
FishCrustaceansShellfishAndOtherFisheryProducts	121	Fish, crustaceans, shellfish and other fishery products	This group comprises fish, crustaceans, shellfish and other fishery products, live and dead, except processed beyond frozen or dressed.
LogsPulpwoodAndOtherForestryProducts	131	Logs, pulpwood and other forestry products	This group comprises wood logs, pulpwood and other forestry products.
CrudeOilAndBitumen	141	Crude oil and bitumen	This group comprises conventional crude oil, crude and diluted bitumen, and synthetic crude oil.
NaturalGas	142	Natural gas	This group comprises natural gas, a mixture of gaseous hydrocarbons consisting primarily of methane.
NaturalGasLiquidsIncludingCondensateAndRelatedProducts	143	Natural gas liquids (including condensate) and related products	This group comprises natural gas liquids (NGLs) and related products. NGLs are found in natural gas and include liquefied petroleum gases or LPGs (propane, butane), ethane, lease condensate, pentanes plus, among others.
Coal	144	Coal	This group comprises coal, a combustible black (hard coal) and brownish-black (brown coal) rock consisting of more than 50% by weight and more than 70% by volume of carbonaceous material. It is formed from plant remains that have been compacted, hardened and chemically altered, and metamorphosed by heat and pressure over geologic time.
NuclearFuelAndOtherEnergyProducts	145	Nuclear fuel and other energy products	This group comprises nuclear fuel, and fuel wood, fuel products of waste wood, other solid fuel products n.e.c.; and steam and heated or cooled air or water.
Electricity	146	Electricity	This group comprises all forms of generated electricity.
NaturalGasDistribution	147	Natural gas distribution	This group comprises natural gas distribution services through mains.
IronOresAndConcentrates	151	Iron ores and concentrates	This group comprises iron ores and concentrates.
CopperOresAndConcentrates	152	Copper ores and concentrates	This group comprises copper ores and concentrates.
NickelOresAndConcentrates	153	Nickel ores and concentrates	This group comprises nickel ores and concentrates.
RadioactiveOresAndConcentrates	154	Radioactive ores and concentrates	This group comprises radioactive ores and concentrates.
OtherMetalOresAndConcentrates	155	Other metal ores and concentrates	This group comprises other metal ores and concentrates.
WasteAndScrapOfMetal	156	Waste and scrap of metal	This group comprises waste and scrap of metal.
WasteAndScrapOfWoodWoodByProductsPaperAndPaperboard	157	Waste and scrap of wood, wood by-products, paper and paperboard	This group comprises waste and scrap of wood, wood by-products, paper and paperboard.
WasteAndScrapOfPlasticAndRubber	158	Waste and scrap of plastic and rubber	This group comprises waste and scrap of plastic and rubber.
WasteAndScrapOfGlass	159	Waste and scrap of glass	This group comprises waste and scrap of glass.
Potash	161	Potash	This group comprises potash.
StoneSandGravelClayAndRefractoryMinerals	162	Stone, sand, gravel, clay, and refractory minerals	This group comprises stone, sand, gravel, clay, and refractory minerals.
DiamondsAndOtherNonMetallicMineralsExceptCutGemstones	163	Diamonds and other non-metallic minerals (except cut gemstones)	This group comprises diamonds and other non-metallic minerals, except cut gemstones.
PreparedAndPackagedSeafoodProducts	171	Prepared and packaged seafood products	This group comprises prepared, processed beyond dressing, and packaged seafood products.
MeatProducts	172	Meat products	This group comprises fresh, frozen and processed meat products.
DairyProducts	173	Dairy products	This group comprises dairy products.
AnimalFeed	181	Animal feed	This group comprises animal feed.
IntermediateFoodProducts	182	Intermediate food products	This group comprises intermediate food products such as cooking oils, flour and sugar.
OtherFoodProducts	183	Other food products	This group comprises other food products such as breakfast cereal, bread, chocolate and snack food products.
CoffeeAndTea	191	Coffee and tea	This group comprises coffee and tea.
FrozenFreshAndCannedFruitAndVegetableJuices	192	Frozen, fresh and canned fruit and vegetable juices	This group comprises frozen, fresh and canned fruit and vegetable juices.
CarbonatedAndNonCarbonatedDrinksIncludingLowAlcoholFermentedDrinksBottledWaterAndIce	193	Carbonated and non-carbonated drinks (including low alcohol fermented drinks), bottled water and ice	This group comprises carbonated and non-carbonated soft and other drinks, including low alcohol fermented drinks, bottled water and ice.
AlcoholicBeverages	211	Alcoholic beverages	This group comprises alcoholic beverages such as beer, wine, brandy, whisky and other distilled liquor.
TobaccoProductsIncludingElectronicCigarettes	212	Tobacco products (including electronic cigarettes)	This group comprises tobacco products (including electronic cigarettes).
CannabisProducts	213	Cannabis products	This group comprises cannabis viable seeds and vegetative plants; fresh and dried cannabis (buds and leaves); cannabis oil; other cannabis extracts and concentrates; cannabis-infused edible products; and other cannabis products n.e.c., for non-medical (recreational, wellness, lifestyle, spiritual, etc.) and medical uses. A plant of the genus Cannabis refers generally to three varieties which are cannabis Sativa, cannabis Indica and cannabis Ruderalis. Sativas and Indicas are the most commonly used cannabis strains for cultivation and propagation. The genetics of the different cannabis strains are widely mixed or cloned to create cannabis hybrids. Cannabis contains a number of active elements, including cannabinoids such as tetrahydrocannabinol (THC) or dronabinol, cannabidiol (CBD) and terpenes (aromatic compounds or chemical markers). Cannabis plants containing 0.3% w/w (weight for weight) of THC or less in the flowering tops and leaves - industrial hemp - and their derivatives with the THC concentration of 10 µg/g or less, as well as prescription drugs or pharmaceuticals containing cannabis, are excluded from this group.
FabricFibreAndYarnAndLeatherAndDressedFurs	221	Fabric, fibre and yarn, and leather and dressed furs	This group comprises fabric, fibre, yarn and thread, and leather and dressed furs.
ClothingFootwearAndAccessories	231	Clothing, footwear and accessories	This group comprises clothing, footwear and accessories.
CarpetsTextileFurnishingsAndOtherTextileProducts	232	Carpets, textile furnishings and other textile products	This group comprises carpets, textile furnishings and other textile products.
LumberAndOtherSawmillProducts	241	Lumber and other sawmill products	This group comprises lumber and other sawmill products.
PulpAndPaper	251	Pulp and paper	This group comprises pulp and paper.
ConvertedPaperProductsExceptForPackaging	252	Converted paper products (except for packaging)	This group comprises converted paper products, except for packaging.
RefinedPetroleumEnergyProductsIncludingLiquidBiofuels	261	Refined petroleum energy products (including liquid biofuels)	This group comprises refined petroleum energy products, and liquid biofuels.
AsphaltExceptNaturalAndAsphaltProducts	262	Asphalt (except natural) and asphalt products	This group comprises asphalt, except natural asphalt, and asphalt products.
DyesAndPigmentsAndPetrochemicals	263	Dyes and pigments, and petrochemicals	This group comprises dyes and pigments, and petrochemicals.
LubricantsAndOtherPetroleumRefineryProducts	264	Lubricants and other petroleum refinery products	This group comprises lubricants and other petroleum refinery products.
BasicChemicals	271	Basic chemicals	This group comprises basic chemicals.
FertilizersPesticidesAndOtherChemicalProducts	272	Fertilizers, pesticides and other chemical products	This group comprises fertilizers, pesticides and other chemical products.
PharmaceuticalAndMedicinalProducts	273	Pharmaceutical and medicinal products	This group comprises pharmaceutical and medicinal products.
CleaningProductsAndToiletries	274	Cleaning products and toiletries	This group comprises cleaning products and toiletries.
PlasticResins	281	Plastic resins	This group comprises plastic resins.
PlasticAndRubberBasicProductsNotForPackagingUseExceptPlasticResins	282	Plastic and rubber basic products not for packaging use (except plastic resins)	This group comprises basic plastic and rubber products not for packaging use, except plastic resins.
Tires	283	Tires	This group comprises tires.
PlasticAndRubberFinishedProducts	284	Plastic and rubber finished products	This group comprises plastic and rubber finished products.
NonMetallicMineralProducts	291	Non-metallic mineral products	This group comprises non-metallic mineral products.
UnwroughtIronSteelAndFerroAlloys	311	Unwrought iron, steel and ferro-alloys	This group comprises unwrought iron, steel and ferro-alloys.
BasicAndSemiFinishedIronOrSteelProducts	312	Basic and semi-finished iron or steel products	This group comprises basic and semi-finished iron or steel products.
UnwroughtAluminumAndAluminumAlloys	321	Unwrought aluminum and aluminum alloys	This group comprises unwrought aluminum and aluminum alloys.
UnwroughtCopperAndCopperAlloys	322	Unwrought copper and copper alloys	This group comprises unwrought copper and copper alloys.
UnwroughtNickelAndNickelAlloys	323	Unwrought nickel and nickel alloys	This group comprises unwrought nickel and nickel alloys.
UnwroughtGoldSilverAndPlatinumGroupMetalsAndTheirAlloys	324	Unwrought gold, silver, and platinum group metals, and their alloys	This group comprises unwrought gold, silver, and platinum group metals, and their alloys.
OtherUnwroughtNonFerrousMetalsAndNonFerrousMetalAlloys	325	Other unwrought non-ferrous metals and non-ferrous metal alloys	This group comprises other unwrought non-ferrous metals and non-ferrous metal alloys.
BasicAndSemiFinishedProductsOfNonFerrousMetalsAndNonFerrousMetalAlloysExceptAluminum	326	Basic and semi-finished products of non-ferrous metals and non-ferrous metal alloys (except aluminum)	This group comprises basic and semi-finished products of non-ferrous metals and non-ferrous metal alloys, except aluminum.
BasicAndSemiFinishedProductsOfAluminumAndAluminumAlloys	327	Basic and semi-finished products of aluminum and aluminum alloys	This group comprises basic and semi-finished products of aluminum and aluminum alloys.
AgriculturalLawnAndGardenMachineryAndEquipment	331	Agricultural, lawn and garden machinery and equipment	This group comprises machinery and equipment used for agriculture, lawn and garden.
LoggingConstructionMiningAndOilAndGasFieldMachineryAndEquipment	332	Logging, construction, mining, and oil and gas field machinery and equipment	This group comprises machinery and equipment used in logging, construction, mining, and oil and gas fields.
MetalworkingMachinery	341	Metalworking machinery	This group comprises machinery used for metalworking.
CommercialAndServiceIndustryMachineryAndEquipment	342	Commercial and service industry machinery and equipment	This group comprises commercial and service industry machinery and equipment.
OtherIndustrySpecificManufacturingMachineryN.e.c.	343	Other industry-specific manufacturing machinery, n.e.c.	This group comprises other industry-specific manufacturing machinery, n.e.c.
HeatingCoolingAndAirPurificationEquipment	344	Heating, cooling and air purification equipment	This group comprises heating, cooling and air purification equipment.
OtherGeneralPurposeMachineryAndEquipmentN.e.c.	345	Other general-purpose machinery and equipment, n.e.c.	This group comprises other general-purpose machinery and equipment, n.e.c.
PartsOfIndustrialMachineryAndEquipment	351	Parts of industrial machinery and equipment	This group comprises parts of industrial machinery and equipment.
ComputersAndComputerPeripherals	361	Computers and computer peripherals	This group comprises computers; and computer storage devices and peripherals.
CommunicationAndAudioAndVideoEquipment	362	Communication, and audio and video equipment	This group comprises communication, and audio and video equipment.
