child	childCode	parent	parentCode	level
Cattle	1111111	CattleAndCalves	111111	Detail→Subclass
Calves	1111112	CattleAndCalves	111111	Detail→Subclass
HogsForBreeding	1111211	Hogs	111121	Detail→Subclass
NursingAndWeanerHogs	1111212	Hogs	111121	Detail→Subclass
MarketHogs	1111213	Hogs	111121	Detail→Subclass
ChickensForBreeding	1111311	Chickens	111131	Detail→Subclass
HensAndPulletsForLayingEggs	1111312	Chickens	111131	Detail→Subclass
ChickensForMeat	1111313	Chickens	111131	Detail→Subclass
TurkeysForBreeding	1111321	Turkeys	111132	Detail→Subclass
TurkeysForMeat	1111322	Turkeys	111132	Detail→Subclass
Chicks	1111331	ChicksAndPoults	111133	Detail→Subclass
Poults	1111332	ChicksAndPoults	111133	Detail→Subclass
PoultryExceptChickensTurkeysChicksAndPoults	1111341	PoultryExceptChickensTurkeysChicksAndPoults	111134	Detail→Subclass
SheepAndLambs	1111411	SheepLambsAndGoats	111141	Detail→Subclass
Goats	1111412	SheepLambsAndGoats	111141	Detail→Subclass
FurBearingAnimals	1111421	FurBearingAnimals	111142	Detail→Subclass
OtherLiveAnimalsForMeatAndForHair	1111431	OtherMiscellaneousLiveAnimals	111143	Detail→Subclass
PetsAndLaboratoryAnimals	1111432	OtherMiscellaneousLiveAnimals	111143	Detail→Subclass
BeesAndPollinatingInsects	1111433	OtherMiscellaneousLiveAnimals	111143	Detail→Subclass
OtherLiveAnimalsN.e.c.	1111434	OtherMiscellaneousLiveAnimals	111143	Detail→Subclass
Semen	1111435	OtherMiscellaneousLiveAnimals	111143	Detail→Subclass
AnimalEmbryos	1111436	OtherMiscellaneousLiveAnimals	111143	Detail→Subclass
WheatExceptDurumWheat	1121111	Wheat	112111	Detail→Subclass
DurumWheat	1121112	Wheat	112111	Detail→Subclass
Canola	1131111	CanolaIncludingRapeseed	113111	Detail→Subclass
RapeseedExceptCanola	1131112	CanolaIncludingRapeseed	113111	Detail→Subclass
FreshStrawberries	1141111	FreshBerries	114111	Detail→Subclass
FreshRaspberries	1141112	FreshBerries	114111	Detail→Subclass
FreshCranberries	1141113	FreshBerries	114111	Detail→Subclass
FreshBlueberries	1141114	FreshBerries	114111	Detail→Subclass
OtherFreshBerries	1141115	FreshBerries	114111	Detail→Subclass
FreshOranges	1141121	FreshCitrusFruit	114112	Detail→Subclass
OtherFreshCitrusFruit	1141122	FreshCitrusFruit	114112	Detail→Subclass
FreshBananas	1141131	FreshTropicalAndSemitropicalFruitExceptCitrusFruit	114113	Detail→Subclass
FreshPineapples	1141132	FreshTropicalAndSemitropicalFruitExceptCitrusFruit	114113	Detail→Subclass
FreshOlives	1141133	FreshTropicalAndSemitropicalFruitExceptCitrusFruit	114113	Detail→Subclass
OtherFreshTropicalAndSemitropicalFruit	1141134	FreshTropicalAndSemitropicalFruitExceptCitrusFruit	114113	Detail→Subclass
FreshApples	1141141	OtherFreshFruit	114114	Detail→Subclass
FreshPears	1141142	OtherFreshFruit	114114	Detail→Subclass
FreshPlumsAndPrunePlums	1141143	OtherFreshFruit	114114	Detail→Subclass
FreshPeachesNectarinesAndApricots	1141144	OtherFreshFruit	114114	Detail→Subclass
FreshCherries	1141145	OtherFreshFruit	114114	Detail→Subclass
OtherFreshPomeAndStoneFruit	1141146	OtherFreshFruit	114114	Detail→Subclass
FreshGrapes	1141147	OtherFreshFruit	114114	Detail→Subclass
OtherFreshFruitN.e.c.	1141148	OtherFreshFruit	114114	Detail→Subclass
Peanuts	1141151	Nuts	114115	Detail→Subclass
Hazelnuts	1141152	Nuts	114115	Detail→Subclass
OtherNuts	1141153	Nuts	114115	Detail→Subclass
FreshPotatoesForTableConsumption	1142111	FreshPotatoes	114211	Detail→Subclass
FreshPotatoesForProcessing	1142112	FreshPotatoes	114211	Detail→Subclass
FreshPotatoesForSeed	1142113	FreshPotatoes	114211	Detail→Subclass
FreshRootTypeVegetables	1142211	FreshVegetablesExceptPotatoesAndPulseCrops	114221	Detail→Subclass
FreshBulbTypeVegetables	1142212	FreshVegetablesExceptPotatoesAndPulseCrops	114221	Detail→Subclass
FreshLeafAndStemTypeVegetables	1142213	FreshVegetablesExceptPotatoesAndPulseCrops	114221	Detail→Subclass
FreshMelons	1142214	FreshVegetablesExceptPotatoesAndPulseCrops	114221	Detail→Subclass
FreshFruitTypeVegetablesExceptMelons	1142215	FreshVegetablesExceptPotatoesAndPulseCrops	114221	Detail→Subclass
GreenLeguminousVegetables	1142216	FreshVegetablesExceptPotatoesAndPulseCrops	114221	Detail→Subclass
FreshMushroomsIncludingTruffles	1142217	FreshVegetablesExceptPotatoesAndPulseCrops	114221	Detail→Subclass
OtherFreshVegetablesN.e.c.	1142218	FreshVegetablesExceptPotatoesAndPulseCrops	114221	Detail→Subclass
ChickpeasDesi	1143111	Chickpeas	114311	Detail→Subclass
ChickpeasKabuli	1143112	Chickpeas	114311	Detail→Subclass
OtherChickpeas	1143113	Chickpeas	114311	Detail→Subclass
LargeGreenLentils	1143121	Lentils	114312	Detail→Subclass
RedLentils	1143122	Lentils	114312	Detail→Subclass
SmallGreenLentils	1143123	Lentils	114312	Detail→Subclass
OtherLentils	1143124	Lentils	114312	Detail→Subclass
DryWhiteBeans	1143131	DryBeans	114313	Detail→Subclass
DryColouredBeans	1143132	DryBeans	114313	Detail→Subclass
YellowDryPeas	1143141	DryPeas	114314	Detail→Subclass
GreenDryPeas	1143142	DryPeas	114314	Detail→Subclass
OtherDryPeas	1143143	DryPeas	114314	Detail→Subclass
FabaBeans	1143151	OtherPulseCrops	114315	Detail→Subclass
OtherPulseCropsN.e.c.	1143152	OtherPulseCrops	114315	Detail→Subclass
CornForGrain	1151111	CornForGrain	115111	Detail→Subclass
UnmilledRice	1151121	UnmilledRice	115112	Detail→Subclass
Oats	1151131	Oats	115113	Detail→Subclass
Barley	1151141	Barley	115114	Detail→Subclass
MixedGrain	1151151	OtherGrainsN.e.c.	115115	Detail→Subclass
Rye	1151152	OtherGrainsN.e.c.	115115	Detail→Subclass
Triticale	1151153	OtherGrainsN.e.c.	115115	Detail→Subclass
WildRice	1151154	OtherGrainsN.e.c.	115115	Detail→Subclass
OtherMiscellaneousGrains	1151155	OtherGrainsN.e.c.	115115	Detail→Subclass
Soybeans	1151211	Soybeans	115121	Detail→Subclass
Flaxseed	1151221	OilseedsExceptCanolaAndSoybeans	115122	Detail→Subclass
Solin	1151222	OilseedsExceptCanolaAndSoybeans	115122	Detail→Subclass
