id	name	description	category	source
BreakingNews	Breaking News	Urgent breaking news	General	Various
LocalNews	Local News	Local community news	Regional	Local
NationalNews	National News	National news coverage	Regional	National
InternationalNews	International News	Global news coverage	Regional	International
Politics	Politics	Political news and analysis	Topic	Various
Business	Business	Business and finance news	Topic	Various
Technology	Technology	Tech industry news	Topic	Various
Sports	Sports	Sports news and scores	Topic	Various
Entertainment	Entertainment	Entertainment and celebrity news	Topic	Various
Health	Health	Health and medical news	Topic	Various
Science	Science	Scientific discoveries and research	Topic	Various
Environment	Environment	Environmental and climate news	Topic	Various
Education	Education	Education news and policy	Topic	Various
Crime	Crime	Crime and public safety news	Topic	Various
Weather	Weather	Weather forecasts and alerts	Topic	Various
Opinion	Opinion	Opinion and editorial content	Commentary	Various
InvestigativeJournalism	Investigative Journalism	In-depth investigative reporting	Long-form	Various
FeatureStory	Feature Story	Long-form feature articles	Long-form	Various
PhotoEssay	Photo Essay	Visual storytelling through photos	Visual	Various
VideoNews	Video News	Video news segments	Visual	Various
