ns	from	to	predicate	reverse
noun	State	Place	subClassOf	superClassOf
noun	State	place.org.ai	definedBy	defines
noun	Country	Place	subClassOf	superClassOf
noun	Country	place.org.ai	definedBy	defines
noun	Concept	Thing	subClassOf	superClassOf
noun	Concept	concept.org.ai	definedBy	defines
noun	AIModel	ComputationalModel	subClassOf	superClassOf
noun	AIModel	aimodel.org.ai	definedBy	defines
noun	App	SoftwareApplication	subClassOf	superClassOf
noun	App	app.org.ai	definedBy	defines
noun	CareerCluster	Thing	subClassOf	superClassOf
noun	CareerCluster	careercluster.org.ai	definedBy	defines
noun	Department	Thing	subClassOf	superClassOf
noun	Department	business.org.ai	definedBy	defines
noun	Business	Organization	subClassOf	superClassOf
noun	Business	business.org.ai	definedBy	defines
noun	Industry	Thing	subClassOf	superClassOf
noun	Industry	naics.org.ai	definedBy	defines
noun	Occupation	Thing	subClassOf	superClassOf
noun	Occupation	onet.org.ai	definedBy	defines
noun	Thing	schema.org	definedBy	defines
noun	Clip	CreativeWork	subClassOf	superClassOf
noun	Clip	schema.org	definedBy	defines
noun	WatchAction	ConsumeAction	subClassOf	superClassOf
noun	WatchAction	schema.org	definedBy	defines
noun	ExerciseGym	SportsActivityLocation	subClassOf	superClassOf
noun	ExerciseGym	schema.org	definedBy	defines
noun	MusicPlaylist	CreativeWork	subClassOf	superClassOf
noun	MusicPlaylist	schema.org	definedBy	defines
noun	EmployeeRole	OrganizationRole	subClassOf	superClassOf
noun	EmployeeRole	schema.org	definedBy	defines
noun	RejectAction	AllocateAction	subClassOf	superClassOf
noun	RejectAction	schema.org	definedBy	defines
noun	EventVenue	CivicStructure	subClassOf	superClassOf
noun	EventVenue	schema.org	definedBy	defines
noun	ScheduleAction	PlanAction	subClassOf	superClassOf
noun	ScheduleAction	schema.org	definedBy	defines
noun	MedicalCode	MedicalIntangible	subClassOf	superClassOf
noun	MedicalCode	schema.org	definedBy	defines
noun	Hotel	LodgingBusiness	subClassOf	superClassOf
noun	Hotel	schema.org	definedBy	defines
noun	PaymentMethod	Intangible	subClassOf	superClassOf
noun	PaymentMethod	schema.org	definedBy	defines
noun	BodyOfWater	Landform	subClassOf	superClassOf
noun	BodyOfWater	schema.org	definedBy	defines
noun	ProductCollection	Product	subClassOf	superClassOf
noun	ProductCollection	schema.org	definedBy	defines
noun	OnDemandEvent	PublicationEvent	subClassOf	superClassOf
noun	OnDemandEvent	schema.org	definedBy	defines
noun	CollegeOrUniversity	EducationalOrganization	subClassOf	superClassOf
noun	CollegeOrUniversity	schema.org	definedBy	defines
noun	Service	Intangible	subClassOf	superClassOf
noun	Service	schema.org	definedBy	defines
