ns	from	to	predicate	reverse	category	dataValue	date
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	3.01	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	0.00	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	10.22	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	4.57	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	2.20	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	2.70	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	0.00	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	40.74	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	25.93	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	1.81	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	10.35	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	1.88	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	10.35	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	10.96	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	3.47	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	2.33	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	6.16	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	1.98	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	0.00	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	22.39	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	10.58	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	2.11	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	0.00	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	33.95	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	2.40	07/2015
onet.org.ai	https://onet.org.ai/Occupation/11-202200	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-202200	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	1.62	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-202200	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	0.00	08/2025
