ns	from	to	predicate	reverse	dataValue	date
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Interest/1B1a	alignsWithInterest	interestOfOccupation	1.30	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Interest/1B1b	alignsWithInterest	interestOfOccupation	3.24	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Interest/1B1c	alignsWithInterest	interestOfOccupation	2.08	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Interest/1B1d	alignsWithInterest	interestOfOccupation	3.52	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Interest/1B1e	alignsWithInterest	interestOfOccupation	6.88	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Interest/1B1f	alignsWithInterest	interestOfOccupation	5.00	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Interest/1B1a	alignsWithInterest	interestOfOccupation	2.04	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Interest/1B1b	alignsWithInterest	interestOfOccupation	4.78	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Interest/1B1c	alignsWithInterest	interestOfOccupation	2.48	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Interest/1B1d	alignsWithInterest	interestOfOccupation	3.55	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Interest/1B1e	alignsWithInterest	interestOfOccupation	6.68	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Interest/1B1f	alignsWithInterest	interestOfOccupation	4.49	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Interest/1B1a	alignsWithInterest	interestOfOccupation	2.22	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Interest/1B1b	alignsWithInterest	interestOfOccupation	2.39	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Interest/1B1c	alignsWithInterest	interestOfOccupation	1.31	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Interest/1B1d	alignsWithInterest	interestOfOccupation	3.37	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Interest/1B1e	alignsWithInterest	interestOfOccupation	6.96	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Interest/1B1f	alignsWithInterest	interestOfOccupation	5.32	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-103100	https://onet.org.ai/Interest/1B1a	alignsWithInterest	interestOfOccupation	1.54	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-103100	https://onet.org.ai/Interest/1B1b	alignsWithInterest	interestOfOccupation	3.35	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-103100	https://onet.org.ai/Interest/1B1c	alignsWithInterest	interestOfOccupation	2.70	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-103100	https://onet.org.ai/Interest/1B1d	alignsWithInterest	interestOfOccupation	3.69	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-103100	https://onet.org.ai/Interest/1B1e	alignsWithInterest	interestOfOccupation	5.52	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-103100	https://onet.org.ai/Interest/1B1f	alignsWithInterest	interestOfOccupation	3.62	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Interest/1B1a	alignsWithInterest	interestOfOccupation	1.07	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Interest/1B1b	alignsWithInterest	interestOfOccupation	1.71	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Interest/1B1c	alignsWithInterest	interestOfOccupation	3.85	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Interest/1B1d	alignsWithInterest	interestOfOccupation	3.14	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Interest/1B1e	alignsWithInterest	interestOfOccupation	7.00	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Interest/1B1f	alignsWithInterest	interestOfOccupation	4.30	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Interest/1B1a	alignsWithInterest	interestOfOccupation	1.00	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Interest/1B1b	alignsWithInterest	interestOfOccupation	2.90	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Interest/1B1c	alignsWithInterest	interestOfOccupation	2.45	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Interest/1B1d	alignsWithInterest	interestOfOccupation	2.82	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Interest/1B1e	alignsWithInterest	interestOfOccupation	7.00	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-202100	https://onet.org.ai/Interest/1B1f	alignsWithInterest	interestOfOccupation	4.70	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-202200	https://onet.org.ai/Interest/1B1a	alignsWithInterest	interestOfOccupation	1.49	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-202200	https://onet.org.ai/Interest/1B1b	alignsWithInterest	interestOfOccupation	1.66	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-202200	https://onet.org.ai/Interest/1B1c	alignsWithInterest	interestOfOccupation	1.31	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-202200	https://onet.org.ai/Interest/1B1d	alignsWithInterest	interestOfOccupation	3.29	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-202200	https://onet.org.ai/Interest/1B1e	alignsWithInterest	interestOfOccupation	7.00	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-202200	https://onet.org.ai/Interest/1B1f	alignsWithInterest	interestOfOccupation	5.58	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-203200	https://onet.org.ai/Interest/1B1a	alignsWithInterest	interestOfOccupation	1.00	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-203200	https://onet.org.ai/Interest/1B1b	alignsWithInterest	interestOfOccupation	2.35	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-203200	https://onet.org.ai/Interest/1B1c	alignsWithInterest	interestOfOccupation	3.68	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-203200	https://onet.org.ai/Interest/1B1d	alignsWithInterest	interestOfOccupation	4.14	11/2023
onet.org.ai	https://onet.org.ai/Occupation/11-203200	https://onet.org.ai/Interest/1B1e	alignsWithInterest	interestOfOccupation	7.00	11/2023
