ns	from	to	predicate	reverse	dataValue	date
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C1a	requiresKnowledge	requiredByOccupation	6.50	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C1b	requiresKnowledge	requiredByOccupation	2.69	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C1c	requiresKnowledge	requiredByOccupation	4.98	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C1d	requiresKnowledge	requiredByOccupation	5.04	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C1e	requiresKnowledge	requiredByOccupation	5.94	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C1f	requiresKnowledge	requiredByOccupation	5.78	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C2a	requiresKnowledge	requiredByOccupation	2.92	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C2b	requiresKnowledge	requiredByOccupation	0.40	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C3a	requiresKnowledge	requiredByOccupation	5.19	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C3b	requiresKnowledge	requiredByOccupation	3.51	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C3c	requiresKnowledge	requiredByOccupation	1.75	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C3d	requiresKnowledge	requiredByOccupation	1.55	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C3e	requiresKnowledge	requiredByOccupation	1.92	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C4a	requiresKnowledge	requiredByOccupation	4.63	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C4b	requiresKnowledge	requiredByOccupation	1.28	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C4c	requiresKnowledge	requiredByOccupation	1.38	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C4d	requiresKnowledge	requiredByOccupation	1.26	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C4e	requiresKnowledge	requiredByOccupation	3.48	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C4f	requiresKnowledge	requiredByOccupation	2.53	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C4g	requiresKnowledge	requiredByOccupation	2.66	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C5a	requiresKnowledge	requiredByOccupation	0.65	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C5b	requiresKnowledge	requiredByOccupation	1.53	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C6	requiresKnowledge	requiredByOccupation	4.60	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C7a	requiresKnowledge	requiredByOccupation	3.91	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C7b	requiresKnowledge	requiredByOccupation	1.97	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C7c	requiresKnowledge	requiredByOccupation	0.74	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C7d	requiresKnowledge	requiredByOccupation	1.85	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C7e	requiresKnowledge	requiredByOccupation	2.74	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C8a	requiresKnowledge	requiredByOccupation	3.35	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C8b	requiresKnowledge	requiredByOccupation	3.58	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C9a	requiresKnowledge	requiredByOccupation	2.51	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C9b	requiresKnowledge	requiredByOccupation	3.25	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Knowledge/2C10	requiresKnowledge	requiredByOccupation	2.32	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C1a	requiresKnowledge	requiredByOccupation	5.00	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C1b	requiresKnowledge	requiredByOccupation	4.42	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C1c	requiresKnowledge	requiredByOccupation	3.85	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C1d	requiresKnowledge	requiredByOccupation	4.33	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C1e	requiresKnowledge	requiredByOccupation	4.44	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C1f	requiresKnowledge	requiredByOccupation	3.78	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C2a	requiresKnowledge	requiredByOccupation	2.41	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C2b	requiresKnowledge	requiredByOccupation	2.19	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C3a	requiresKnowledge	requiredByOccupation	3.59	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C3b	requiresKnowledge	requiredByOccupation	3.37	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C3c	requiresKnowledge	requiredByOccupation	3.19	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C3d	requiresKnowledge	requiredByOccupation	3.67	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C3e	requiresKnowledge	requiredByOccupation	2.41	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C4a	requiresKnowledge	requiredByOccupation	3.89	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C4b	requiresKnowledge	requiredByOccupation	2.30	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C4c	requiresKnowledge	requiredByOccupation	2.70	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C4d	requiresKnowledge	requiredByOccupation	3.56	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C4e	requiresKnowledge	requiredByOccupation	3.30	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C4f	requiresKnowledge	requiredByOccupation	4.00	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C4g	requiresKnowledge	requiredByOccupation	4.15	08/2021
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Knowledge/2C5a	requiresKnowledge	requiredByOccupation	0.70	08/2021
