ns	type	id	name	description	code
onet.org.ai	Knowledge	AdministrationAndManagement	Administration and Management	Administration and Management	2.C.1.a
onet.org.ai	Knowledge	Administrative	Administrative	Administrative	2.C.1.b
onet.org.ai	Knowledge	EconomicsAndAccounting	Economics and Accounting	Economics and Accounting	2.C.1.c
onet.org.ai	Knowledge	SalesAndMarketing	Sales and Marketing	Sales and Marketing	2.C.1.d
onet.org.ai	Knowledge	Customer_And_Personal_Service	Customer and Personal Service	Customer and Personal Service	2.C.1.e
onet.org.ai	Knowledge	Personnel_And_Human_Resources	Personnel and Human Resources	Personnel and Human Resources	2.C.1.f
onet.org.ai	Knowledge	ProductionAndProcessing	Production and Processing	Production and Processing	2.C.2.a
onet.org.ai	Knowledge	FoodProduction	Food Production	Food Production	2.C.2.b
onet.org.ai	Knowledge	ComputersAndElectronics	Computers and Electronics	Computers and Electronics	2.C.3.a
onet.org.ai	Knowledge	EngineeringAndTechnology	Engineering and Technology	Engineering and Technology	2.C.3.b
onet.org.ai	Knowledge	Design	Design	Design	2.C.3.c
onet.org.ai	Knowledge	BuildingAndConstruction	Building and Construction	Building and Construction	2.C.3.d
onet.org.ai	Knowledge	Mechanical	Mechanical	Mechanical	2.C.3.e
onet.org.ai	Knowledge	Mathematics	Mathematics	Mathematics	2.C.4.a
onet.org.ai	Knowledge	Physics	Physics	Physics	2.C.4.b
onet.org.ai	Knowledge	Chemistry	Chemistry	Chemistry	2.C.4.c
onet.org.ai	Knowledge	Biology	Biology	Biology	2.C.4.d
onet.org.ai	Knowledge	Psychology	Psychology	Psychology	2.C.4.e
onet.org.ai	Knowledge	SociologyAndAnthropology	Sociology and Anthropology	Sociology and Anthropology	2.C.4.f
onet.org.ai	Knowledge	Geography	Geography	Geography	2.C.4.g
onet.org.ai	Knowledge	MedicineAndDentistry	Medicine and Dentistry	Medicine and Dentistry	2.C.5.a
onet.org.ai	Knowledge	TherapyAndCounseling	Therapy and Counseling	Therapy and Counseling	2.C.5.b
onet.org.ai	Knowledge	EducationAndTraining	Education and Training	Education and Training	2.C.6
onet.org.ai	Knowledge	EnglishLanguage	English Language	English Language	2.C.7.a
onet.org.ai	Knowledge	ForeignLanguage	Foreign Language	Foreign Language	2.C.7.b
onet.org.ai	Knowledge	FineArts	Fine Arts	Fine Arts	2.C.7.c
onet.org.ai	Knowledge	HistoryAndArcheology	History and Archeology	History and Archeology	2.C.7.d
onet.org.ai	Knowledge	PhilosophyAndTheology	Philosophy and Theology	Philosophy and Theology	2.C.7.e
onet.org.ai	Knowledge	Public_Safety_And_Security	Public Safety and Security	Public Safety and Security	2.C.8.a
onet.org.ai	Knowledge	LawAndGovernment	Law and Government	Law and Government	2.C.8.b
onet.org.ai	Knowledge	Telecommunications	Telecommunications	Telecommunications	2.C.9.a
onet.org.ai	Knowledge	CommunicationsAndMedia	Communications and Media	Communications and Media	2.C.9.b
onet.org.ai	Knowledge	Transportation	Transportation	Transportation	2.C.10
