ns	type	id	name	description	code	commodityTitle
onet.org.ai	Tool	10KeyCalculators	10-key calculators	10-key calculators	44101809	
onet.org.ai	Tool	DesktopComputers	Desktop computers	Desktop computers	43211507	
onet.org.ai	Tool	LaptopComputers	Laptop computers	Laptop computers	43211503	
onet.org.ai	Tool	PersonalComputers	Personal computers	Personal computers	43211508	
onet.org.ai	Tool	Personal_Digital_Assistants_Pda	Personal digital assistants PDA	Personal digital assistants PDA	43211504	
onet.org.ai	Tool	Smartphones	Smartphones	Smartphones	43191501	
onet.org.ai	Tool	Universal_Serial_Bus_Usb_Flash_Drives	Universal serial bus USB flash drives	Universal serial bus USB flash drives	43201813	
onet.org.ai	Tool	Computer_Data_Input_Scanners	Computer data input scanners	Computer data input scanners	43211711	
onet.org.ai	Tool	HandheldComputers	Handheld computers	Handheld computers	43211715	
onet.org.ai	Tool	Multi_Line_Telephone_Systems	Multi-line telephone systems	Multi-line telephone systems	43191507	
onet.org.ai	Tool	PhotocopyingEquipment	Photocopying equipment	Photocopying equipment	44101501	
onet.org.ai	Tool	VideoTeleconferencingSystems	Video teleconferencing systems	Video teleconferencing systems	45111902	
onet.org.ai	Tool	CellPhones	Cell phones	Cell phones	43191501	
onet.org.ai	Tool	ComputerScanners	Computer scanners	Computer scanners	43211711	
onet.org.ai	Tool	Credit_Card_Processing_Machines	Credit card processing machines	Credit card processing machines	43211702	
onet.org.ai	Tool	DigitalCameras	Digital cameras	Digital cameras	45121504	
onet.org.ai	Tool	Handtrucks	Handtrucks	Handtrucks	24101504	
onet.org.ai	Tool	HumidityTestChambers	Humidity test chambers	Humidity test chambers	41103418	
onet.org.ai	Tool	MagneticCardReaders	Magnetic card readers	Magnetic card readers	43211702	
onet.org.ai	Tool	Point_Of_Sale_Pos_Systems	Point of sale POS systems	Point of sale POS systems	43211505	
onet.org.ai	Tool	Profilometers	Profilometers	Profilometers	41114508	
onet.org.ai	Tool	Spectrometers	Spectrometers	Spectrometers	41115403	
onet.org.ai	Tool	SurveillanceCameras	Surveillance cameras	Surveillance cameras	46171610	
onet.org.ai	Tool	VacuumTestChambers	Vacuum test chambers	Vacuum test chambers	41103305	
