toolId	toolType	productId	commodityCode
10-key_calculators	Tool	DesktopCalculator	44101809
Desktop_computers	Tool	DesktopComputer	43211507
Laptop_computers	Tool	NotebookComputer	43211503
Personal_computers	Tool	PersonalComputer	43211508
Personal_digital_assistants_PDA	Tool	Organizer	43211504
Smartphones	Tool	MobilePhones	43191501
Universal_serial_bus_USB_flash_drives	Tool	HighCapacityRemovableMediaDrives	43201813
Computer_data_input_scanners	Tool	Scanners	43211711
Handheld_computers	Tool	PortableDataInputTerminals	43211715
Multi-line_telephone_systems	Tool	SpecialPurposeTelephones	43191507
Photocopying_equipment	Tool	Photocopiers	44101501
Video_teleconferencing_systems	Tool	VideoconferencingSystems	45111902
Cell_phones	Tool	MobilePhones	43191501
Computer_scanners	Tool	Scanners	43211711
Credit_card_processing_machines	Tool	Encoders	43211702
Digital_cameras	Tool	DigitalCameras	45121504
Handtrucks	Tool	Accessories	24101504
Humidity_test_chambers	Tool	HumidityWalkInEnvironmentalChamber	41103418
Magnetic_card_readers	Tool	Encoders	43211702
Point_of_sale_POS_systems	Tool	PointOfSalePosTerminal	43211505
Profilometers	Tool	SurfaceTesters	41114508
Spectrometers	Tool	Spectrometers	41115403
Surveillance_cameras	Tool	SecurityCameras	46171610
Vacuum_test_chambers	Tool	HighVacuumEquipment	41103305
Computer_laser_printers	Tool	LaserPrinters	43212105
Tablet_computers	Tool	TabletComputer	43211509
Wireless_desktop_printers	Tool	LaserPrinters	43212105
Laser_facsimile_machines	Tool	LaserFaxMachine	44101508
Notebook_computers	Tool	NotebookComputer	43211503
Scanners	Tool	Scanners	43211711
Photocopiers	Tool	Photocopiers	44101501
Mobile_phones	Tool	MobilePhones	43191501
Approach_detection_systems	Tool	MotionDetectors	46171608
Explosives_detectors	Tool	ChemicalAgentDetector	46171635
Fire_alarm_systems	Tool	AlarmSystems	46171604
Keyless_entry_systems	Tool	AccessControlSystems	46171619
Multiline_telephone_systems	Tool	SpecialPurposeTelephones	43191507
Physical_access_control_systems	Tool	AccessControlSystems	46171619
Security_alarm_systems	Tool	AlarmSystems	46171604
Teleconferencing_equipment	Tool	TeleconferenceEquipment	43221522
Video_surveillance_systems	Tool	VideoMonitors	46171612
Videoconferencing_equipment	Tool	VideoconferencingSystems	45111902
Access_servers	Tool	AccessServers	43222625
Computer_servers	Tool	ComputerServer	43211501
Computer_tool_kits	Tool	ComputerToolKits	27113203
File_servers	Tool	ComputerServer	43211501
Industry_standard_architecture_peripheral_component_interconnect_ISA_PCI_cards	Tool	PeripheralControllerCards	43201407
Inkjet_printers	Tool	InkjetPrinters	43212104
Internet_Information_Services_IIS_Servers	Tool	ComputerServer	43211501
Laser_printers	Tool	LaserPrinters	43212105
Mainframe_computers	Tool	MainframeComputer	43211512
Mid-range_computers	Tool	ComputerServer	43211501
Minicomputers	Tool	ComputerServer	43211501
Netware_servers	Tool	ComputerServer	43211501
Network_analyzers	Tool	NetworkAnalyzers	41113711
Network_interface_cards_NIC	Tool	NetworkInterfaceCards	43201404
Network_routers	Tool	NetworkRouters	43222609
Network_switches	Tool	NetworkSwitches	43222612
Print_servers	Tool	PrintServers	43201537
Punchdown_tools	Tool	Drifts	27111505
Robot_automation_tool	Tool	IntegratedServicesDigitalNetworkIsdnAccessDevices	43222627
Screwdrivers	Tool	Screwdrivers	27111701
Storage_servers	Tool	ComputerServer	43211501
Web_servers	Tool	ComputerServer	43211501
Workstations	Tool	HighEndComputerServer	43211502
Air_samplers	Tool	Collectors	41104008
All_terrain_vehicles_ATV	Tool	Wheeled	25101905
Combustible_gas_monitors	Tool	HazardousGasDetectorsForPowerGenerators	26131701
Diesel_reciprocating_engine_generator_sets	Tool	DieselGenerators	26111601
Enclosed_flares	Tool	VentStacks	26131608
Forklifts	Tool	Forklifts	24101603
Gas_leak_detectors	Tool	GasDetectors	46171613
Gas_reciprocating_engine_generator_sets	Tool	GasGenerators	26111604
Micro_anemometers	Tool	Anemometers	41114401
Multiple_gas_monitors	Tool	MultiGasMonitors	41113118
