ns	from	to	predicate	reverse	commodityTitle
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Tool/11-101100_Desktopcalculator	usesTool	usedByOccupation	44101809
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Tool/11-101100_Desktopcomputers	usesTool	usedByOccupation	43211507
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Tool/11-101100_Notebookcomputers	usesTool	usedByOccupation	43211503
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Tool/11-101100_Personalcomputers	usesTool	usedByOccupation	43211508
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Tool/11-101100_PersonaldigitalassistantPDAsororganizers	usesTool	usedByOccupation	43211504
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Tool/11-101100_Mobilephones	usesTool	usedByOccupation	43191501
onet.org.ai	https://onet.org.ai/Occupation/11-101100	https://onet.org.ai/Tool/11-101100_Highcapacityremovablemediadrives	usesTool	usedByOccupation	43201813
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Tool/11-101103_Desktopcalculator	usesTool	usedByOccupation	44101809
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Tool/11-101103_Scanners	usesTool	usedByOccupation	43211711
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Tool/11-101103_Desktopcomputers	usesTool	usedByOccupation	43211507
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Tool/11-101103_Portabledatainputterminals	usesTool	usedByOccupation	43211715
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Tool/11-101103_Notebookcomputers	usesTool	usedByOccupation	43211503
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Tool/11-101103_Specialpurposetelephones	usesTool	usedByOccupation	43191507
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Tool/11-101103_Personalcomputers	usesTool	usedByOccupation	43211508
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Tool/11-101103_Photocopiers	usesTool	usedByOccupation	44101501
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Tool/11-101103_Mobilephones	usesTool	usedByOccupation	43191501
onet.org.ai	https://onet.org.ai/Occupation/11-101103	https://onet.org.ai/Tool/11-101103_Videoconferencingsystems	usesTool	usedByOccupation	45111902
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_Desktopcalculator	usesTool	usedByOccupation	44101809
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_Mobilephones	usesTool	usedByOccupation	43191501
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_Scanners	usesTool	usedByOccupation	43211711
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_Magneticstripereadersandencoders	usesTool	usedByOccupation	43211702
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_Desktopcomputers	usesTool	usedByOccupation	43211507
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_Digitalcameras	usesTool	usedByOccupation	45121504
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_Handtrucksoraccessories	usesTool	usedByOccupation	24101504
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_Temperatureandhumiditywalkinenvironmentalchamber	usesTool	usedByOccupation	41103418
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_Notebookcomputers	usesTool	usedByOccupation	43211503
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_Personalcomputers	usesTool	usedByOccupation	43211508
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_PersonaldigitalassistantPDAsororganizers	usesTool	usedByOccupation	43211504
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_Photocopiers	usesTool	usedByOccupation	44101501
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_PointofsalePOSterminal	usesTool	usedByOccupation	43211505
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_Surfacetesters	usesTool	usedByOccupation	41114508
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_Spectrometers	usesTool	usedByOccupation	41115403
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_Securitycameras	usesTool	usedByOccupation	46171610
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Tool/11-102100_Highvacuumequipment	usesTool	usedByOccupation	41103305
onet.org.ai	https://onet.org.ai/Occupation/11-103100	https://onet.org.ai/Tool/11-103100_Laserprinters	usesTool	usedByOccupation	43212105
onet.org.ai	https://onet.org.ai/Occupation/11-103100	https://onet.org.ai/Tool/11-103100_Notebookcomputers	usesTool	usedByOccupation	43211503
onet.org.ai	https://onet.org.ai/Occupation/11-103100	https://onet.org.ai/Tool/11-103100_Tabletcomputers	usesTool	usedByOccupation	43211509
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Tool/11-201100_Scanners	usesTool	usedByOccupation	43211711
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Tool/11-201100_Desktopcomputers	usesTool	usedByOccupation	43211507
