ns	type	id	name	description	code
onet.org.ai	WorkContext	PublicSpeaking	Public Speaking	Public Speaking	4.C.1.a.2.c
onet.org.ai	WorkContext	TelephoneConversations	Telephone Conversations	Telephone Conversations	4.C.1.a.2.f
onet.org.ai	WorkContext	EMail	E-Mail	E-Mail	4.C.1.a.2.h
onet.org.ai	WorkContext	Written_Letters_And_Memos	Written Letters and Memos	Written Letters and Memos	4.C.1.a.2.j
onet.org.ai	WorkContext	Face_To_Face_Discussions_With_Individuals_And_Within_Teams	Face-to-Face Discussions with Individuals and Within Teams	Face-to-Face Discussions with Individuals and Within Teams	4.C.1.a.2.l
onet.org.ai	WorkContext	ContactWithOthers	Contact With Others	Contact With Others	4.C.1.a.4
onet.org.ai	WorkContext	Work_With_Or_Contribute_To_A_Work_Group_Or_Team	Work With or Contribute to a Work Group or Team	Work With or Contribute to a Work Group or Team	4.C.1.b.1.e
onet.org.ai	WorkContext	Deal_With_External_Customers_Or_The_Public_In_General	Deal With External Customers or the Public in General	Deal With External Customers or the Public in General	4.C.1.b.1.f
onet.org.ai	WorkContext	Coordinate_Or_Lead_Others_In_Accomplishing_Work_Activities	Coordinate or Lead Others in Accomplishing Work Activities	Coordinate or Lead Others in Accomplishing Work Activities	4.C.1.b.1.g
onet.org.ai	WorkContext	Health_And_Safety_Of_Other_Workers	Health and Safety of Other Workers	Health and Safety of Other Workers	4.C.1.c.1
onet.org.ai	WorkContext	Work_Outcomes_And_Results_Of_Other_Workers	Work Outcomes and Results of Other Workers	Work Outcomes and Results of Other Workers	4.C.1.c.2
onet.org.ai	WorkContext	ConflictSituations	Conflict Situations	Conflict Situations	4.C.1.d.1
onet.org.ai	WorkContext	Dealing_With_Unpleasant_Angry_Or_Discourteous_People	Dealing With Unpleasant, Angry, or Discourteous People	Dealing With Unpleasant, Angry, or Discourteous People	4.C.1.d.2
onet.org.ai	WorkContext	Dealing_With_Violent_Or_Physically_Aggressive_People	Dealing with Violent or Physically Aggressive People	Dealing with Violent or Physically Aggressive People	4.C.1.d.3
onet.org.ai	WorkContext	IndoorsEnvironmentallyControlled	Indoors, Environmentally Controlled	Indoors, Environmentally Controlled	4.C.2.a.1.a
