url	ns	type	id	name	description	code	sourceUrl	graphdl	predicate	object	preposition	complement	confidence
https://occupations.org.ai/Chief_Executives	occupations.org.ai	Occupation	Chief_Executives	Chief Executives		11-1011.00	https://www.onetonline.org/link/summary/11-1011.00						1
https://occupations.org.ai/Chief_Sustainability_Officers	occupations.org.ai	Occupation	Chief_Sustainability_Officers	Chief Sustainability Officers		11-1011.03	https://www.onetonline.org/link/summary/11-1011.03						1
https://occupations.org.ai/General_and_Operations_Managers	occupations.org.ai	Occupation	General_and_Operations_Managers	General and Operations Managers		11-1021.00	https://www.onetonline.org/link/summary/11-1021.00						1
https://occupations.org.ai/Legislators	occupations.org.ai	Occupation	Legislators	Legislators		11-1031.00	https://www.onetonline.org/link/summary/11-1031.00						1
https://occupations.org.ai/Advertising_and_Promotions_Managers	occupations.org.ai	Occupation	Advertising_and_Promotions_Managers	Advertising and Promotions Managers		11-2011.00	https://www.onetonline.org/link/summary/11-2011.00						1
https://occupations.org.ai/Marketing_Managers	occupations.org.ai	Occupation	Marketing_Managers	Marketing Managers		11-2021.00	https://www.onetonline.org/link/summary/11-2021.00	Marketing.Managers	Marketing	Managers			1
https://occupations.org.ai/Sales_Managers	occupations.org.ai	Occupation	Sales_Managers	Sales Managers		11-2022.00	https://www.onetonline.org/link/summary/11-2022.00						1
https://occupations.org.ai/Public_Relations_Managers	occupations.org.ai	Occupation	Public_Relations_Managers	Public Relations Managers		11-2032.00	https://www.onetonline.org/link/summary/11-2032.00						1
https://occupations.org.ai/Fundraising_Managers	occupations.org.ai	Occupation	Fundraising_Managers	Fundraising Managers		11-2033.00	https://www.onetonline.org/link/summary/11-2033.00						1
https://occupations.org.ai/Administrative_Services_Managers	occupations.org.ai	Occupation	Administrative_Services_Managers	Administrative Services Managers		11-3012.00	https://www.onetonline.org/link/summary/11-3012.00	Services.Managers	Services	Managers			1
https://occupations.org.ai/Facilities_Managers	occupations.org.ai	Occupation	Facilities_Managers	Facilities Managers		11-3013.00	https://www.onetonline.org/link/summary/11-3013.00						1
https://occupations.org.ai/Security_Managers	occupations.org.ai	Occupation	Security_Managers	Security Managers		11-3013.01	https://www.onetonline.org/link/summary/11-3013.01						1
https://occupations.org.ai/Computer_and_Information_Systems_Managers	occupations.org.ai	Occupation	Computer_and_Information_Systems_Managers	Computer and Information Systems Managers		11-3021.00	https://www.onetonline.org/link/summary/11-3021.00						1
https://occupations.org.ai/Financial_Managers	occupations.org.ai	Occupation	Financial_Managers	Financial Managers		11-3031.00	https://www.onetonline.org/link/summary/11-3031.00						1
https://occupations.org.ai/Treasurers_and_Controllers	occupations.org.ai	Occupation	Treasurers_and_Controllers	Treasurers and Controllers		11-3031.01	https://www.onetonline.org/link/summary/11-3031.01						1
https://occupations.org.ai/Investment_Fund_Managers	occupations.org.ai	Occupation	Investment_Fund_Managers	Investment Fund Managers		11-3031.03	https://www.onetonline.org/link/summary/11-3031.03	Fund.Managers	Fund	Managers			1
