id	name	description	type	category
AnnualSubscription	Annual Subscription	Annual recurring payment for access	Subscription	Recurring
BundleDiscount	Bundle Discount	Discount when purchasing multiple items together	Discount	Promotion
BuyOneGetOne	Buy One Get One	Purchase one item and receive another free or discounted	Discount	Promotion
CustomPricing	Custom Pricing	Individually negotiated pricing	Negotiated	Enterprise
EarlyBirdDiscount	Early Bird Discount	Discount for early purchasers	Time-Limited	Promotion
EnterpriseLicense	Enterprise License	Site or organization-wide licensing	License	Enterprise
ExtendedWarranty	Extended Warranty	Additional warranty coverage	Service	Assurance
FixedAmountDiscount	Fixed Amount Discount	A fixed dollar amount off	Discount	Promotion
FlashSale	Flash Sale	Short-duration deep discount	Time-Limited	Promotion
Freemium	Freemium	Free basic version with paid premium features	Trial	Acquisition
FreeShipping	Free Shipping	No charge for delivery	Incentive	Promotion
FreeTrial	Free Trial	Limited time free access to a product or service	Trial	Acquisition
GiftPurchase	Gift With Purchase	Free item included with purchase	Incentive	Promotion
LimitedTimeOffer	Limited Time Offer	Offer available for a limited time	Time-Limited	Promotion
LoyaltyPoints	Loyalty Points	Points earned for purchases or actions	Loyalty	Retention
MoneyBackGuarantee	Money Back Guarantee	Refund if not satisfied within a period	Guarantee	Assurance
MonthlySubscription	Monthly Subscription	Monthly recurring payment for access	Subscription	Recurring
PercentageDiscount	Percentage Discount	A percentage off the regular price	Discount	Promotion
ReferralBonus	Referral Bonus	Reward for referring new customers	Referral	Acquisition
SeasonalSale	Seasonal Sale	Discount during specific seasons	Time-Limited	Promotion
SubscriptionDiscount	Subscription Discount	Discounted subscription for a period	Subscription	Promotion
VipAccess	VIP Access	Exclusive access for loyal customers	Loyalty	Retention
VolumeDiscount	Volume Discount	Discount based on quantity purchased	Discount	Promotion
VolumeLicense	Volume License	License for multiple seats at reduced cost	License	Enterprise
