id	name	description	type
Corporation	Corporation	A legal entity that is separate from its owners	Business
LLC	Limited Liability Company	A business structure that combines partnership and corporate features	Business
Partnership	Partnership	A business owned by two or more people	Business
SoleProprietorship	Sole Proprietorship	A business owned by one person	Business
Nonprofit	Nonprofit Organization	An organization that operates for purposes other than profit	Nonprofit
Government	Government Agency	A permanent or semi-permanent organization in government	Government
NGO	Non-Governmental Organization	A non-profit organization independent of government	Nonprofit
Cooperative	Cooperative	An organization owned and operated by its members	Business
Foundation	Foundation	An organization established to provide funding	Nonprofit
Trust	Trust	A legal entity that holds property for beneficiaries	Business
PublicCompany	Public Company	A corporation whose shares are traded publicly	Business
PrivateCompany	Private Company	A corporation whose shares are not publicly traded	Business
Startup	Startup	A newly established company in early growth stages	Business
Enterprise	Enterprise	A large-scale organization or business	Business
SmallBusiness	Small Business	A privately owned corporation, partnership, or sole proprietorship	Business
