url	ns	type	id	code	name	description	subject	predicate	object	sourceUrl	sourceNs
https://processes.org.ai/Companies.develop.Vision	processes.org.ai	Statement	Companies.develop.Vision		Develop Vision and Strategy	Develop Vision and Strategy	Companies	develop	Vision	https://apqc.org.ai/Companies.develop.Vision	apqc.org.ai
https://processes.org.ai/Companies.develop.Strategy	processes.org.ai	Statement	Companies.develop.Strategy		Develop Vision and Strategy	Develop Vision and Strategy	Companies	develop	Strategy	https://apqc.org.ai/Companies.develop.Strategy	apqc.org.ai
https://processes.org.ai/Companies.define.BusinessConceptVision	processes.org.ai	Statement	Companies.define.BusinessConceptVision		Define the business concept and long-term vision	Define the business concept and long-term vision	Companies	define	BusinessConceptVision	https://apqc.org.ai/Companies.define.BusinessConceptVision	apqc.org.ai
https://processes.org.ai/Companies.define.LongTermVision	processes.org.ai	Statement	Companies.define.LongTermVision		Define the business concept and long-term vision	Define the business concept and long-term vision	Companies	define	LongTermVision	https://apqc.org.ai/Companies.define.LongTermVision	apqc.org.ai
https://processes.org.ai/Companies.assess.ExternalEnvironment	processes.org.ai	Statement	Companies.assess.ExternalEnvironment		Assess the external environment	Assess the external environment	Companies	assess	ExternalEnvironment	https://apqc.org.ai/Companies.assess.ExternalEnvironment	apqc.org.ai
https://processes.org.ai/Companies.identify.Competitors	processes.org.ai	Statement	Companies.identify.Competitors		Identify competitors	Identify competitors	Companies	identify	Competitors	https://apqc.org.ai/Companies.identify.Competitors	apqc.org.ai
https://processes.org.ai/Companies.analyze.Competition	processes.org.ai	Statement	Companies.analyze.Competition		Analyze and evaluate competition	Analyze and evaluate competition	Companies	analyze	Competition	https://apqc.org.ai/Companies.analyze.Competition	apqc.org.ai
https://processes.org.ai/Companies.evaluate.Competition	processes.org.ai	Statement	Companies.evaluate.Competition		Analyze and evaluate competition	Analyze and evaluate competition	Companies	evaluate	Competition	https://apqc.org.ai/Companies.evaluate.Competition	apqc.org.ai
https://processes.org.ai/Companies.identify.PotentialProductAlternatives	processes.org.ai	Statement	Companies.identify.PotentialProductAlternatives		Identify potential product or service alternatives	Identify potential product or service alternatives	Companies	identify	PotentialProductAlternatives	https://apqc.org.ai/Companies.identify.PotentialProductAlternatives	apqc.org.ai
https://processes.org.ai/Companies.identify.ServiceAlternatives	processes.org.ai	Statement	Companies.identify.ServiceAlternatives		Identify potential product or service alternatives	Identify potential product or service alternatives	Companies	identify	ServiceAlternatives	https://apqc.org.ai/Companies.identify.ServiceAlternatives	apqc.org.ai
https://processes.org.ai/Companies.identify.EconomicTrends	processes.org.ai	Statement	Companies.identify.EconomicTrends		Identify economic trends	Identify economic trends	Companies	identify	EconomicTrends	https://apqc.org.ai/Companies.identify.EconomicTrends	apqc.org.ai
