id	name	description	method	processor
AchTransfer	ACH Transfer	Automated Clearing House transfer	Bank Transfer	ACH
Adyen	Adyen	Payment processing via Adyen	Payment Gateway	Adyen
Affirm	Affirm	Buy now, pay later with Affirm	BNPL	Affirm
Afterpay	Afterpay	Buy now, pay later with Afterpay	BNPL	Afterpay
Alipay	Alipay	Payment using Alipay	Digital Wallet	Alibaba
ApplePay	Apple Pay	Payment using Apple Pay	Digital Wallet	Apple
Authorize.net	Authorize.Net	Payment processing via Authorize.Net	Payment Gateway	Visa
Bitcoin	Bitcoin	Payment using Bitcoin	Cryptocurrency	Blockchain
Braintree	Braintree	Payment processing via Braintree	Payment Gateway	PayPal
Cash	Cash	Payment in cash	Traditional	Physical
Check	Check	Payment by check	Traditional	Bank
CreditCard	Credit Card	Payment using a credit card	Card	General
CryptoPayment	Crypto Payment	Payment using cryptocurrency	Cryptocurrency	Blockchain
DebitCard	Debit Card	Payment using a debit card	Card	General
DirectDebit	Direct Debit	Direct withdrawal from bank account	Bank Transfer	Bank
Ethereum	Ethereum	Payment using Ethereum	Cryptocurrency	Blockchain
GooglePay	Google Pay	Payment using Google Pay	Digital Wallet	Google
InvoicePayment	Invoice Payment	Payment via invoice	Invoice	Vendor
Klarna	Klarna	Buy now, pay later with Klarna	BNPL	Klarna
MoneyOrder	Money Order	Payment by money order	Traditional	Financial Institution
Net30	Net 30	Payment due in 30 days	Invoice	Vendor
Net60	Net 60	Payment due in 60 days	Invoice	Vendor
Paypal	PayPal	Payment using PayPal	Digital Wallet	PayPal
PrepaidCard	Prepaid Card	Payment using a prepaid card	Card	General
PurchaseOrder	Purchase Order	Payment via purchase order	Invoice	Vendor
SamsungPay	Samsung Pay	Payment using Samsung Pay	Digital Wallet	Samsung
SepaTransfer	SEPA Transfer	Single Euro Payments Area transfer	Bank Transfer	SEPA
Sezzle	Sezzle	Buy now, pay later with Sezzle	BNPL	Sezzle
Square	Square	Payment processing via Square	Payment Gateway	Square
Stripe	Stripe	Online payment processing via Stripe	Payment Gateway	Stripe
Usdc	USDC	Payment using USDC stablecoin	Cryptocurrency	Blockchain
Venmo	Venmo	Payment using Venmo	Digital Wallet	PayPal
WechatPay	WeChat Pay	Payment using WeChat Pay	Digital Wallet	Tencent
WireTransfer	Wire Transfer	Direct bank wire transfer	Bank Transfer	Wire
