id	name	description	type
Employee	Employee	A person employed by an organization	Worker
Manager	Manager	A person responsible for managing employees or resources	Leadership
Executive	Executive	A senior-level person in an organization	Leadership
Contractor	Contractor	An independent professional hired for specific work	Worker
Freelancer	Freelancer	A self-employed professional working on multiple projects	Worker
Consultant	Consultant	An expert providing professional advice	Professional
Customer	Customer	A person who purchases goods or services	Stakeholder
Supplier	Supplier	A person or organization that provides goods or services	Stakeholder
Partner	Partner	A person or organization in a business partnership	Stakeholder
Investor	Investor	A person who provides capital for business ventures	Stakeholder
Founder	Founder	A person who establishes an organization	Leadership
Director	Director	A person who manages a department or division	Leadership
Specialist	Specialist	A person with deep expertise in a specific area	Professional
Analyst	Analyst	A person who analyzes data and information	Professional
Administrator	Administrator	A person who manages administrative functions	Worker
