productId	standardCode	standard
1-phenyl-2-propanone	12361501	UNSPSC
11-deoxycortisol_or_cortexolone_or_cortodoxone	51422401	UNSPSC
16_bit_microcontroller	32101640	UNSPSC
16-epiestriol	51351601	UNSPSC
17-hydroxycorticosteroids_(17-ketogenic_steroids)_test_system	41141901	UNSPSC
17-hydroxyprogesterone_test_system	41141902	UNSPSC
17-ketosteroids_test_system	41141903	UNSPSC
2_Heating_fuel_oil	15101701	UNSPSC
2.3-diphosphoglyceric_acid_test_system	41141904	UNSPSC
2.5G_GPRS_mobile_core_network_equipment_and_components	43223103	UNSPSC
2.5G_GPRS_wireless_access_network_equipment_and_components	43223104	UNSPSC
2d__3d_4d_seismic_data_interpretation	71112322	UNSPSC
2d_3d_4d_land_seismic_acquisition_services	71112301	UNSPSC
2d_3d_4d_marine_seismic_acquisition_services	71112302	UNSPSC
2d_3d_4d_seismic_data_processing_services	71112303	UNSPSC
2G_GSM_mobile_core_network_equipment_and_components	43223101	UNSPSC
2G_GSM_wireless_access_network_equipment_and_components	43223102	UNSPSC
3-methylmorphine_or_codeine	51372102	UNSPSC
3.4-methylenedioxyphenyl-2-propanone	12361502	UNSPSC
32_bit_high_end_microcontroller	32101645	UNSPSC
32_bit_midrange_microcontroller	32101642	UNSPSC
3G_UMTS_mobile_core_network_equipment_and_components	43223105	UNSPSC
3G_UMTS_wireless_access_network_equipment_and_components	43223106	UNSPSC
4_or_6_Residual_heavy_fuel_oils	15101702	UNSPSC
4-aminobenzoic_acid_or_Aminobenzoic_acid_or_PABA_or_para-aminobenzoic_acid	51241258	UNSPSC
5_hiaa_tests	41181901	UNSPSC
5-hydroxyindole_acetic_acidserotonin_test_system	41141905	UNSPSC
5-nucleotidase	41141601	UNSPSC
5-nucleotidase_test_system	41141906	UNSPSC
6-phosphogluconate_dehydrogenase_test_system	41141907	UNSPSC
8_bit_microcontroller	32101639	UNSPSC
8-hydroxyquinoline	51473603	UNSPSC
A_la_carte_foods_vending_machines	48111104	UNSPSC
Abaca_fibers	11121807	UNSPSC
Abacavir	51342501	UNSPSC
Abacavir_succinate	51342505	UNSPSC
Abacavir_sulfate	51342506	UNSPSC
Abacavirdolutegravirlamivudine	51343811	UNSPSC
Abacavirlamivudine	51343801	UNSPSC
Abacavirlamivudinezidovudine	51343802	UNSPSC
Abacus_or_counting_frames	60102401	UNSPSC
Abamectin	10191510	UNSPSC
Abandoned_Explosive_Ordnance_AXO	46111504	UNSPSC
