url	ns	type	id	code	name	description	label	comment	subClassOf	supersededBy	domainIncludes	rangeIncludes
https://schema.org.ai/Property/Schemaoption	schema.org.ai	Property	Schema:option	schema:option	schema:option		option	A sub property of object. The options subject to this action.		schema:actionOption	schema:ChooseAction	schema:Text,schema:Thing
https://schema.org.ai/Property/Schemaminimumpaymentdue	schema.org.ai	Property	Schema:minimumpaymentdue	schema:minimumPaymentDue	schema:minimumPaymentDue		minimumPaymentDue	The minimum payment required at this time.			schema:Invoice	schema:PriceSpecification,schema:MonetaryAmount
https://schema.org.ai/Property/Schemaincludeddatacatalog	schema.org.ai	Property	Schema:includeddatacatalog	schema:includedDataCatalog	schema:includedDataCatalog		includedDataCatalog	A data catalog which contains this dataset (this property was previously 'catalog', preferred name is now 'includedInDataCatalog').		schema:includedInDataCatalog	schema:Dataset	schema:DataCatalog
https://schema.org.ai/Property/Schemadiscount	schema.org.ai	Property	Schema:discount	schema:discount	schema:discount		discount	Any discount applied (to an Order).			schema:Order	schema:Text,schema:Number
https://schema.org.ai/Property/Schemaprintpage	schema.org.ai	Property	Schema:printpage	schema:printPage	schema:printPage		printPage	If this NewsArticle appears in print, this field indicates the name of the page on which the article is found. Please note that this field is intended for the exact page name (e.g. A5, B18).			schema:NewsArticle	schema:Text
https://schema.org.ai/Property/Schemamuscleaction	schema.org.ai	Property	Schema:muscleaction	schema:muscleAction	schema:muscleAction		muscleAction	The movement the muscle generates.			schema:Muscle	schema:Text
https://schema.org.ai/Property/Schemaillustrator	schema.org.ai	Property	Schema:illustrator	schema:illustrator	schema:illustrator		illustrator	The illustrator of the book.			schema:Book	schema:Person
https://schema.org.ai/Property/Schemacontenttype	schema.org.ai	Property	Schema:contenttype	schema:contentType	schema:contentType		contentType	The supported content type(s) for an EntryPoint response.			schema:EntryPoint	schema:Text
https://schema.org.ai/Property/Schemaservescuisine	schema.org.ai	Property	Schema:servescuisine	schema:servesCuisine	schema:servesCuisine		servesCuisine	The cuisine of the restaurant.			schema:FoodEstablishment	schema:Text
https://schema.org.ai/Property/Schemadistance	schema.org.ai	Property	Schema:distance	schema:distance	schema:distance		distance	The distance travelled, e.g. exercising or travelling.			schema:ExerciseAction,schema:TravelAction	schema:Distance
https://schema.org.ai/Property/Schemacontainedinplace	schema.org.ai	Property	Schema:containedinplace	schema:containedInPlace	schema:containedInPlace		containedInPlace	The basic containment relation between a place and one that contains it.			schema:Place	schema:Place
https://schema.org.ai/Property/Schemabroker	schema.org.ai	Property	Schema:broker	schema:broker	schema:broker		broker	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.			schema:Order,schema:Reservation,schema:Service,schema:Invoice	schema:Person,schema:Organization
https://schema.org.ai/Property/Schemapermittedusage	schema.org.ai	Property	Schema:permittedusage	schema:permittedUsage	schema:permittedUsage		permittedUsage	Indications regarding the permitted usage of the accommodation.			schema:Accommodation	schema:Text
