roleId	occupationId
AccountCollectors	Bill_and_Account_Collectors
Actors	Actors
Actuaries	Actuaries
Acupuncturists	Acupuncturists
AcuteCareNurses	Acute_Care_Nurses
AdaptedPhysicalEducationSpecialists	Adapted_Physical_Education_Specialists
Adjusters	Timing_Device_Assemblers_and_Adjusters
AdministrativeAssistants	Legal_Secretaries_and_Administrative_Assistants
AdministrativeAssistants	Medical_Secretaries_and_Administrative_Assistants
AdministrativeServicesManagers	Administrative_Services_Managers
AdministrativeSupportWorkers	First-Line_Supervisors_of_Office_and_Administrative_Support_Workers
AdministrativeSupportWorkersAllOther	Office_and_Administrative_Support_Workers,_All_Other
AdvancedPracticePsychiatricNurses	Advanced_Practice_Psychiatric_Nurses
AdvertisingSalesAgents	Advertising_Sales_Agents
Advisors	Educational,_Guidance,_and_Career_Counselors_and_Advisors
AerospaceEngineers	Aerospace_Engineers
AgriculturalEngineers	Agricultural_Engineers
AgriculturalEquipmentOperators	Agricultural_Equipment_Operators
AgriculturalInspectors	Agricultural_Inspectors
AgriculturalSciencesTeachersPostsecondary	Agricultural_Sciences_Teachers,_Postsecondary
AgriculturalTechnicians	Agricultural_Technicians
AgriculturalWorkersAllOther	Agricultural_Workers,_All_Other
AircraftCargoHandlingSupervisors	Aircraft_Cargo_Handling_Supervisors
AircraftServiceAttendants	Aircraft_Service_Attendants
AirCrewMembers	Air_Crew_Members
AirCrewOfficers	Air_Crew_Officers
AirfieldOperationsSpecialists	Airfield_Operations_Specialists
AirTrafficControllers	Air_Traffic_Controllers
Ambulance	Dispatchers,_Except_Police,_Fire,_and_Ambulance
Analysts	Fraud_Examiners,_Investigators_and_Analysts
AnesthesiologistAssistants	Anesthesiologist_Assistants
Anesthesiologists	Anesthesiologists
AnimalBreeders	Animal_Breeders
AnimalCaretakers	Animal_Caretakers
AnimalControlWorkers	Animal_Control_Workers
AnimalScientists	Animal_Scientists
AnimalTrainers	Animal_Trainers
Animators	Special_Effects_Artists_and_Animators
AnsweringService	Switchboard_Operators,_Including_Answering_Service
ApparelPatternmakers	Fabric_and_Apparel_Patternmakers
ApplicatorsVegetation	Pesticide_Handlers,_Sprayers,_and_Applicators,_Vegetation
AquaculturalAnimals	Farmworkers,_Farm,_Ranch,_and_Aquacultural_Animals
Archeologists	Anthropologists_and_Archeologists
ArcheologyTeachersPostsecondary	Anthropology_and_Archeology_Teachers,_Postsecondary
ArchitectureTeachersPostsecondary	Architecture_Teachers,_Postsecondary
Archivists	Archivists
ArmoredAssaultVehicleCrewMembers	Armored_Assault_Vehicle_Crew_Members
ArmoredAssaultVehicleOfficers	Armored_Assault_Vehicle_Officers
ArtDirectors	Art_Directors
ArtTherapists	Art_Therapists
Assessors	Solar_Sales_Representatives_and_Assessors
AssessorsOfRealEstate	Appraisers_and_Assessors_of_Real_Estate
Astronomers	Astronomers
Athletes	Agents_and_Business_Managers_of_Artists,_Performers,_and_Athletes
AthleticTrainers	Athletic_Trainers
Audiologists	Audiologists
AuditingClerks	Bookkeeping,_Accounting,_and_Auditing_Clerks
Auditors	Accountants_and_Auditors
Authors	Writers_and_Authors
AutomotiveEngineeringTechnicians	Automotive_Engineering_Technicians
AutomotiveEngineers	Automotive_Engineers
Aviation	Transportation_Vehicle,_Equipment_and_Systems_Inspectors,_Except_Aviation
AviationInspectors	Aviation_Inspectors
AvionicsTechnicians	Avionics_Technicians
Bailiffs	Bailiffs
Bakers	Bakers
Barbers	Barbers
Baristas	Baristas
BartenderHelpers	Dining_Room_and_Cafeteria_Attendants_and_Bartender_Helpers
Bartenders	Bartenders
BehavioralDisorderCounselors	Substance_Abuse_and_Behavioral_Disorder_Counselors
Bellhops	Baggage_Porters_and_Bellhops
BenchCarpenters	Cabinetmakers_and_Bench_Carpenters
BenefitsManagers	Compensation_and_Benefits_Managers
BicycleRepairers	Bicycle_Repairers
BiofuelsProcessingTechnicians	Biofuels_Processing_Technicians
BiofuelsProductionManagers	Biofuels_Production_Managers
BioinformaticsScientists	Bioinformatics_Scientists
BioinformaticsTechnicians	Bioinformatics_Technicians
BiologicalScienceTeachersPostsecondary	Biological_Science_Teachers,_Postsecondary
BiologicalScientistsAllOther	Biological_Scientists,_All_Other
BiologicalTechnicians	Biological_Technicians
Biologists	Biologists
BiomassPlantTechnicians	Biomass_Plant_Technicians
BiomassPowerPlantManagers	Biomass_Power_Plant_Managers
BiomedicalEngineers	Bioengineers_and_Biomedical_Engineers
Biophysicists	Biochemists_and_Biophysicists
Biostatisticians	Biostatisticians
Blasters	Explosives_Workers,_Ordnance_Handling_Experts,_and_Blasters
BlockchainEngineers	Blockchain_Engineers
Blockmasons	Brickmasons_and_Blockmasons
Boilermakers	Boilermakers
BoilerOperators	Stationary_Engineers_and_Boiler_Operators
BoothCashiers	Gambling_Change_Persons_and_Booth_Cashiers
BorderProtectionOfficers	Customs_and_Border_Protection_Officers
Brazers	Welders,_Cutters,_Solderers,_and_Brazers
Brickmasons	Refractory_Materials_Repairers,_Except_Brickmasons
BroadcastTechnicians	Broadcast_Technicians
BrokerageClerks	Brokerage_Clerks
BudgetAnalysts	Budget_Analysts
BuildingCleaningWorkersAllOther	Building_Cleaning_Workers,_All_Other
BuildingInspectors	Construction_and_Building_Inspectors
BusDriversSchool	Bus_Drivers,_School
BusinessContinuityPlanners	Business_Continuity_Planners
BusinessIntelligenceAnalysts	Business_Intelligence_Analysts
BusinessOperationsSpecialistsAllOther	Business_Operations_Specialists,_All_Other
BusinessProperty	Appraisers_of_Personal_and_Business_Property
BusinessTeachersPostsecondary	Business_Teachers,_Postsecondary
Cafeteria	Cooks,_Institution_and_Cafeteria
Cardiologists	Cardiologists
CareerTechnicalEducation	Middle_School_Teachers,_Except_Special_and_Career_Technical_Education
CareerTechnicalEducation	Secondary_School_Teachers,_Except_Special_and_Career_Technical_Education
CareerTechnicalEducationTeachersMiddleSchool	Career_Technical_Education_Teachers,_Middle_School
CareerTechnicalEducationTeachersPostsecondary	Career_Technical_Education_Teachers,_Postsecondary
CareerTechnicalEducationTeachersSecondarySchool	Career_Technical_Education_Teachers,_Secondary_School
Carpenters	Carpenters
CarpetInstallers	Carpet_Installers
CarversManufacturing	Stone_Cutters_and_Carvers,_Manufacturing
Cashiers	Cashiers
CastersMetal	Pourers_and_Casters,_Metal
CeilingTileInstallers	Drywall_and_Ceiling_Tile_Installers
CellularBiologists	Molecular_and_Cellular_Biologists
Changers	Tire_Repairers_and_Changers
Chauffeurs	Shuttle_Drivers_and_Chauffeurs
ChemicalEngineers	Chemical_Engineers
ChemicalTechnicians	Chemical_Technicians
ChemistryTeachersPostsecondary	Chemistry_Teachers,_Postsecondary
Chemists	Chemists
ChiefExecutives	Chief_Executives
ChiefSustainabilityOfficers	Chief_Sustainability_Officers
ChildcareWorkers	Childcare_Workers
Chiropractors	Chiropractors
Choreographers	Choreographers
CivilDrafters	Architectural_and_Civil_Drafters
CivilEngineers	Civil_Engineers
Clergy	Clergy
Clerks	Credit_Authorizers,_Checkers,_and_Clerks
Clerks	Loan_Interviewers_and_Clerks
ClimateChangePolicyAnalysts	Climate_Change_Policy_Analysts
ClinicalDataManagers	Clinical_Data_Managers
ClinicalLaboratoryTechnicians	Medical_and_Clinical_Laboratory_Technicians
ClinicalLaboratoryTechnologists	Medical_and_Clinical_Laboratory_Technologists
ClinicalNeuropsychologists	Clinical_Neuropsychologists
ClinicalNurseSpecialists	Clinical_Nurse_Specialists
ClinicalResearchCoordinators	Clinical_Research_Coordinators
ClockRepairers	Watch_and_Clock_Repairers
