id	name	description	level
AccountCollectors	Bill and Account Collectors		Professional
Actors	Actors		Professional
Actuaries	Actuaries		Professional
Acupuncturists	Acupuncturists		Professional
AcuteCareNurses	Acute Care Nurses		Professional
AdaptedPhysicalEducationSpecialists	Adapted Physical Education Specialists		Professional
Adjusters	Timing Device Assemblers and Adjusters		Professional
AdministrativeAssistants	Legal Secretaries and Administrative Assistants		Professional
AdministrativeServicesManagers	Administrative Services Managers		Manager
AdministrativeSupportWorkers	First-Line Supervisors of Office and Administrative Support Workers		Manager
AdministrativeSupportWorkersAllOther	Office and Administrative Support Workers, All Other		Professional
AdvancedPracticePsychiatricNurses	Advanced Practice Psychiatric Nurses		Professional
AdvertisingSalesAgents	Advertising Sales Agents		Professional
Advisors	Educational, Guidance, and Career Counselors and Advisors		Professional
AerospaceEngineers	Aerospace Engineers		Professional
AgriculturalEngineers	Agricultural Engineers		Professional
AgriculturalEquipmentOperators	Agricultural Equipment Operators		Professional
AgriculturalInspectors	Agricultural Inspectors		Professional
AgriculturalSciencesTeachersPostsecondary	Agricultural Sciences Teachers, Postsecondary		Professional
AgriculturalTechnicians	Agricultural Technicians		Professional
AgriculturalWorkersAllOther	Agricultural Workers, All Other		Professional
AircraftCargoHandlingSupervisors	Aircraft Cargo Handling Supervisors		Manager
AircraftServiceAttendants	Aircraft Service Attendants		Professional
AirCrewMembers	Air Crew Members		Professional
AirCrewOfficers	Air Crew Officers		Professional
AirfieldOperationsSpecialists	Airfield Operations Specialists		Professional
AirTrafficControllers	Air Traffic Controllers		Professional
Ambulance	Dispatchers, Except Police, Fire, and Ambulance		Professional
Analysts	Fraud Examiners, Investigators and Analysts		Professional
AnesthesiologistAssistants	Anesthesiologist Assistants		Professional
Anesthesiologists	Anesthesiologists		Professional
AnimalBreeders	Animal Breeders		Professional
AnimalCaretakers	Animal Caretakers		Professional
AnimalControlWorkers	Animal Control Workers		Professional
AnimalScientists	Animal Scientists		Professional
AnimalTrainers	Animal Trainers		Professional
Animators	Special Effects Artists and Animators		Professional
AnsweringService	Switchboard Operators, Including Answering Service		Professional
ApparelPatternmakers	Fabric and Apparel Patternmakers		Professional
ApplicatorsVegetation	Pesticide Handlers, Sprayers, and Applicators, Vegetation		Professional
