url	ns	type	id	code	name	description	soc_code	career_cluster_id	subcluster_id
	graph.org.ai	SOC_CareerCluster_Mapping					11-1011	management-entrepreneurship	management-entrepreneurship/leadership-operations
	graph.org.ai	SOC_CareerCluster_Mapping					11-1011	management-entrepreneurship	management-entrepreneurship/entrepreneurship-small-business
	graph.org.ai	SOC_CareerCluster_Mapping					11-1021	energy-natural-resources	energy-natural-resources/conservation-land-management
	graph.org.ai	SOC_CareerCluster_Mapping					11-1021	management-entrepreneurship	management-entrepreneurship/leadership-operations
	graph.org.ai	SOC_CareerCluster_Mapping					11-1021	management-entrepreneurship	management-entrepreneurship/entrepreneurship-small-business
	graph.org.ai	SOC_CareerCluster_Mapping					11-1031	public-service-safety	public-service-safety/local-state-federal-services
	graph.org.ai	SOC_CareerCluster_Mapping					11-2011	marketing-sales	marketing-sales/marketing-advertising
	graph.org.ai	SOC_CareerCluster_Mapping					11-2021	marketing-sales	marketing-sales/marketing-advertising
	graph.org.ai	SOC_CareerCluster_Mapping					11-2022	marketing-sales	marketing-sales/retail-customer-experience
	graph.org.ai	SOC_CareerCluster_Mapping					11-2032	management-entrepreneurship	management-entrepreneurship/leadership-operations
	graph.org.ai	SOC_CareerCluster_Mapping					11-2032	management-entrepreneurship	management-entrepreneurship/entrepreneurship-small-business
	graph.org.ai	SOC_CareerCluster_Mapping					11-2033	arts-entertainment-design	arts-entertainment-design/media-production-broadcasting
	graph.org.ai	SOC_CareerCluster_Mapping					11-2033	financial-services	financial-services/financial-strategy-investments
	graph.org.ai	SOC_CareerCluster_Mapping					11-2033	hospitality-events-tourism	hospitality-events-tourism/conferences-events
	graph.org.ai	SOC_CareerCluster_Mapping					11-3012	management-entrepreneurship	management-entrepreneurship/leadership-operations
	graph.org.ai	SOC_CareerCluster_Mapping					11-3012	management-entrepreneurship	management-entrepreneurship/entrepreneurship-small-business
	graph.org.ai	SOC_CareerCluster_Mapping					11-3013	energy-natural-resources	energy-natural-resources/conservation-land-management
	graph.org.ai	SOC_CareerCluster_Mapping					11-3013	management-entrepreneurship	management-entrepreneurship/leadership-operations
	graph.org.ai	SOC_CareerCluster_Mapping					11-3013	management-entrepreneurship	management-entrepreneurship/entrepreneurship-small-business
	graph.org.ai	SOC_CareerCluster_Mapping					11-3013	public-service-safety	public-service-safety/local-state-federal-services
	graph.org.ai	SOC_CareerCluster_Mapping					11-3021	digital-technology	digital-technology/web-cloud
	graph.org.ai	SOC_CareerCluster_Mapping					11-3021	digital-technology	digital-technology/network-systems-cybersecurity
	graph.org.ai	SOC_CareerCluster_Mapping					11-3021	digital-technology	digital-technology/software-solutions
	graph.org.ai	SOC_CareerCluster_Mapping					11-3021	digital-technology	digital-technology/it-support-services
	graph.org.ai	SOC_CareerCluster_Mapping					11-3031	management-entrepreneurship	management-entrepreneurship/business-information-management
	graph.org.ai	SOC_CareerCluster_Mapping					11-3031	management-entrepreneurship	management-entrepreneurship/regulation
	graph.org.ai	SOC_CareerCluster_Mapping					11-3051	advanced-manufacturing	advanced-manufacturing/production-automation
	graph.org.ai	SOC_CareerCluster_Mapping					11-3051	management-entrepreneurship	management-entrepreneurship/leadership-operations
	graph.org.ai	SOC_CareerCluster_Mapping					11-3051	supply-chain-transportation	supply-chain-transportation/planning-logistics
	graph.org.ai	SOC_CareerCluster_Mapping					11-3061	management-entrepreneurship	management-entrepreneurship/leadership-operations
	graph.org.ai	SOC_CareerCluster_Mapping					11-3061	supply-chain-transportation	supply-chain-transportation/purchasing-warehousing
	graph.org.ai	SOC_CareerCluster_Mapping					11-3071	supply-chain-transportation	supply-chain-transportation/planning-logistics
	graph.org.ai	SOC_CareerCluster_Mapping					11-3071	supply-chain-transportation	supply-chain-transportation/purchasing-warehousing
	graph.org.ai	SOC_CareerCluster_Mapping					11-3111	management-entrepreneurship	management-entrepreneurship/entrepreneurship-small-business
	graph.org.ai	SOC_CareerCluster_Mapping					11-3111	management-entrepreneurship	management-entrepreneurship/leadership-operations
	graph.org.ai	SOC_CareerCluster_Mapping					11-3121	management-entrepreneurship	management-entrepreneurship/leadership-operations
	graph.org.ai	SOC_CareerCluster_Mapping					11-3121	management-entrepreneurship	management-entrepreneurship/entrepreneurship-small-business
	graph.org.ai	SOC_CareerCluster_Mapping					11-3121	public-service-safety	public-service-safety/local-state-federal-services
	graph.org.ai	SOC_CareerCluster_Mapping					11-3131	management-entrepreneurship	management-entrepreneurship/leadership-operations
	graph.org.ai	SOC_CareerCluster_Mapping					11-3131	management-entrepreneurship	management-entrepreneurship/entrepreneurship-small-business
	graph.org.ai	SOC_CareerCluster_Mapping					11-3131	public-service-safety	public-service-safety/local-state-federal-services
	graph.org.ai	SOC_CareerCluster_Mapping					11-9013	agriculture	agriculture/agribusiness
	graph.org.ai	SOC_CareerCluster_Mapping					11-9013	agriculture	agriculture/food-science-processing
	graph.org.ai	SOC_CareerCluster_Mapping					11-9013	agriculture	agriculture/water-systems
	graph.org.ai	SOC_CareerCluster_Mapping					11-9013	agriculture	agriculture/plant-systems
	graph.org.ai	SOC_CareerCluster_Mapping					11-9013	agriculture	agriculture/animal-systems
	graph.org.ai	SOC_CareerCluster_Mapping					11-9021	construction	construction/construction-planning-development
	graph.org.ai	SOC_CareerCluster_Mapping					11-9021	management-entrepreneurship	management-entrepreneurship/entrepreneurship-small-business
	graph.org.ai	SOC_CareerCluster_Mapping					11-9031	education	education/early-childhood-development
	graph.org.ai	SOC_CareerCluster_Mapping					11-9031	healthcare-human-services	healthcare-human-services/community-social-services
	graph.org.ai	SOC_CareerCluster_Mapping					11-9032	education	education/education-administration-leadership
	graph.org.ai	SOC_CareerCluster_Mapping					11-9033	education	education/education-administration-leadership
	graph.org.ai	SOC_CareerCluster_Mapping					11-9033	education	education/teaching-training-facilitation
	graph.org.ai	SOC_CareerCluster_Mapping					11-9039	education	education/education-administration-leadership
	graph.org.ai	SOC_CareerCluster_Mapping					11-9039	public-service-safety	public-service-safety/local-state-federal-services
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	advanced-manufacturing	advanced-manufacturing/engineering
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	advanced-manufacturing	advanced-manufacturing/production-automation
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	agriculture	agriculture/plant-systems
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	arts-entertainment-design	arts-entertainment-design/fashion-interiors
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	construction	construction/architecture-civil-engineering
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	energy-natural-resources	energy-natural-resources/resource-extraction
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	energy-natural-resources	energy-natural-resources/ecological-research-development
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	energy-natural-resources	energy-natural-resources/utilities
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	energy-natural-resources	energy-natural-resources/clean-alternative-energy
	graph.org.ai	SOC_CareerCluster_Mapping					11-9041	energy-natural-resources	energy-natural-resources/environmental-protection
	graph.org.ai	SOC_CareerCluster_Mapping					11-9051	hospitality-events-tourism	hospitality-events-tourism/culinary-food-services
	graph.org.ai	SOC_CareerCluster_Mapping					11-9071	hospitality-events-tourism	hospitality-events-tourism/travel-leisure
	graph.org.ai	SOC_CareerCluster_Mapping					11-9072	hospitality-events-tourism	hospitality-events-tourism/travel-leisure
	graph.org.ai	SOC_CareerCluster_Mapping					11-9081	hospitality-events-tourism	hospitality-events-tourism/accommodations
	graph.org.ai	SOC_CareerCluster_Mapping					11-9111	healthcare-human-services	healthcare-human-services/health-data-administration
	graph.org.ai	SOC_CareerCluster_Mapping					11-9121	advanced-manufacturing	advanced-manufacturing/engineering
