url	ns	type	id	code	name	description	soc_code	education_program_id	cip_code	career_cluster_id
	graph.org.ai	SOC_EducationProgram_Mapping					11-3051	industrial-engineering	14.3501	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-3051	engineeringindustrial-management	15.1501	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-3051	clinical-and-industrial-drug-development	51.2006	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-3051	industrial-and-physical-pharmacy-and-cosmetic-sciences	51.2009	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-3051	businesscommerce-general	52.0101	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-3051	business-administration-and-management-general	52.0201	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-3051	operations-management-and-supervision	52.0205	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-3051	sciencetechnology-management	52.0216	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	engineering-general	14.0101	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	aerospace-aeronautical-and-astronauticalspace-engineering-general	14.0201	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	astronautical-engineering	14.0202	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	aerospace-aeronautical-and-astronauticalspace-engineering-other	14.0299	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	agricultural-engineering	14.0301	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	architectural-engineering	14.0401	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	bioengineering-and-biomedical-engineering	14.0501	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	ceramic-sciences-and-engineering	14.0601	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	chemical-engineering	14.0701	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	chemical-and-biomolecular-engineering	14.0702	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	chemical-engineering-other	14.0799	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	electrical-and-electronics-engineering	14.1001	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	laser-and-optical-engineering	14.1003	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	electrical-electronics-and-communications-engineering-other	14.1099	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	engineering-mechanics	14.1101	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	engineering-physicsapplied-physics	14.1201	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	engineering-science	14.1301	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	environmentalenvironmental-health-engineering	14.1401	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	materials-engineering	14.1801	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	mechanical-engineering	14.1901	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	metallurgical-engineering	14.2001	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	mining-and-mineral-engineering	14.2101	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	naval-architecture-and-marine-engineering	14.2201	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	nuclear-engineering	14.2301	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	systems-engineering	14.2701	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	textile-sciences-and-engineering	14.2801	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	polymerplastics-engineering	14.3201	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	industrial-engineering	14.3501	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	manufacturing-engineering	14.3601	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	surveying-engineering	14.3801	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	paper-science-and-engineering	14.4001	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	electromechanical-engineering	14.4101	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	mechatronics-robotics-and-automation-engineering	14.4201	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	biochemical-engineering	14.4301	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	engineering-chemistry	14.4401	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	biologicalbiosystems-engineering	14.4501	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	electrical-and-computer-engineering	14.4701	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	energy-systems-engineering-general	14.4801	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	engineering-other	14.9999	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	engineeringindustrial-management	15.1501	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	engineering-design	15.1502	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	packaging-science	15.1503	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	materials-science	40.1001	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9041	sciencetechnology-management	52.0216	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	mathematics-general	27.0101	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	algebra-and-number-theory	27.0102	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	analysis-and-functional-analysis	27.0103	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	geometrygeometric-analysis	27.0104	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	topology-and-foundations	27.0105	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	mathematics-other	27.0199	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	applied-mathematics-general	27.0301	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	computational-mathematics	27.0303	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	computational-and-applied-mathematics	27.0304	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	atomicmolecular-physics	40.0802	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	elementary-particle-physics	40.0804	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	plasma-and-high-temperature-physics	40.0805	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	nuclear-physics	40.0806	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	opticsoptical-sciences	40.0807	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	condensed-matter-and-materials-physics	40.0808	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	acoustics	40.0809	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	theoretical-and-mathematical-physics	40.0810	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	physics-other	40.0899	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	materials-chemistry	40.1002	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	materials-sciences-other	40.1099	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	physics-and-astronomy	40.1101	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	physical-sciences-other	40.9999	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					11-9121	clinical-and-industrial-drug-development	51.2006	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2011	aerospace-aeronautical-and-astronauticalspace-engineering-general	14.0201	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2011	astronautical-engineering	14.0202	advanced-manufacturing
