url	ns	type	id	code	name	description	employment	annual_mean_wage	matched_onet
https://onet.org.ai/STEMOccupation/InformationSystemsManagers	onet.org.ai	STEMOccupation	InformationSystemsManagers	11-3021	Computer and Information Systems Managers		645970	187990	true
https://onet.org.ai/STEMOccupation/ProductDevelopmentManagers	onet.org.ai	STEMOccupation	ProductDevelopmentManagers	11-9041	Biofuels/Biodiesel Technology and Product Development Managers		210340	175710	true
https://onet.org.ai/STEMOccupation/WaterResourceSpecialists	onet.org.ai	STEMOccupation	WaterResourceSpecialists	11-9121	Water Resource Specialists		100870	173500	true
https://onet.org.ai/STEMOccupation/HealthInformaticsSpecialists	onet.org.ai	STEMOccupation	HealthInformaticsSpecialists	15-1211	Health Informatics Specialists		497800	111960	true
https://onet.org.ai/STEMOccupation/InformationSecurityAnalysts	onet.org.ai	STEMOccupation	InformationSecurityAnalysts	15-1212	Information Security Analysts		179430	127730	true
https://onet.org.ai/STEMOccupation/InformationResearchScientists	onet.org.ai	STEMOccupation	InformationResearchScientists	15-1221	Computer and Information Research Scientists		38480	152310	true
https://onet.org.ai/STEMOccupation/ComputerNetworkSupportSpecialists	onet.org.ai	STEMOccupation	ComputerNetworkSupportSpecialists	15-1231	Computer Network Support Specialists		146450	79610	true
https://onet.org.ai/STEMOccupation/ComputerUserSupportSpecialists	onet.org.ai	STEMOccupation	ComputerUserSupportSpecialists	15-1232	Computer User Support Specialists		697210	64990	true
https://onet.org.ai/STEMOccupation/TelecommunicationsEngineeringSpecialists	onet.org.ai	STEMOccupation	TelecommunicationsEngineeringSpecialists	15-1241	Telecommunications Engineering Specialists		177010	135890	true
https://onet.org.ai/STEMOccupation/DatabaseAdministrators	onet.org.ai	STEMOccupation	DatabaseAdministrators	15-1242	Database Administrators		73180	107440	true
https://onet.org.ai/STEMOccupation/DataWarehousingSpecialists	onet.org.ai	STEMOccupation	DataWarehousingSpecialists	15-1243	Data Warehousing Specialists		64770	142620	true
https://onet.org.ai/STEMOccupation/ComputerSystemsAdministrators	onet.org.ai	STEMOccupation	ComputerSystemsAdministrators	15-1244	Network and Computer Systems Administrators		318570	101190	true
https://onet.org.ai/STEMOccupation/ComputerProgrammers	onet.org.ai	STEMOccupation	ComputerProgrammers	15-1251	Computer Programmers		109870	103640	true
https://onet.org.ai/STEMOccupation/SoftwareDevelopers	onet.org.ai	STEMOccupation	SoftwareDevelopers	15-1252	Software Developers		1654440	144570	true
https://onet.org.ai/STEMOccupation/Testers	onet.org.ai	STEMOccupation	Testers	15-1253	Software Quality Assurance Analysts and Testers		199800	110260	true
https://onet.org.ai/STEMOccupation/WebDevelopers	onet.org.ai	STEMOccupation	WebDevelopers	15-1254	Web Developers		78860	98790	true
https://onet.org.ai/STEMOccupation/VideoGameDesigners	onet.org.ai	STEMOccupation	VideoGameDesigners	15-1255	Video Game Designers		111400	111450	true
