ns	from	predicate	reverse	to
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/ConsumeAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/SportsActivityLocation
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/OrganizationRole
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/AllocateAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CivicStructure
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/PlanAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MedicalIntangible,schema:CategoryCode
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/LodgingBusiness
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Intangible
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Landform
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Product,schema:Collection
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/PublicationEvent
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/EducationalOrganization
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Intangible
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Article
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/LocalBusiness
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Store
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MedicalIntangible
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Article
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/InteractAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/PlaceOfWorship
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CivicStructure
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CivicStructure
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/OrganizeAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Enumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Store,schema:AutomotiveBusiness
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/StructuredValue
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/WebPage
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Resort,schema:SportsActivityLocation
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/LocalBusiness
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/HowToItem
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/StructuredValue
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Event
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/GovernmentBuilding
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/StructuredValue
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/PlaceOfWorship
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Organization
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/LocalBusiness
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/GovernmentBuilding
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Project
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Residence
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Action
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Residence
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Thing
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/DefinedTermSet
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MedicalEntity
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Enumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Text
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/RadioChannel
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Enumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MediaObject,schema:CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWorkSeries
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Enumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/TherapeuticProcedure
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/WebPageElement
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Comment
