ns	from	to	predicate	reverse
searches.org.ai	https://integrations.org.ai/GoogleSheets/LookupRow	https://searches.org.ai/LookupRow	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleSheets/FindManyRows	https://searches.org.ai/FindManyRows	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleSheets/GetManyRows	https://searches.org.ai/GetManyRows	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleSheets/FindWorksheet	https://searches.org.ai/FindWorksheet	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleSheets/GetRowByID	https://searches.org.ai/GetRowByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleSheets/GetSpreadsheetByID	https://searches.org.ai/GetSpreadsheetByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleSheets/GetDataRange	https://searches.org.ai/GetDataRange	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Gmail/Message	https://searches.org.ai/Message	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Gmail/Attachment	https://searches.org.ai/Attachment	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Slack/UserByName	https://searches.org.ai/UserByName	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Slack/Message	https://searches.org.ai/Message	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Slack/UserByEmail	https://searches.org.ai/UserByEmail	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Slack/UserByUsername	https://searches.org.ai/UserByUsername	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Slack/UserByID	https://searches.org.ai/UserByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Slack/GetMessage	https://searches.org.ai/GetMessage	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Slack/GetConversation	https://searches.org.ai/GetConversation	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Slack/GetMessagePermalink	https://searches.org.ai/GetMessagePermalink	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Slack/GetConversationMembers	https://searches.org.ai/GetConversationMembers	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Slack/GetMessageReactions	https://searches.org.ai/GetMessageReactions	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleCalendar/Event	https://searches.org.ai/Event	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleCalendar/EventV2	https://searches.org.ai/EventV2	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleCalendar/FindMultipleEvents	https://searches.org.ai/FindMultipleEvents	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleCalendar/EventByID	https://searches.org.ai/EventByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleCalendar/FindBusyPeriods	https://searches.org.ai/FindBusyPeriods	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleCalendar/GetCalendarInfo	https://searches.org.ai/GetCalendarInfo	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleCalendar/FindCalendars	https://searches.org.ai/FindCalendars	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleDrive/FileV2	https://searches.org.ai/FileV2	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleDrive/FolderV2	https://searches.org.ai/FolderV2	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleDrive/FindMultipleFiles	https://searches.org.ai/FindMultipleFiles	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleDrive/FileOrFolderByID	https://searches.org.ai/FileOrFolderByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleDrive/FilePermissions	https://searches.org.ai/FilePermissions	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Notion/DatabaseItem	https://searches.org.ai/DatabaseItem	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Notion/PageByTitle	https://searches.org.ai/PageByTitle	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Notion/BlockChildren	https://searches.org.ai/BlockChildren	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Notion/Comments	https://searches.org.ai/Comments	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Notion/GetPageAndChildren	https://searches.org.ai/GetPageAndChildren	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Notion/CommentsV2	https://searches.org.ai/CommentsV2	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Notion/PageProperty	https://searches.org.ai/PageProperty	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Notion/UserDetails	https://searches.org.ai/UserDetails	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Notion/GetBlockChildren	https://searches.org.ai/GetBlockChildren	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Notion/GetPageOrDatabaseItemByID	https://searches.org.ai/GetPageOrDatabaseItemByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Notion/QueryDatabaseAdvanced	https://searches.org.ai/QueryDatabaseAdvanced	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Notion/GetBlock	https://searches.org.ai/GetBlock	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Twitter/User	https://searches.org.ai/User	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Hubspot/FindContact	https://searches.org.ai/FindContact	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Hubspot/Companysearch	https://searches.org.ai/Companysearch	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Hubspot/Dealsearch	https://searches.org.ai/Dealsearch	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Hubspot/FindPipelineStage	https://searches.org.ai/FindPipelineStage	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Hubspot/GetOwnerByID	https://searches.org.ai/GetOwnerByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Hubspot/GetDealByID	https://searches.org.ai/GetDealByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Hubspot/Ticketsearch	https://searches.org.ai/Ticketsearch	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Hubspot/Contactsearch	https://searches.org.ai/Contactsearch	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Hubspot/FindAssociations	https://searches.org.ai/FindAssociations	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Hubspot/DealCrmsearch	https://searches.org.ai/DealCrmsearch	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Hubspot/CompanyCrmsearch	https://searches.org.ai/CompanyCrmsearch	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Hubspot/LineItemCrmsearch	https://searches.org.ai/LineItemCrmsearch	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Hubspot/ProductCrmsearch	https://searches.org.ai/ProductCrmsearch	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Hubspot/FindOwnerByEmail	https://searches.org.ai/FindOwnerByEmail	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Hubspot/CustomObjectsearch	https://searches.org.ai/CustomObjectsearch	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Hubspot/CommonCRMObjectsearch	https://searches.org.ai/CommonCRMObjectsearch	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Mailchimp/Campaignsearch	https://searches.org.ai/Campaignsearch	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Mailchimp/Membersearch	https://searches.org.ai/Membersearch	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Mailchimp/FindCustomer	https://searches.org.ai/FindCustomer	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Mailchimp/FindTag	https://searches.org.ai/FindTag	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/MicrosoftOutlook/FindContact	https://searches.org.ai/FindContact	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/MicrosoftOutlook/FindCalendarEvent	https://searches.org.ai/FindCalendarEvent	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/MicrosoftOutlook/FindEmail	https://searches.org.ai/FindEmail	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/MicrosoftOutlook/GetCalendarEventsInDateRange	https://searches.org.ai/GetCalendarEventsInDateRange	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/MicrosoftOutlook/FindEmailsInFolder	https://searches.org.ai/FindEmailsInFolder	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/MicrosoftOutlook/FindGroupCalendarEvents	https://searches.org.ai/FindGroupCalendarEvents	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/HubspotCRMLegacy/FindContact	https://searches.org.ai/FindContact	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/HubspotCRMLegacy/FindCompany	https://searches.org.ai/FindCompany	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/HubspotCRMLegacy/FindDeal	https://searches.org.ai/FindDeal	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/ChatgptOpenai/FindFile	https://searches.org.ai/FindFile	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/ChatgptOpenai/FindAssistant	https://searches.org.ai/FindAssistant	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/ChatgptOpenai/SearchEmbeddings	https://searches.org.ai/SearchEmbeddings	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/ChatgptOpenai/SearchEmbeddingsV2	https://searches.org.ai/SearchEmbeddingsV2	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Stripe/FindCustomer	https://searches.org.ai/FindCustomer	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Stripe/FindCharge	https://searches.org.ai/FindCharge	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Stripe/FindSubscription	https://searches.org.ai/FindSubscription	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Stripe/FindInvoice	https://searches.org.ai/FindInvoice	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Stripe/FindPayment	https://searches.org.ai/FindPayment	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Stripe/AccountBalance	https://searches.org.ai/AccountBalance	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Stripe/FindAccount	https://searches.org.ai/FindAccount	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Typeform/LookupResponses	https://searches.org.ai/LookupResponses	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Airtable/Findrecord	https://searches.org.ai/Findrecord	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Airtable/Findmanyrecords	https://searches.org.ai/Findmanyrecords	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Airtable/Findrecordbyid	https://searches.org.ai/Findrecordbyid	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Airtable/Findtablebyid	https://searches.org.ai/Findtablebyid	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Airtable/FindBase	https://searches.org.ai/FindBase	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Airtable/Findtable	https://searches.org.ai/Findtable	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Airtable/GetBaseSchema	https://searches.org.ai/GetBaseSchema	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Calendly/FindUser	https://searches.org.ai/FindUser	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Calendly/FindEvent	https://searches.org.ai/FindEvent	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/OrganizationBoard	https://searches.org.ai/OrganizationBoard	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/OrganizationMember	https://searches.org.ai/OrganizationMember	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/Checklist	https://searches.org.ai/Checklist	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/OrganizationCard	https://searches.org.ai/OrganizationCard	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/ChecklistItem	https://searches.org.ai/ChecklistItem	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/BoardList	https://searches.org.ai/BoardList	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/BoardLabel	https://searches.org.ai/BoardLabel	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/ActionByID	https://searches.org.ai/ActionByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/BoardByID	https://searches.org.ai/BoardByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/CardAttachmentsByID	https://searches.org.ai/CardAttachmentsByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/CardByID	https://searches.org.ai/CardByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/ChecklistByID	https://searches.org.ai/ChecklistByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/ChecklistItemByID	https://searches.org.ai/ChecklistItemByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/LabelByID	https://searches.org.ai/LabelByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/ListByID	https://searches.org.ai/ListByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/MemberByID	https://searches.org.ai/MemberByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/OrganizationByID	https://searches.org.ai/OrganizationByID	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/OrganizationCardV2	https://searches.org.ai/OrganizationCardV2	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Trello/OrganizationCardCustomQuery	https://searches.org.ai/OrganizationCardCustomQuery	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Discord/FindChannel	https://searches.org.ai/FindChannel	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Discord/FindUser	https://searches.org.ai/FindUser	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleDocs/Document	https://searches.org.ai/Document	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/GoogleDocs/GetDocumentContent	https://searches.org.ai/GetDocumentContent	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/ZapierTables/FindRecord	https://searches.org.ai/FindRecord	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/ZapierTables/FindRecords	https://searches.org.ai/FindRecords	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/ZapierTables/FindTable	https://searches.org.ai/FindTable	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/ZapierTables/GetSummaryFormulaValues	https://searches.org.ai/GetSummaryFormulaValues	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Salesforce/FindRecord	https://searches.org.ai/FindRecord	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Salesforce/FindRecordByQuery	https://searches.org.ai/FindRecordByQuery	instanceOf	hasInstance
searches.org.ai	https://integrations.org.ai/Salesforce/FindRecords	https://searches.org.ai/FindRecords	instanceOf	hasInstance
