url	ns	type	id	code	name	description	source	level	segment	segmentCode	family	familyCode	class	classCode	parent	hierarchy
https://napcs.org.ai/ServiceGroup/LiveAnimals	napcs.org.ai	ServiceGroup	LiveAnimals	111	Live animals	This group comprises live animals	NAPCS	1								
https://napcs.org.ai/ServiceClass/CattleCalves	napcs.org.ai	ServiceClass	CattleCalves	11111	Cattle and calves	This class comprises live beef and dairy cattle	NAPCS	2							111	
https://napcs.org.ai/ServiceSubclass/CattleCalves111111	napcs.org.ai	ServiceSubclass	CattleCalves111111	111111	Cattle and calves	This subclass comprises live beef and dairy cattle	NAPCS	3							11111	
https://napcs.org.ai/Service/Cattle	napcs.org.ai	Service	Cattle	1111111	Cattle	Live beef and dairy cattle	NAPCS	4							111111	
https://napcs.org.ai/Service/Calves	napcs.org.ai	Service	Calves	1111112	Calves	Live calves	NAPCS	4							111111	
https://napcs.org.ai/ServiceClass/Hogs	napcs.org.ai	ServiceClass	Hogs	11112	Hogs	This class comprises live porcine animals.	NAPCS	2							111	
https://napcs.org.ai/ServiceSubclass/Hogs111121	napcs.org.ai	ServiceSubclass	Hogs111121	111121	Hogs	This subclass comprises live porcine animals.	NAPCS	3							11112	
https://napcs.org.ai/Service/HogsBreeding	napcs.org.ai	Service	HogsBreeding	1111211	Hogs for breeding	Live porcine animals raised for breeding.	NAPCS	4							111121	
https://napcs.org.ai/Service/NursingWeanerHogs	napcs.org.ai	Service	NursingWeanerHogs	1111212	Nursing and weaner hogs	Live young pigs and piglets	NAPCS	4							111121	
https://napcs.org.ai/Service/MarketHogs	napcs.org.ai	Service	MarketHogs	1111213	Market hogs	Live porcine animals 23 kg and over	NAPCS	4							111121	
https://napcs.org.ai/ServiceClass/Poultry	napcs.org.ai	ServiceClass	Poultry	11113	Poultry	This class comprises live poultry.	NAPCS	2							111	
https://napcs.org.ai/ServiceSubclass/Chickens	napcs.org.ai	ServiceSubclass	Chickens	111131	Chickens	This subclass comprises live chickens.	NAPCS	3							11113	
https://napcs.org.ai/Service/ChickensBreeding	napcs.org.ai	Service	ChickensBreeding	1111311	Chickens for breeding	Live chickens raised for breeding.	NAPCS	4							111131	
https://napcs.org.ai/Service/HensPulletsLayingEggs	napcs.org.ai	Service	HensPulletsLayingEggs	1111312	Hens and pullets for laying eggs	Live hens and pullets raised for egg production.	NAPCS	4							111131	
https://napcs.org.ai/Service/ChickensMeat	napcs.org.ai	Service	ChickensMeat	1111313	Chickens for meat	Live chickens raised for meat production.	NAPCS	4							111131	
https://napcs.org.ai/ServiceSubclass/Turkeys	napcs.org.ai	ServiceSubclass	Turkeys	111132	Turkeys	This subclass comprises live turkeys.	NAPCS	3							11113	
https://napcs.org.ai/Service/TurkeysBreeding	napcs.org.ai	Service	TurkeysBreeding	1111321	Turkeys for breeding	Live turkeys raised for breeding.	NAPCS	4							111132	
https://napcs.org.ai/Service/TurkeysMeat	napcs.org.ai	Service	TurkeysMeat	1111322	Turkeys for meat	Live turkeys raised for meat production.	NAPCS	4							111132	
https://napcs.org.ai/ServiceSubclass/ChicksPoults	napcs.org.ai	ServiceSubclass	ChicksPoults	111133	Chicks and poults	This subclass comprises live chicks and poults.	NAPCS	3							11113	
https://napcs.org.ai/Service/Chicks	napcs.org.ai	Service	Chicks	1111331	Chicks	Live chicks	NAPCS	4							111133	
https://napcs.org.ai/Service/Poults	napcs.org.ai	Service	Poults	1111332	Poults	Live poults	NAPCS	4							111133	
https://napcs.org.ai/ServiceSubclass/PoultryExceptChickens	napcs.org.ai	ServiceSubclass	PoultryExceptChickens	111134	Poultry (except chickens	chicks and poults)	NAPCS	3							11113	
https://napcs.org.ai/Service/PoultryExceptChickens1111341	napcs.org.ai	Service	PoultryExceptChickens1111341	1111341	Poultry (except chickens	chicks and poults)	NAPCS	4							111134	
https://napcs.org.ai/ServiceClass/OtherLiveAnimals	napcs.org.ai	ServiceClass	OtherLiveAnimals	11114	Other live animals	This class comprises live animals n.e.c.	NAPCS	2							111	
https://napcs.org.ai/ServiceSubclass/Sheep	napcs.org.ai	ServiceSubclass	Sheep	111141	Sheep		NAPCS	3							11114	
https://napcs.org.ai/Service/SheepLambs	napcs.org.ai	Service	SheepLambs	1111411	Sheep and lambs	Live sheep and lambs.	NAPCS	4							111141	
https://napcs.org.ai/Service/Goats	napcs.org.ai	Service	Goats	1111412	Goats	Live goats.	NAPCS	4							111141	
https://napcs.org.ai/ServiceSubclass/FurBearingAnimals	napcs.org.ai	ServiceSubclass	FurBearingAnimals	111142	Fur-bearing animals	This subclass comprises live fur-bearing animals.	NAPCS	3							11114	
https://napcs.org.ai/Service/FurBearingAnimals1111421	napcs.org.ai	Service	FurBearingAnimals1111421	1111421	Fur-bearing animals	Live fur-bearing animals.	NAPCS	4							111142	
https://napcs.org.ai/ServiceSubclass/OtherMiscellaneousLiveAnimals	napcs.org.ai	ServiceSubclass	OtherMiscellaneousLiveAnimals	111143	Other miscellaneous live animals	This subclass comprises other live animals for meat and for hair; pets and laboratory animals; bees and pollinating insects; other live animals	NAPCS	3							11114	
https://napcs.org.ai/Service/OtherLiveAnimalsMeatHair	napcs.org.ai	Service	OtherLiveAnimalsMeatHair	1111431	Other live animals for meat and for hair	Other live animals for meat and for hair.	NAPCS	4							111143	
https://napcs.org.ai/Service/PetsLaboratoryAnimals	napcs.org.ai	Service	PetsLaboratoryAnimals	1111432	Pets and laboratory animals	Live pets and laboratory animals.	NAPCS	4							111143	
https://napcs.org.ai/Service/BeesPollinatingInsects	napcs.org.ai	Service	BeesPollinatingInsects	1111433	Bees and pollinating insects	Live bees and pollinating insects.	NAPCS	4							111143	
https://napcs.org.ai/Service/OtherLiveAnimals1111434	napcs.org.ai	Service	OtherLiveAnimals1111434	1111434	Other live animals		NAPCS	4							111143	
https://napcs.org.ai/Service/Semen	napcs.org.ai	Service	Semen	1111435	Semen	Live semen	NAPCS	4							111143	
https://napcs.org.ai/Service/AnimalEmbryos	napcs.org.ai	Service	AnimalEmbryos	1111436	Animal embryos	Live animal embryos	NAPCS	4							111143	
https://napcs.org.ai/ServiceGroup/Wheat	napcs.org.ai	ServiceGroup	Wheat	112	Wheat	This group comprises all the varieties of unmilled wheat.	NAPCS	1								
https://napcs.org.ai/ServiceClass/Wheat11211	napcs.org.ai	ServiceClass	Wheat11211	11211	Wheat	This class comprises all the varieties of unmilled wheat.	NAPCS	2							112	
