id	type	code	parent	name	description	level	hierarchy
LiveAnimals	ServiceGroup	111		Live animals	This group comprises live animals	1	Group
CattleCalves	ServiceClass	11111	111	Cattle and calves	This class comprises live beef and dairy cattle	2	Class
CattleCalves111111	ServiceSubclass	111111	11111	Cattle and calves	This subclass comprises live beef and dairy cattle	3	Subclass
Cattle	Service	1111111	111111	Cattle	Live beef and dairy cattle	4	Detail
Calves	Service	1111112	111111	Calves	Live calves	4	Detail
Hogs	ServiceClass	11112	111	Hogs	This class comprises live porcine animals.	2	Class
Hogs111121	ServiceSubclass	111121	11112	Hogs	This subclass comprises live porcine animals.	3	Subclass
HogsBreeding	Service	1111211	111121	Hogs for breeding	Live porcine animals raised for breeding.	4	Detail
NursingWeanerHogs	Service	1111212	111121	Nursing and weaner hogs	Live young pigs and piglets	4	Detail
MarketHogs	Service	1111213	111121	Market hogs	Live porcine animals 23 kg and over	4	Detail
Poultry	ServiceClass	11113	111	Poultry	This class comprises live poultry.	2	Class
Chickens	ServiceSubclass	111131	11113	Chickens	This subclass comprises live chickens.	3	Subclass
ChickensBreeding	Service	1111311	111131	Chickens for breeding	Live chickens raised for breeding.	4	Detail
HensPulletsLayingEggs	Service	1111312	111131	Hens and pullets for laying eggs	Live hens and pullets raised for egg production.	4	Detail
ChickensMeat	Service	1111313	111131	Chickens for meat	Live chickens raised for meat production.	4	Detail
Turkeys	ServiceSubclass	111132	11113	Turkeys	This subclass comprises live turkeys.	3	Subclass
TurkeysBreeding	Service	1111321	111132	Turkeys for breeding	Live turkeys raised for breeding.	4	Detail
TurkeysMeat	Service	1111322	111132	Turkeys for meat	Live turkeys raised for meat production.	4	Detail
ChicksPoults	ServiceSubclass	111133	11113	Chicks and poults	This subclass comprises live chicks and poults.	3	Subclass
Chicks	Service	1111331	111133	Chicks	Live chicks	4	Detail
Poults	Service	1111332	111133	Poults	Live poults	4	Detail
PoultryExceptChickens	ServiceSubclass	111134	11113	Poultry (except chickens	chicks and poults)	3	Subclass
PoultryExceptChickens1111341	Service	1111341	111134	Poultry (except chickens	chicks and poults)	4	Detail
OtherLiveAnimals	ServiceClass	11114	111	Other live animals	This class comprises live animals n.e.c.	2	Class
Sheep	ServiceSubclass	111141	11114	Sheep		3	Subclass
SheepLambs	Service	1111411	111141	Sheep and lambs	Live sheep and lambs.	4	Detail
Goats	Service	1111412	111141	Goats	Live goats.	4	Detail
FurBearingAnimals	ServiceSubclass	111142	11114	Fur-bearing animals	This subclass comprises live fur-bearing animals.	3	Subclass
FurBearingAnimals1111421	Service	1111421	111142	Fur-bearing animals	Live fur-bearing animals.	4	Detail
OtherMiscellaneousLiveAnimals	ServiceSubclass	111143	11114	Other miscellaneous live animals	This subclass comprises other live animals for meat and for hair; pets and laboratory animals; bees and pollinating insects; other live animals	3	Subclass
OtherLiveAnimalsMeatHair	Service	1111431	111143	Other live animals for meat and for hair	Other live animals for meat and for hair.	4	Detail
PetsLaboratoryAnimals	Service	1111432	111143	Pets and laboratory animals	Live pets and laboratory animals.	4	Detail
BeesPollinatingInsects	Service	1111433	111143	Bees and pollinating insects	Live bees and pollinating insects.	4	Detail
OtherLiveAnimals1111434	Service	1111434	111143	Other live animals		4	Detail
Semen	Service	1111435	111143	Semen	Live semen	4	Detail
AnimalEmbryos	Service	1111436	111143	Animal embryos	Live animal embryos	4	Detail
Wheat	ServiceGroup	112		Wheat	This group comprises all the varieties of unmilled wheat.	1	Group
Wheat11211	ServiceClass	11211	112	Wheat	This class comprises all the varieties of unmilled wheat.	2	Class
Wheat112111	ServiceSubclass	112111	11211	Wheat	This subclass comprises all the varieties of unmilled wheat.	3	Subclass
Wheat1121111	Service	1121111	112111	Wheat (except durum wheat)	All the varieties of unmilled wheat	4	Detail
DurumWheat	Service	1121112	112111	Durum wheat	Unmilled durum wheat.	4	Detail
Canola	ServiceGroup	113		Canola (including rapeseed)	This group comprises canola and rapeseed.	1	Group
Canola11311	ServiceClass	11311	113	Canola (including rapeseed)	This class comprises canola and rapeseed.	2	Class
Canola113111	ServiceSubclass	113111	11311	Canola (including rapeseed)	This subclass comprises canola and rapeseed.	3	Subclass
Canola1131111	Service	1131111	113111	Canola	Canola	4	Detail
Rapeseed	Service	1131112	113111	Rapeseed (except canola)	Rapeseed	4	Detail
FreshFruit	ServiceGroup	114		Fresh fruit	and pulse crops	1	Group
FreshFruitNuts	ServiceClass	11411	114	Fresh fruit and nuts	This class comprises fresh fruit and nuts.	2	Class
FreshBerries	ServiceSubclass	114111	11411	Fresh berries	This subclass comprises fresh berries.	3	Subclass
FreshStrawberries	Service	1141111	114111	Fresh strawberries	Fresh strawberries.	4	Detail
FreshRaspberries	Service	1141112	114111	Fresh raspberries	Fresh raspberries.	4	Detail
FreshCranberries	Service	1141113	114111	Fresh cranberries	Fresh cranberries.	4	Detail
FreshBlueberries	Service	1141114	114111	Fresh blueberries	Fresh blueberries.	4	Detail
OtherFreshBerries	Service	1141115	114111	Other fresh berries	Other fresh berries.	4	Detail
FreshCitrusFruit	ServiceSubclass	114112	11411	Fresh citrus fruit	This subclass comprises fresh citrus fruit.	3	Subclass
FreshOranges	Service	1141121	114112	Fresh oranges	Fresh oranges.	4	Detail
OtherFreshCitrusFruit	Service	1141122	114112	Other fresh citrus fruit	Other fresh citrus fruit.	4	Detail
FreshTropicalSemitropicalFruit	ServiceSubclass	114113	11411	Fresh tropical and semitropical fruit (except citrus fruit)	This subclass comprises fresh tropical and semitropical fruit	3	Subclass
FreshBananas	Service	1141131	114113	Fresh bananas	Fresh bananas.	4	Detail
FreshPineapples	Service	1141132	114113	Fresh pineapples	Fresh pineapples.	4	Detail
FreshOlives	Service	1141133	114113	Fresh olives	Fresh olives.	4	Detail
OtherFreshTropicalSemitropicalFruit	Service	1141134	114113	Other fresh tropical and semitropical fruit	Other fresh tropical and semitropical fruit.	4	Detail
OtherFreshFruit	ServiceSubclass	114114	11411	Other fresh fruit	This subclass comprises fresh fruit n.e.c.	3	Subclass
FreshApples	Service	1141141	114114	Fresh apples	Fresh apples.	4	Detail
FreshPears	Service	1141142	114114	Fresh pears	Fresh pears.	4	Detail
FreshPlumsPrunePlums	Service	1141143	114114	Fresh plums and prune plums	Fresh plums and prune plums.	4	Detail
FreshPeaches	Service	1141144	114114	Fresh peaches		4	Detail
FreshCherries	Service	1141145	114114	Fresh cherries	Fresh cherries.	4	Detail
OtherFreshPomeStoneFruit	Service	1141146	114114	Other fresh pome and stone fruit	Other fresh pome and stone fruit.	4	Detail
FreshGrapes	Service	1141147	114114	Fresh grapes	Fresh grapes.	4	Detail
OtherFreshFruit1141148	Service	1141148	114114	Other fresh fruit		4	Detail
Nuts	ServiceSubclass	114115	11411	Nuts	This subclass comprises nuts.	3	Subclass
Peanuts	Service	1141151	114115	Peanuts	Peanuts shelled or in shell.	4	Detail
Hazelnuts	Service	1141152	114115	Hazelnuts	Hazelnuts shelled or in shell.	4	Detail
OtherNuts	Service	1141153	114115	Other nuts	Nuts shelled or in shell	4	Detail
FreshPotatoes	ServiceClass	11421	114	Fresh potatoes	This class comprises fresh potatoes.	2	Class
FreshPotatoes114211	ServiceSubclass	114211	11421	Fresh potatoes	This subclass comprises fresh potatoes.	3	Subclass
FreshPotatoesTableConsumption	Service	1142111	114211	Fresh potatoes for table consumption	Fresh potatoes for table consumption.	4	Detail
FreshPotatoesProcessing	Service	1142112	114211	Fresh potatoes for processing	Fresh potatoes for processing.	4	Detail
FreshPotatoesSeed	Service	1142113	114211	Fresh potatoes for seed	Fresh potatoes for seed.	4	Detail
FreshVegetables	ServiceClass	11422	114	Fresh vegetables (except potatoes and pulse crops)	This class comprises fresh vegetables	2	Class
FreshVegetables114221	ServiceSubclass	114221	11422	Fresh vegetables (except potatoes and pulse crops)	This subclass comprises fresh vegetables	3	Subclass
FreshRootTypeVegetables	Service	1142211	114221	Fresh root type vegetables	Fresh root type vegetables.	4	Detail
FreshBulbTypeVegetables	Service	1142212	114221	Fresh bulb type vegetables	Fresh bulb type vegetables.	4	Detail
FreshLeafStemTypeVegetables	Service	1142213	114221	Fresh leaf and stem type vegetables	Fresh leaf and stem type vegetables.	4	Detail
FreshMelons	Service	1142214	114221	Fresh melons	Fresh melons.	4	Detail
FreshFruitTypeVegetables	Service	1142215	114221	Fresh fruit type vegetables (except melons)	Fresh fruit type vegetables	4	Detail
GreenLeguminousVegetables	Service	1142216	114221	Green leguminous vegetables	Fresh leguminous and gramineous plants or seed type vegetables (pod vegetable)	4	Detail
FreshMushrooms	Service	1142217	114221	Fresh mushrooms (including truffles)	Fresh mushrooms and truffles.	4	Detail
OtherFreshVegetables	Service	1142218	114221	Other fresh vegetables		4	Detail
PulseCrops	ServiceClass	11431	114	Pulse crops (except soybeans)	This class comprises pulse crops	2	Class
Chickpeas	ServiceSubclass	114311	11431	Chickpeas	This subclass comprises chickpeas.	3	Subclass
Chickpeas1143111	Service	1143111	114311	Chickpeas		4	Detail
Chickpeas1143112	Service	1143112	114311	Chickpeas		4	Detail
OtherChickpeas	Service	1143113	114311	Other chickpeas	Other chickpeas.	4	Detail
Lentils	ServiceSubclass	114312	11431	Lentils	This subclass comprises lentils.	3	Subclass
LargeGreenLentils	Service	1143121	114312	Large green lentils	Large green lentils.	4	Detail
RedLentils	Service	1143122	114312	Red lentils	Red lentils.	4	Detail
SmallGreenLentils	Service	1143123	114312	Small green lentils	Small green lentils.	4	Detail
OtherLentils	Service	1143124	114312	Other lentils	Other lentils.	4	Detail
DryBeans	ServiceSubclass	114313	11431	Dry beans	This subclass comprises dry beans.	3	Subclass
DryWhiteBeans	Service	1143131	114313	Dry white beans	Dry white beans.	4	Detail
DryColouredBeans	Service	1143132	114313	Dry coloured beans	Dry coloured beans.	4	Detail
DryPeas	ServiceSubclass	114314	11431	Dry peas	This subclass comprises dry peas.	3	Subclass
YellowDryPeas	Service	1143141	114314	Yellow dry peas	Yellow dry peas.	4	Detail
GreenDryPeas	Service	1143142	114314	Green dry peas	Green dry peas.	4	Detail
OtherDryPeas	Service	1143143	114314	Other dry peas	Other dry peas.	4	Detail
OtherPulseCrops	ServiceSubclass	114315	11431	Other pulse crops	This subclass comprises other pulse crops.	3	Subclass
FabaBeans	Service	1143151	114315	Faba beans	Faba beans.	4	Detail
OtherPulseCrops1143152	Service	1143152	114315	Other pulse crops		4	Detail
OtherCropProducts	ServiceGroup	115		Other crop products	This group comprises crop products n.e.c.	1	Group
Grains	ServiceClass	11511	115	Grains (except wheat)	This class comprises unmilled cereal type grains	2	Class
CornGrain	ServiceSubclass	115111	11511	Corn for grain	This subclass comprises unmilled corn for grain.	3	Subclass
CornGrain1151111	Service	1151111	115111	Corn for grain	Unmilled corn for grain.	4	Detail
UnmilledRice	ServiceSubclass	115112	11511	Unmilled rice	This subclass comprises unmilled rice.	3	Subclass
UnmilledRice1151121	Service	1151121	115112	Unmilled rice	Unmilled rice.	4	Detail
Oats	ServiceSubclass	115113	11511	Oats	This subclass comprises unmilled oats	3	Subclass
Oats1151131	Service	1151131	115113	Oats	Unmilled oats	4	Detail
Barley	ServiceSubclass	115114	11511	Barley	This subclass comprises unmilled barley	3	Subclass
Barley1151141	Service	1151141	115114	Barley	Unmilled barley	4	Detail
OtherGrains	ServiceSubclass	115115	11511	Other grains		3	Subclass
MixedGrain	Service	1151151	115115	Mixed grain	Unmilled mixed cereal grain.	4	Detail
Rye	Service	1151152	115115	Rye	Unmilled rye.	4	Detail
Triticale	Service	1151153	115115	Triticale	Unmilled triticale.	4	Detail
WildRice	Service	1151154	115115	Wild rice	Unmilled wild rice.	4	Detail
OtherMiscellaneousGrains	Service	1151155	115115	Other miscellaneous grains	Other miscellaneous unmilled grains.	4	Detail
Oilseeds	ServiceClass	11512	115	Oilseeds (except canola)	This class comprises oilseeds	2	Class
Soybeans	ServiceSubclass	115121	11512	Soybeans	This subclass comprises unprocessed soybeans.	3	Subclass
Soybeans1151211	Service	1151211	115121	Soybeans	Unprocessed soybeans.	4	Detail
Oilseeds115122	ServiceSubclass	115122	11512	Oilseeds (except canola and soybeans)	This subclass comprises oilseeds	3	Subclass
Flaxseed	Service	1151221	115122	Flaxseed	Unprocessed flaxseed.	4	Detail
Solin	Service	1151222	115122	Solin	Unprocessed solin.	4	Detail
SunflowerSeeds	Service	1151223	115122	Sunflower seeds	Unprocessed sunflower seeds.	4	Detail
OtherOilseeds	Service	1151224	115122	Other oilseeds	Other unprocessed oilseeds.	4	Detail
OtherMiscellaneousCropProducts	ServiceClass	11513	115	Other miscellaneous crop products	This class comprises other miscellaneous crop products.	2	Class
UnstemmedLeafTobacco	ServiceSubclass	115131	11513	Unstemmed leaf tobacco	This subclass comprises unstemmed leaf tobacco.	3	Subclass
UnstemmedLeafTobacco1151311	Service	1151311	115131	Unstemmed leaf tobacco	Unstemmed leaf tobacco.	4	Detail
