ns	from	to	predicate	reverse
napcs	CattleCalves	111	partOfServiceCategory	hasSubService
napcs	CattleCalves111111	11111	partOfServiceCategory	hasSubService
napcs	Cattle	111111	partOfServiceCategory	hasSubService
napcs	Calves	111111	partOfServiceCategory	hasSubService
napcs	Hogs	111	partOfServiceCategory	hasSubService
napcs	Hogs111121	11112	partOfServiceCategory	hasSubService
napcs	HogsBreeding	111121	partOfServiceCategory	hasSubService
napcs	NursingWeanerHogs	111121	partOfServiceCategory	hasSubService
napcs	MarketHogs	111121	partOfServiceCategory	hasSubService
napcs	Poultry	111	partOfServiceCategory	hasSubService
napcs	Chickens	11113	partOfServiceCategory	hasSubService
napcs	ChickensBreeding	111131	partOfServiceCategory	hasSubService
napcs	HensPulletsLayingEggs	111131	partOfServiceCategory	hasSubService
napcs	ChickensMeat	111131	partOfServiceCategory	hasSubService
napcs	Turkeys	11113	partOfServiceCategory	hasSubService
napcs	TurkeysBreeding	111132	partOfServiceCategory	hasSubService
napcs	TurkeysMeat	111132	partOfServiceCategory	hasSubService
napcs	ChicksPoults	11113	partOfServiceCategory	hasSubService
napcs	Chicks	111133	partOfServiceCategory	hasSubService
napcs	Poults	111133	partOfServiceCategory	hasSubService
napcs	PoultryExceptChickens	11113	partOfServiceCategory	hasSubService
napcs	PoultryExceptChickens1111341	111134	partOfServiceCategory	hasSubService
napcs	OtherLiveAnimals	111	partOfServiceCategory	hasSubService
napcs	Sheep	11114	partOfServiceCategory	hasSubService
napcs	SheepLambs	111141	partOfServiceCategory	hasSubService
napcs	Goats	111141	partOfServiceCategory	hasSubService
napcs	FurBearingAnimals	11114	partOfServiceCategory	hasSubService
napcs	FurBearingAnimals1111421	111142	partOfServiceCategory	hasSubService
napcs	OtherMiscellaneousLiveAnimals	11114	partOfServiceCategory	hasSubService
napcs	OtherLiveAnimalsMeatHair	111143	partOfServiceCategory	hasSubService
napcs	PetsLaboratoryAnimals	111143	partOfServiceCategory	hasSubService
napcs	BeesPollinatingInsects	111143	partOfServiceCategory	hasSubService
napcs	OtherLiveAnimals1111434	111143	partOfServiceCategory	hasSubService
napcs	Semen	111143	partOfServiceCategory	hasSubService
napcs	AnimalEmbryos	111143	partOfServiceCategory	hasSubService
napcs	Wheat11211	112	partOfServiceCategory	hasSubService
napcs	Wheat112111	11211	partOfServiceCategory	hasSubService
napcs	Wheat1121111	112111	partOfServiceCategory	hasSubService
napcs	DurumWheat	112111	partOfServiceCategory	hasSubService
napcs	Canola11311	113	partOfServiceCategory	hasSubService
napcs	Canola113111	11311	partOfServiceCategory	hasSubService
napcs	Canola1131111	113111	partOfServiceCategory	hasSubService
napcs	Rapeseed	113111	partOfServiceCategory	hasSubService
napcs	FreshFruitNuts	114	partOfServiceCategory	hasSubService
napcs	FreshBerries	11411	partOfServiceCategory	hasSubService
napcs	FreshStrawberries	114111	partOfServiceCategory	hasSubService
napcs	FreshRaspberries	114111	partOfServiceCategory	hasSubService
napcs	FreshCranberries	114111	partOfServiceCategory	hasSubService
napcs	FreshBlueberries	114111	partOfServiceCategory	hasSubService
napcs	OtherFreshBerries	114111	partOfServiceCategory	hasSubService
napcs	FreshCitrusFruit	11411	partOfServiceCategory	hasSubService
napcs	FreshOranges	114112	partOfServiceCategory	hasSubService
napcs	OtherFreshCitrusFruit	114112	partOfServiceCategory	hasSubService
napcs	FreshTropicalSemitropicalFruit	11411	partOfServiceCategory	hasSubService
napcs	FreshBananas	114113	partOfServiceCategory	hasSubService
napcs	FreshPineapples	114113	partOfServiceCategory	hasSubService
napcs	FreshOlives	114113	partOfServiceCategory	hasSubService
napcs	OtherFreshTropicalSemitropicalFruit	114113	partOfServiceCategory	hasSubService
napcs	OtherFreshFruit	11411	partOfServiceCategory	hasSubService
napcs	FreshApples	114114	partOfServiceCategory	hasSubService
napcs	FreshPears	114114	partOfServiceCategory	hasSubService
napcs	FreshPlumsPrunePlums	114114	partOfServiceCategory	hasSubService
napcs	FreshPeaches	114114	partOfServiceCategory	hasSubService
napcs	FreshCherries	114114	partOfServiceCategory	hasSubService
napcs	OtherFreshPomeStoneFruit	114114	partOfServiceCategory	hasSubService
napcs	FreshGrapes	114114	partOfServiceCategory	hasSubService
napcs	OtherFreshFruit1141148	114114	partOfServiceCategory	hasSubService
napcs	Nuts	11411	partOfServiceCategory	hasSubService
napcs	Peanuts	114115	partOfServiceCategory	hasSubService
napcs	Hazelnuts	114115	partOfServiceCategory	hasSubService
napcs	OtherNuts	114115	partOfServiceCategory	hasSubService
napcs	FreshPotatoes	114	partOfServiceCategory	hasSubService
napcs	FreshPotatoes114211	11421	partOfServiceCategory	hasSubService
napcs	FreshPotatoesTableConsumption	114211	partOfServiceCategory	hasSubService
napcs	FreshPotatoesProcessing	114211	partOfServiceCategory	hasSubService
